場,レース,買い目,推定確率%,オッズ(取得時),回収率%
常滑,8R,1-2-3,8.58,87.7,752.2
徳山,8R,1-3-4,9.07,80.7,732.2
桐生,7R,1-2-4,7.96,85.1,677.2
福岡,8R,4-1-3,13.13,49.8,654.0
徳山,5R,4-1-2,8.48,69.9,592.5
常滑,2R,1-4-3,7.23,78.6,567.9
浜名湖,11R,4-1-3,7.83,71.4,558.8
桐生,7R,1-4-2,5.79,96.3,557.6
若松,12R,4-1-3,7.30,75.6,551.9
徳山,8R,3-1-2,5.65,95.3,538.3
住之江,8R,4-1-3,6.82,77.7,530.3
桐生,10R,1-3-2,9.45,54.5,515.0
徳山,4R,4-1-2,6.20,82.9,513.7
浜名湖,2R,2-1-3,6.48,78.3,507.3
浜名湖,7R,1-5-6,6.45,76.6,494.0
徳山,11R,4-1-3,6.34,76.5,485.0
宮島,2R,1-4-2,5.32,90.2,480.3
浜名湖,6R,2-1-4,5.71,84.1,479.9
三国,6R,4-2-1,4.86,96.5,469.1
桐生,3R,2-1-3,8.53,54.5,464.9
宮島,6R,1-3-4,7.04,64.3,452.8
江戸川,3R,2-1-4,5.58,81.0,452.1
住之江,1R,1-4-2,11.69,38.2,446.5
福岡,8R,1-4-2,10.88,40.7,442.6
徳山,11R,4-3-2,4.90,89.1,436.8
徳山,8R,1-4-2,4.59,95.2,436.7
桐生,3R,3-2-1,5.97,72.6,433.2
三国,6R,2-1-4,6.08,70.5,428.9
三国,4R,2-5-1,4.48,95.8,428.8
びわこ,2R,4-1-3,11.12,37.7,419.3
桐生,3R,2-3-1,7.67,54.5,418.2
桐生,12R,4-1-2,7.08,58.9,416.9
浜名湖,9R,1-4-3,7.79,53.2,414.4
江戸川,3R,1-2-4,4.67,88.6,414.1
桐生,4R,1-2-4,6.87,60.0,412.5
浜名湖,11R,4-3-1,4.42,91.3,403.5
福岡,5R,4-1-3,4.05,99.6,403.4
徳山,6R,4-1-2,5.88,68.5,402.9
浜名湖,2R,2-1-6,5.16,78.1,402.7
若松,12R,1-4-3,10.65,37.8,402.4
浜名湖,7R,1-5-2,5.14,77.9,400.8
浜名湖,10R,2-3-1,4.99,80.1,399.7
津,3R,3-1-2,4.88,81.7,398.9
三国,5R,1-2-3,9.46,41.7,394.6
福岡,6R,1-3-2,10.61,37.2,394.6
浜名湖,7R,1-5-3,5.65,69.5,393.0
桐生,5R,1-5-2,9.57,40.8,390.4
桐生,6R,2-1-3,4.23,91.9,388.9
戸田,1R,1-3-2,10.15,38.1,386.7
宮島,9R,3-2-1,4.34,88.7,384.6
福岡,6R,3-1-2,4.95,77.6,384.0
宮島,6R,1-3-2,8.32,45.9,382.0
宮島,6R,1-4-3,6.45,59.1,381.2
常滑,11R,3-1-2,8.44,45.1,380.7
浜名湖,10R,3-2-1,4.06,93.8,380.7
三国,6R,2-4-1,7.67,48.9,375.3
江戸川,4R,2-3-1,6.30,59.4,374.4
徳山,8R,1-3-2,9.68,38.6,373.8
津,3R,1-3-2,6.42,58.2,373.4
徳山,6R,4-1-6,4.14,89.2,369.5
若松,12R,4-3-1,4.88,74.8,365.0
桐生,9R,1-2-3,5.88,61.5,361.7
宮島,1R,2-1-3,4.82,74.9,361.2
浜名湖,10R,2-1-3,9.53,37.7,359.2
福岡,8R,4-3-1,3.68,97.0,357.4
江戸川,9R,1-4-2,9.66,36.9,356.5
江戸川,4R,3-2-1,11.20,31.7,355.1
桐生,9R,1-3-2,4.48,79.1,354.1
戸田,7R,4-2-1,4.58,76.8,352.1
戸田,8R,1-4-2,3.95,89.1,351.7
三国,10R,4-2-1,9.42,37.3,351.4
徳山,12R,3-2-1,4.21,82.8,348.5
三国,8R,1-3-2,4.80,72.6,348.2
常滑,12R,2-1-3,9.07,38.3,347.5
福岡,9R,1-5-3,5.00,69.0,345.1
三国,6R,2-1-3,3.89,88.7,344.7
若松,8R,1-4-3,7.03,49.0,344.6
三国,4R,5-1-2,6.94,49.6,344.2
住之江,3R,1-3-2,12.83,26.8,344.0
徳山,6R,1-4-2,8.03,42.8,343.7
福岡,6R,2-1-3,7.92,43.0,340.8
三国,4R,2-1-5,6.98,48.8,340.8
津,2R,3-2-1,4.96,68.0,337.1
三国,2R,2-1-4,5.97,56.4,336.8
江戸川,11R,4-1-3,8.04,41.7,335.1
住之江,10R,2-4-1,3.89,86.0,334.4
三国,11R,3-2-1,9.49,35.2,334.1
徳山,4R,1-4-2,11.20,29.8,333.7
戸田,8R,1-2-4,5.60,59.6,333.5
桐生,8R,1-2-3,5.38,61.8,332.5
戸田,9R,1-4-2,13.56,24.5,332.2
びわこ,2R,4-3-1,8.16,40.7,332.1
徳山,11R,4-2-3,6.21,53.5,332.1
常滑,8R,1-2-4,17.19,19.3,331.8
三国,2R,1-2-4,4.53,73.1,330.9
江戸川,9R,4-1-2,3.42,96.8,330.6
三国,5R,1-5-3,3.52,93.7,329.4
住之江,6R,1-3-2,6.80,48.4,328.9
浜名湖,9R,4-1-3,4.02,81.8,328.7
江戸川,4R,3-1-2,14.74,22.3,328.6
住之江,5R,4-1-2,4.73,69.4,328.2
住之江,7R,4-1-2,5.64,57.8,326.1
住之江,1R,2-1-4,5.11,63.5,324.6
戸田,8R,1-3-4,8.40,38.6,324.1
桐生,3R,3-1-2,4.78,67.8,323.9
江戸川,11R,4-2-1,4.80,67.4,323.8
福岡,7R,1-4-5,3.86,83.4,322.2
びわこ,5R,4-1-2,6.96,46.2,321.6
浜名湖,5R,1-5-4,5.14,62.5,321.4
三国,11R,2-3-1,8.32,38.6,321.3
桐生,2R,1-4-2,4.18,76.5,320.1
びわこ,8R,4-1-2,3.51,91.3,320.1
桐生,8R,1-2-4,3.65,87.4,319.1
住之江,5R,1-4-2,13.54,23.5,318.2
桐生,9R,1-3-4,5.41,58.7,317.7
戸田,7R,4-1-2,5.81,54.5,316.7
桐生,8R,1-3-2,7.78,40.6,315.8
宮島,2R,1-2-4,10.90,28.8,313.9
桐生,10R,2-1-3,5.12,61.3,313.6
住之江,6R,1-3-5,7.12,44.0,313.3
若松,1R,2-1-5,7.43,42.1,312.8
三国,5R,3-1-2,3.78,82.6,312.3
津,3R,1-2-3,6.03,51.5,310.7
若松,7R,3-1-2,4.33,71.7,310.3
戸田,5R,1-2-4,5.67,54.7,310.0
住之江,10R,4-2-1,3.88,79.8,309.9
戸田,1R,1-4-3,5.02,61.0,306.1
浜名湖,6R,2-1-3,6.05,50.6,306.0
戸田,5R,1-2-5,5.46,56.0,305.9
桐生,3R,1-2-3,7.12,42.9,305.2
若松,10R,2-3-1,3.99,76.4,305.1
津,12R,1-4-3,9.51,32.0,304.2
若松,2R,2-1-3,5.06,59.9,303.3
福岡,6R,2-1-4,3.64,83.1,302.7
若松,10R,3-2-1,5.25,57.5,302.1
浜名湖,10R,3-1-2,5.42,55.6,301.5
津,2R,3-1-2,6.11,49.2,300.7
江戸川,11R,4-1-2,8.71,34.5,300.5
桐生,1R,5-2-1,4.60,65.2,300.0
三国,3R,1-5-3,6.12,49.0,299.9
江戸川,3R,2-4-1,3.69,80.8,298.5
津,8R,1-2-3,3.40,87.4,297.5
江戸川,3R,2-1-3,4.49,66.3,297.4
徳山,6R,1-4-6,5.66,52.5,296.9
浜名湖,7R,1-2-5,4.40,67.4,296.5
江戸川,11R,2-4-1,3.33,88.9,296.2
桐生,7R,1-4-3,4.60,64.2,295.6
江戸川,9R,4-1-3,4.58,64.5,295.4
三国,10R,4-1-2,10.13,29.1,294.8
