場,レース,買い目,推定確率%,オッズ(取得時),回収率%
下関,5R,1-4-3,10.09,86.7,874.7
丸亀,4R,1-3-2,9.06,90.1,816.2
多摩川,7R,1-4-3,15.14,49.2,745.0
下関,3R,1-3-2,11.08,66.7,739.1
若松,6R,1-2-5,8.21,89.0,730.6
宮島,10R,4-1-2,9.16,76.8,703.6
下関,1R,4-1-3,7.11,96.6,687.0
津,8R,2-1-5,9.15,74.9,685.4
三国,10R,2-3-1,7.53,86.3,650.2
宮島,3R,1-4-2,10.50,60.8,638.7
若松,6R,1-5-2,9.45,65.8,621.7
多摩川,4R,1-2-4,7.38,80.5,594.0
徳山,11R,2-4-1,6.66,86.6,577.1
多摩川,10R,3-2-1,7.57,76.2,576.5
児島,3R,1-2-5,6.05,94.1,569.4
若松,6R,1-5-4,6.17,89.0,549.2
下関,4R,1-3-2,6.44,85.0,547.1
びわこ,10R,4-3-1,8.47,63.2,535.5
尼崎,5R,1-2-4,5.45,98.1,534.3
丸亀,7R,1-2-4,16.60,32.1,532.9
津,6R,2-1-4,8.49,62.5,530.8
丸亀,7R,1-4-2,8.24,62.9,518.2
児島,8R,1-3-2,9.07,55.7,505.2
三国,9R,1-5-2,8.37,59.6,499.1
若松,5R,2-1-4,8.29,60.2,499.1
徳山,11R,4-2-1,4.86,99.8,485.2
津,8R,2-5-1,7.05,68.1,480.0
鳴門,6R,1-2-5,11.16,42.8,477.6
尼崎,11R,1-4-2,10.80,43.0,464.3
尼崎,9R,2-1-3,11.10,41.3,458.4
下関,4R,1-4-3,6.04,75.0,453.2
びわこ,10R,4-1-3,8.14,55.7,453.1
若松,5R,1-4-2,20.39,22.2,452.7
びわこ,3R,1-3-4,10.80,41.9,452.4
宮島,5R,1-2-4,5.49,82.0,449.8
丸亀,1R,1-2-3,8.03,55.9,448.8
多摩川,4R,1-2-3,13.18,33.6,442.7
児島,9R,1-2-5,5.24,83.5,437.9
宮島,8R,1-2-4,13.95,31.4,437.9
徳山,8R,1-4-3,6.74,64.8,436.5
多摩川,7R,1-3-4,10.38,41.8,433.7
下関,6R,2-1-3,5.24,81.9,429.2
丸亀,7R,1-2-5,8.80,48.7,428.6
丸亀,8R,2-1-3,6.36,67.3,427.7
下関,9R,1-4-3,6.73,63.3,426.3
三国,6R,1-5-4,6.13,69.4,425.4
丸亀,4R,3-1-2,5.34,79.5,424.4
下関,2R,2-3-1,4.43,95.7,423.9
児島,4R,1-2-4,5.41,78.3,423.8
多摩川,5R,1-5-4,11.95,35.4,423.0
多摩川,11R,2-1-3,6.24,66.6,415.7
児島,2R,1-4-2,9.20,45.1,415.1
児島,3R,1-2-4,4.33,95.8,414.6
丸亀,3R,4-3-1,6.44,64.3,414.2
多摩川,5R,1-4-5,13.03,31.7,412.9
若松,12R,1-2-4,13.03,31.5,410.4
びわこ,4R,2-4-1,4.94,82.2,406.2
尼崎,6R,1-4-3,10.09,40.1,404.5
びわこ,3R,1-4-3,16.48,24.5,403.7
多摩川,3R,1-4-3,4.17,96.5,402.7
児島,2R,4-1-2,6.07,66.3,402.3
下関,5R,1-3-4,4.16,96.3,400.7
徳山,11R,2-1-4,12.66,31.5,398.9
尼崎,6R,1-4-5,17.15,23.2,397.9
下関,5R,1-4-5,15.03,26.2,393.9
津,6R,2-1-5,5.19,75.5,391.6
多摩川,9R,1-3-4,25.05,15.5,388.2
多摩川,8R,2-3-1,10.75,36.1,388.1
びわこ,6R,1-5-2,14.08,27.5,387.2
三国,9R,1-5-6,6.39,60.2,384.5
びわこ,6R,1-2-5,8.79,43.7,384.0
津,9R,1-4-3,5.31,71.8,381.6
尼崎,1R,1-4-3,8.70,43.8,381.0
若松,12R,1-2-5,5.45,69.7,380.1
丸亀,4R,1-2-3,7.02,54.0,379.2
児島,8R,1-2-3,7.52,50.4,379.2
丸亀,3R,3-4-1,4.14,91.0,377.2
児島,3R,2-1-5,6.80,55.4,376.7
宮島,3R,1-2-4,6.55,57.3,375.4
丸亀,9R,1-3-2,5.46,68.6,374.9
多摩川,8R,2-1-3,9.83,38.0,373.5
尼崎,5R,1-2-6,5.32,70.2,373.3
宮島,10R,2-4-1,3.76,98.7,370.7
若松,5R,2-4-1,3.84,96.4,370.1
びわこ,6R,1-5-4,7.82,47.3,369.7
多摩川,4R,2-1-3,8.69,42.5,369.5
多摩川,5R,1-4-2,5.55,66.4,368.4
多摩川,9R,1-4-3,12.58,29.2,367.2
びわこ,8R,1-2-4,6.22,59.0,366.9
多摩川,4R,1-3-2,7.28,50.1,365.0
徳山,9R,1-4-3,12.32,29.6,364.7
多摩川,8R,3-2-1,8.06,45.2,364.5
びわこ,2R,1-2-4,5.77,62.9,362.9
三国,6R,1-2-5,5.36,67.6,362.4
児島,9R,1-2-3,16.02,22.5,360.4
津,7R,2-1-3,3.75,95.6,358.6
三国,1R,4-1-3,4.20,84.7,355.7
若松,3R,1-3-4,8.96,39.7,355.6
津,12R,2-1-5,3.55,98.8,351.0
若松,3R,1-4-3,7.92,44.3,350.9
児島,9R,1-3-2,8.94,39.2,350.6
鳴門,6R,1-5-2,6.53,53.5,349.3
児島,11R,3-1-2,10.74,32.4,348.1
宮島,5R,1-4-3,4.46,77.8,346.9
鳴門,6R,1-2-3,7.30,47.5,346.8
児島,12R,1-5-4,5.41,64.0,346.4
下関,8R,3-1-4,6.86,50.1,343.5
下関,12R,5-1-2,4.12,83.3,343.1
多摩川,3R,1-4-5,6.92,49.2,340.5
鳴門,1R,1-3-2,8.05,41.9,337.2
児島,2R,1-2-4,10.87,31.0,337.1
尼崎,2R,1-3-2,6.48,52.0,336.9
宮島,8R,2-1-4,4.72,71.0,334.8
丸亀,4R,1-3-4,3.96,84.5,334.7
多摩川,9R,4-1-3,3.52,95.1,334.4
多摩川,5R,1-2-4,3.76,88.5,333.0
丸亀,6R,1-3-2,5.35,62.0,331.5
尼崎,9R,1-2-3,6.40,51.8,331.5
多摩川,3R,1-5-4,9.38,35.3,331.1
鳴門,9R,1-2-3,17.98,18.4,330.8
宮島,10R,4-1-5,5.10,64.8,330.6
児島,4R,2-1-4,5.34,61.8,329.7
児島,11R,1-3-2,14.81,22.2,328.9
若松,1R,1-2-5,8.76,37.5,328.6
徳山,4R,2-1-3,9.12,36.0,328.4
徳山,5R,1-4-3,5.44,60.3,327.9
若松,1R,2-1-5,12.70,25.8,327.7
鳴門,8R,1-4-3,7.26,44.8,325.2
丸亀,1R,1-4-3,4.56,71.3,325.1
三国,7R,1-2-4,13.46,24.0,323.0
下関,7R,1-3-2,10.16,31.7,322.2
鳴門,11R,1-2-4,12.34,26.0,320.8
徳山,4R,2-1-4,6.59,48.6,320.2
津,6R,1-2-4,12.73,25.1,319.4
若松,11R,3-1-2,4.51,70.7,319.2
徳山,10R,1-4-2,11.12,28.7,319.1
三国,9R,1-2-5,6.53,48.8,318.7
若松,8R,2-1-5,3.39,94.0,318.4
下関,6R,2-1-5,10.89,29.2,317.9
鳴門,11R,1-4-2,9.32,33.9,315.8
多摩川,7R,1-2-4,4.52,69.8,315.6
鳴門,8R,1-2-3,4.65,67.8,315.5
若松,4R,1-5-4,9.92,31.8,315.5
津,3R,1-2-4,17.04,18.5,315.2
尼崎,12R,1-2-3,14.19,22.2,315.0
尼崎,9R,2-3-1,10.49,29.9,313.8
津,9R,1-3-4,8.03,39.0,313.3
鳴門,8R,1-3-2,5.53,56.6,313.0
下関,1R,1-4-3,13.78,22.7,312.9
若松,9R,1-5-4,3.82,81.9,312.5
鳴門,9R,2-1-4,4.13,75.5,311.7
下関,3R,1-4-3,5.16,60.1,310.3
尼崎,8R,1-2-5,8.70,35.5,308.8
尼崎,11R,1-4-3,5.40,56.9,307.1
尼崎,3R,3-1-2,3.74,82.0,306.5
尼崎,7R,1-4-2,3.89,78.7,306.1
三国,9R,1-5-4,3.38,90.4,305.8
びわこ,2R,2-1-4,3.27,93.6,305.6
若松,3R,1-3-5,3.97,76.8,305.1
徳山,3R,2-1-3,3.11,98.2,304.9
丸亀,11R,4-1-3,3.17,95.8,303.2
びわこ,8R,1-2-6,8.23,36.8,303.0
