場,レース,買い目,推定確率%,オッズ(取得時),回収率%
若松,3R,1-4-2,11.26,98.7,1111.8
多摩川,6R,1-3-4,10.28,87.9,903.2
津,5R,1-4-3,12.63,62.8,793.2
尼崎,10R,1-4-2,8.01,87.2,698.1
丸亀,5R,4-2-1,9.12,75.6,689.2
丸亀,5R,4-1-2,10.97,61.6,676.0
若松,3R,1-2-4,8.24,79.9,658.0
津,6R,3-2-1,6.93,94.8,656.6
若松,9R,1-3-2,16.52,39.3,649.4
児島,6R,1-2-3,10.05,62.0,623.1
津,6R,2-3-1,7.04,85.0,598.0
三国,6R,2-1-3,7.38,79.6,587.3
若松,2R,1-3-5,14.42,39.6,571.1
尼崎,12R,2-1-4,6.33,89.9,569.1
若松,2R,1-5-3,10.27,55.4,569.0
宮島,3R,1-3-2,8.40,67.7,568.9
尼崎,6R,1-3-4,6.56,85.3,559.3
若松,6R,4-1-3,8.53,64.7,552.0
多摩川,6R,1-3-2,11.70,47.0,550.0
津,5R,1-3-4,13.35,41.0,547.3
多摩川,10R,1-4-2,6.70,79.0,528.9
丸亀,2R,1-5-2,5.58,93.5,521.9
尼崎,6R,1-4-3,12.16,42.6,518.1
若松,4R,1-2-3,7.17,71.7,513.9
宮島,9R,1-5-2,9.41,54.3,511.2
宮島,9R,1-2-5,13.47,37.6,506.4
徳山,10R,4-2-1,8.62,58.7,506.1
びわこ,4R,3-2-1,9.62,52.2,502.2
尼崎,10R,2-1-4,10.14,49.1,497.8
若松,4R,1-2-5,15.86,31.3,496.3
鳴門,3R,1-4-2,5.41,87.7,474.9
丸亀,5R,1-4-2,5.14,92.4,474.8
住之江,7R,2-1-5,5.24,90.5,474.5
津,2R,1-2-3,7.04,67.1,472.3
多摩川,9R,2-1-3,6.00,78.6,471.5
尼崎,5R,1-2-3,6.10,77.3,471.3
尼崎,9R,3-1-2,9.89,47.6,470.6
鳴門,9R,1-4-6,6.29,74.7,469.5
鳴門,7R,5-3-1,5.25,87.6,459.7
津,10R,1-2-4,11.81,38.8,458.3
尼崎,5R,1-3-2,5.31,85.5,453.7
びわこ,6R,2-1-6,6.85,66.2,453.4
住之江,12R,4-1-3,6.18,72.9,450.9
多摩川,3R,1-2-3,10.13,44.3,448.8
若松,9R,1-2-3,10.10,44.2,446.5
丸亀,2R,1-2-5,5.55,78.7,437.0
丸亀,1R,1-4-5,4.43,98.5,436.3
多摩川,4R,1-5-3,10.27,42.3,434.3
津,7R,1-3-2,10.17,42.4,431.4
徳山,10R,4-1-2,6.61,64.8,428.4
若松,10R,1-4-3,9.80,42.5,416.7
多摩川,6R,1-3-5,17.11,24.3,415.8
津,2R,2-1-3,4.80,86.3,414.0
児島,7R,4-2-1,5.39,76.7,413.4
三国,9R,4-3-1,4.24,96.9,410.5
津,3R,1-3-4,5.20,78.6,408.7
徳山,12R,2-1-3,4.58,89.1,408.0
津,4R,1-2-4,6.62,60.2,398.7
若松,4R,1-5-2,14.55,27.3,397.2
三国,9R,3-4-1,5.61,70.8,397.1
住之江,4R,2-1-5,5.43,73.0,396.6
尼崎,3R,1-4-3,9.47,41.6,394.0
鳴門,9R,1-4-3,5.86,66.9,391.9
児島,5R,1-3-4,6.43,60.9,391.6
