場,レース,買い目,推定確率%,オッズ(取得時),回収率%
住之江,7R,1-2-4,13.26,73.7,977.5
丸亀,2R,3-1-2,8.77,99.2,870.4
多摩川,4R,4-1-3,10.11,85.9,868.2
住之江,5R,1-2-4,8.99,78.9,709.2
住之江,7R,1-4-2,15.13,45.5,688.5
児島,8R,1-3-2,7.04,96.6,679.7
江戸川,7R,1-3-2,7.34,90.2,661.7
丸亀,5R,1-2-4,7.06,92.0,649.2
平和島,8R,1-3-2,19.06,33.7,642.4
丸亀,5R,4-2-1,7.56,84.5,638.9
児島,9R,1-2-3,7.57,84.4,638.7
江戸川,2R,3-1-2,6.83,90.1,615.0
住之江,1R,1-5-2,9.24,65.3,603.2
多摩川,4R,4-1-2,8.65,69.0,596.5
尼崎,10R,3-1-2,9.62,61.5,591.9
丸亀,1R,1-4-2,7.08,82.6,585.1
住之江,9R,1-3-2,16.96,34.3,581.8
丸亀,9R,3-1-2,9.28,62.7,581.6
丸亀,5R,4-1-2,6.26,92.0,575.5
浜名湖,3R,1-2-5,6.21,91.5,568.7
浜名湖,5R,3-2-1,5.51,97.6,538.2
児島,9R,1-3-2,12.73,41.7,530.9
住之江,9R,1-2-3,9.42,55.8,525.4
丸亀,1R,1-2-4,6.62,78.6,520.0
宮島,5R,4-1-2,8.96,56.7,508.0
多摩川,10R,4-3-1,7.27,69.9,507.9
住之江,5R,1-4-2,10.27,49.0,503.2
丸亀,7R,4-1-2,8.98,55.7,500.3
大村,8R,3-4-1,5.41,91.9,497.6
江戸川,8R,1-2-4,11.57,43.0,497.3
丸亀,4R,3-1-2,6.26,78.6,491.9
戸田,3R,1-4-3,4.88,98.9,482.2
江戸川,7R,1-4-3,12.66,37.7,477.3
平和島,11R,2-4-1,4.88,97.4,474.9
多摩川,7R,1-2-4,11.47,40.6,465.6
大村,5R,1-2-4,4.86,95.4,463.7
江戸川,3R,2-1-3,5.78,79.3,458.0
丸亀,5R,1-4-2,6.08,74.5,453.2
戸田,11R,1-3-2,10.65,42.5,452.5
丸亀,2R,1-3-4,4.45,99.2,441.6
尼崎,3R,1-3-2,12.14,36.2,439.4
戸田,8R,4-2-1,6.63,65.8,436.3
住之江,7R,4-1-2,10.09,43.0,434.0
住之江,9R,2-1-3,4.95,87.4,432.3
児島,8R,1-2-3,8.10,53.0,429.1
浜名湖,7R,1-4-2,4.88,87.1,424.7
鳴門,9R,2-5-1,5.35,78.7,421.0
江戸川,3R,2-4-1,4.25,98.0,416.8
児島,12R,3-1-2,4.93,84.0,414.5
平和島,8R,1-3-5,9.57,43.3,414.2
多摩川,7R,2-1-4,4.98,83.0,413.1
江戸川,2R,3-2-1,4.78,86.4,412.7
平和島,9R,1-4-5,9.89,41.6,411.2
戸田,9R,2-4-1,5.48,74.7,409.6
大村,5R,1-2-5,5.36,76.3,408.8
住之江,1R,1-5-4,10.14,40.3,408.5
江戸川,5R,2-5-1,7.91,51.6,407.9
多摩川,3R,3-2-1,4.36,92.8,404.8
浜名湖,3R,2-1-5,4.48,90.4,404.6
鳴門,2R,4-1-5,4.43,91.4,404.5
江戸川,7R,4-1-3,4.06,98.4,399.3
尼崎,11R,3-1-5,6.23,63.9,398.2
多摩川,10R,4-1-3,9.46,41.9,396.2
戸田,8R,2-4-1,6.96,56.5,393.1
江戸川,10R,1-4-3,11.89,32.9,391.3
児島,9R,3-1-4,4.73,82.6,391.0
平和島,4R,4-1-3,6.77,57.7,390.3
児島,5R,1-4-2,5.50,70.9,390.1
多摩川,2R,2-1-4,3.88,99.9,387.7
江戸川,6R,1-3-2,8.18,47.4,387.5
宮島,6R,4-1-3,4.09,94.7,387.3
鳴門,7R,2-1-3,8.49,45.5,386.4
多摩川,7R,1-4-2,6.67,57.6,384.3
平和島,7R,1-2-5,15.38,24.8,381.3
浜名湖,6R,1-2-5,4.68,81.5,381.2
平和島,4R,1-4-3,12.77,29.8,380.5
尼崎,8R,3-1-2,8.86,42.6,377.5
宮島,2R,1-4-2,5.73,65.7,376.3
大村,5R,1-5-2,3.78,99.5,376.2
浜名湖,12R,4-2-1,4.52,82.9,375.0
大村,8R,3-5-1,6.21,60.4,374.8
戸田,9R,1-2-4,9.59,39.0,374.0
戸田,9R,2-1-4,7.60,49.2,374.0
住之江,9R,3-1-2,11.97,31.1,372.4
住之江,6R,1-3-4,16.36,22.6,369.7
江戸川,9R,1-3-2,12.33,29.9,368.6
尼崎,7R,2-1-3,5.86,62.8,368.0
丸亀,4R,1-3-2,6.03,60.9,367.4
戸田,6R,1-3-2,7.77,47.0,365.0
江戸川,2R,1-3-2,8.03,45.4,364.7
浜名湖,5R,2-3-1,7.47,48.8,364.6
平和島,8R,1-2-3,9.55,38.1,363.9
丸亀,8R,4-1-2,4.72,77.0,363.6
児島,8R,1-4-2,4.57,79.5,363.2
平和島,8R,3-1-2,4.46,81.4,362.8
戸田,8R,2-1-4,6.62,54.5,360.8
平和島,8R,1-3-4,10.05,35.5,356.8
唐津,7R,4-1-2,7.23,49.2,355.6
江戸川,8R,1-4-2,4.63,76.6,355.0
戸田,2R,4-1-3,4.12,86.0,354.2
丸亀,2R,3-1-4,5.30,66.7,353.5
尼崎,11R,1-5-3,7.03,50.3,353.4
鳴門,9R,2-4-1,4.45,79.3,352.9
児島,9R,1-3-4,16.47,21.2,349.2
尼崎,11R,3-1-4,6.05,57.6,348.6
丸亀,3R,3-2-1,3.60,96.5,347.8
児島,10R,1-3-2,8.86,39.1,346.3
唐津,7R,4-1-3,3.98,87.0,345.9
大村,9R,2-1-3,6.01,57.5,345.8
平和島,7R,1-2-3,9.52,36.3,345.7
