場,レース,買い目,推定確率%,オッズ(取得時),回収率%
児島,6R,1-3-2,8.03,84.0,674.8
宮島,6R,1-3-5,6.81,89.9,611.9
住之江,6R,3-4-1,6.39,95.6,610.6
若松,3R,1-2-5,5.92,91.2,540.2
下関,9R,1-5-2,6.16,87.3,538.1
大村,9R,1-4-3,7.57,70.1,530.8
尼崎,7R,1-5-4,8.03,65.6,527.0
大村,10R,1-4-5,6.56,78.7,516.0
若松,3R,1-5-4,5.06,99.8,504.6
児島,5R,1-3-5,9.09,55.4,503.3
児島,7R,1-3-4,11.51,43.5,500.9
住之江,4R,1-2-5,6.15,81.1,498.4
児島,6R,1-2-3,6.61,75.2,497.1
宮島,10R,4-1-2,6.48,75.3,487.9
児島,5R,1-3-2,5.74,82.9,475.9
宮島,11R,3-2-1,5.87,80.2,470.5
宮島,7R,1-2-4,7.38,62.9,464.0
若松,2R,1-3-2,10.67,43.3,461.9
児島,7R,1-4-3,8.75,52.4,458.7
多摩川,6R,4-1-2,5.75,79.5,457.5
児島,11R,2-1-4,7.96,57.5,457.4
尼崎,4R,4-2-1,12.90,35.4,456.5
常滑,6R,1-4-3,12.84,35.5,455.9
児島,8R,1-4-2,17.17,26.4,453.2
福岡,12R,2-1-3,8.47,53.3,451.5
宮島,11R,2-3-1,5.37,81.8,439.2
若松,8R,3-2-1,7.97,55.0,438.3
徳山,6R,4-1-2,5.07,85.7,434.3
若松,6R,1-5-2,5.05,85.7,432.4
住之江,5R,1-2-3,11.86,36.3,430.5
若松,8R,2-3-1,6.88,62.4,429.3
大村,9R,1-5-2,4.34,98.6,428.3
常滑,8R,1-4-2,11.96,35.5,424.8
徳山,9R,4-1-2,6.36,66.3,421.7
宮島,8R,2-3-1,6.10,69.1,421.2
児島,9R,1-5-4,7.85,53.4,419.2
宮島,12R,4-1-2,5.84,71.7,419.0
住之江,8R,1-2-4,6.90,60.0,413.8
児島,5R,3-1-2,5.66,72.5,410.0
大村,10R,1-5-4,4.57,88.5,404.7
浜名湖,6R,3-1-2,4.71,85.9,404.6
尼崎,11R,2-3-1,5.86,68.0,398.6
浜名湖,6R,2-1-3,5.31,74.7,396.3
住之江,8R,1-2-5,17.12,23.1,395.4
宮島,11R,3-1-2,7.47,52.7,393.8
尼崎,7R,1-4-5,4.71,83.3,392.2
下関,2R,1-3-2,5.93,65.7,389.9
大村,8R,1-4-2,4.82,80.5,388.2
芦屋,5R,2-1-4,6.45,60.1,387.9
下関,2R,1-3-4,5.20,74.3,386.3
浜名湖,5R,1-3-4,9.91,38.9,385.3
多摩川,6R,4-1-3,7.83,49.1,384.5
常滑,5R,1-4-3,4.06,94.4,382.9
宮島,10R,1-2-4,6.85,55.9,382.9
住之江,10R,1-3-2,8.32,44.9,373.4
児島,9R,1-4-5,6.80,54.9,373.1
若松,12R,4-1-3,6.55,56.9,372.7
大村,11R,3-4-1,6.31,58.9,371.9
児島,6R,1-2-4,5.15,72.0,371.0
大村,12R,1-4-5,7.81,47.5,370.8
大村,12R,1-5-4,8.29,44.7,370.6
常滑,6R,1-3-4,5.76,64.1,369.5
尼崎,7R,1-5-2,6.91,53.0,366.1
福岡,8R,1-4-3,9.12,40.1,365.7
児島,6R,1-4-2,5.55,65.4,363.3
大村,10R,1-4-3,6.39,56.6,361.9
大村,11R,3-2-1,4.52,80.0,361.2
若松,6R,2-1-5,4.00,89.7,358.6
多摩川,11R,1-4-3,14.95,23.8,355.7
児島,11R,4-1-2,4.70,75.5,354.6
浜名湖,6R,2-3-1,3.91,90.3,353.3
宮島,9R,1-2-3,6.74,52.3,352.4
児島,10R,2-3-1,3.52,100.0,352.1
多摩川,6R,1-4-2,6.97,50.5,351.9
浜名湖,5R,1-4-3,13.64,25.8,351.9
住之江,5R,1-2-4,6.48,54.2,351.2
常滑,8R,1-2-4,9.50,36.8,349.6
若松,1R,4-3-1,7.75,45.0,348.7
常滑,7R,1-3-2,7.43,46.9,348.4
大村,5R,4-2-1,4.59,75.7,347.6
芦屋,4R,2-1-5,4.17,83.2,347.2
大村,4R,3-2-1,3.78,91.7,346.5
多摩川,1R,1-4-2,6.18,56.1,346.4
多摩川,3R,1-5-4,5.09,67.5,343.4
児島,3R,5-1-3,4.48,76.6,342.9
下関,2R,3-1-2,3.81,89.9,342.3
若松,4R,1-3-2,5.97,57.3,341.9
児島,9R,1-5-2,6.91,49.4,341.5
福岡,5R,1-2-5,5.24,65.0,340.8
浜名湖,5R,3-1-4,5.08,67.1,340.8
福岡,6R,4-1-3,4.43,76.8,340.6
児島,5R,3-1-5,8.95,37.9,339.2
若松,3R,1-2-4,3.48,96.8,336.6
若松,3R,1-5-2,6.63,50.7,336.0
福岡,7R,2-1-4,15.59,21.5,335.1
宮島,8R,2-1-3,5.71,58.6,334.9
児島,8R,1-4-3,6.25,53.3,332.9
