場,レース,買い目,推定確率%,オッズ(取得時),回収率%
児島,8R,1-2-3,19.84,38.2,758.1
桐生,5R,1-4-3,9.32,75.2,701.1
常滑,8R,1-4-3,11.11,61.6,684.1
桐生,5R,1-3-4,8.28,78.2,647.3
児島,8R,1-3-2,17.75,35.7,633.7
徳山,6R,4-2-1,8.86,69.9,619.0
桐生,9R,1-2-3,13.02,47.4,617.2
住之江,8R,3-1-2,7.76,77.0,597.3
桐生,9R,1-3-2,6.74,87.7,590.8
常滑,8R,4-1-3,6.53,85.6,558.7
児島,7R,1-4-3,10.38,52.7,547.1
桐生,2R,1-3-2,5.72,93.6,535.4
住之江,6R,1-3-2,13.68,39.0,533.5
常滑,7R,1-2-4,5.89,90.5,533.0
宮島,2R,4-1-3,5.51,96.6,531.8
桐生,2R,1-2-3,5.13,96.6,496.0
住之江,8R,1-3-2,20.68,23.7,490.2
若松,9R,1-2-4,15.50,31.6,490.0
若松,7R,4-1-2,5.20,93.8,488.2
若松,7R,2-1-4,5.50,88.1,484.5
徳山,12R,5-1-3,5.68,85.1,483.4
戸田,9R,2-1-4,9.67,49.9,482.6
徳山,8R,4-1-3,4.95,96.5,478.0
三国,8R,1-5-3,5.14,90.2,464.0
戸田,11R,1-4-3,10.75,42.9,461.3
びわこ,4R,5-1-2,7.37,62.6,461.1
常滑,7R,1-3-2,7.51,61.0,458.0
住之江,1R,1-4-2,9.24,48.4,447.4
浜名湖,8R,1-3-2,7.81,57.0,445.2
徳山,11R,2-3-1,6.34,69.2,438.7
桐生,2R,1-4-3,5.71,76.0,433.7
戸田,9R,2-1-3,8.23,51.6,424.5
浜名湖,8R,1-2-3,7.72,54.5,420.7
児島,7R,1-3-4,9.82,42.8,420.2
常滑,8R,4-3-1,4.31,97.5,420.2
桐生,4R,1-3-4,4.75,87.9,417.6
浜名湖,3R,4-1-3,10.71,39.0,417.6
桐生,4R,1-2-4,10.51,39.6,416.3
桐生,2R,3-1-4,4.24,98.1,415.9
若松,9R,1-4-2,10.25,40.5,415.2
常滑,7R,1-2-5,11.16,36.2,403.9
江戸川,2R,2-1-3,4.75,84.9,403.5
戸田,6R,1-3-2,11.63,34.6,402.5
戸田,10R,1-2-4,8.79,45.8,402.5
三国,1R,1-3-2,8.25,48.3,398.6
桐生,1R,2-1-5,4.90,81.4,398.5
びわこ,7R,4-3-1,6.58,60.3,396.5
桐生,9R,2-1-3,4.92,80.4,395.8
浜名湖,11R,1-4-5,5.28,74.9,395.6
常滑,7R,1-2-3,12.70,30.7,389.8
戸田,12R,1-3-2,21.24,18.3,388.7
江戸川,7R,1-2-4,13.20,29.2,385.5
若松,11R,2-1-3,7.20,53.4,384.6
児島,7R,1-4-2,9.17,41.8,383.3
徳山,6R,1-2-4,6.29,60.5,380.3
福岡,9R,1-4-2,16.29,23.2,378.0
桐生,10R,1-4-2,4.47,84.5,377.6
徳山,2R,3-1-2,5.98,62.8,375.5
桐生,10R,1-2-4,5.25,71.1,373.6
戸田,6R,1-2-3,6.92,54.0,373.4
びわこ,4R,1-5-2,11.50,32.4,372.4
常滑,7R,1-5-2,6.37,58.2,370.6
桐生,5R,1-3-2,5.75,63.9,367.5
浜名湖,3R,4-3-1,8.95,40.9,366.2
びわこ,7R,4-1-3,14.59,24.8,361.8
