場,レース,買い目,推定確率%,オッズ(取得時),回収率%
多摩川,8R,1-4-2,12.55,64.9,814.7
大村,8R,2-4-1,7.66,96.3,737.6
多摩川,6R,1-4-2,9.77,75.3,735.7
若松,11R,1-2-4,10.75,65.9,708.3
若松,7R,1-3-2,8.59,77.2,663.4
若松,10R,1-3-2,8.98,71.3,640.1
江戸川,7R,1-2-4,11.21,53.0,594.1
若松,10R,3-1-2,6.21,92.7,576.0
若松,3R,1-4-2,9.70,56.1,543.9
多摩川,6R,1-4-5,6.13,88.7,543.6
若松,5R,1-2-5,5.80,93.1,539.8
児島,11R,4-1-3,10.50,50.2,527.3
江戸川,10R,1-5-2,8.01,64.4,515.7
多摩川,12R,1-4-3,7.30,70.1,511.6
若松,7R,1-2-3,5.91,86.3,510.2
若松,10R,3-1-4,8.06,63.2,509.4
唐津,9R,1-3-2,14.08,35.7,502.8
児島,6R,2-1-5,9.77,50.8,496.5
鳴門,12R,3-1-4,10.57,46.6,492.7
江戸川,7R,1-2-5,6.22,78.9,491.0
鳴門,11R,4-1-2,7.03,68.0,478.0
常滑,8R,3-2-1,5.71,83.2,474.7
多摩川,6R,1-2-4,6.06,77.6,470.2
尼崎,9R,4-1-3,8.61,54.2,466.7
児島,6R,1-2-5,16.23,28.7,465.7
江戸川,8R,1-4-3,7.78,59.2,460.3
鳴門,12R,3-1-2,9.59,47.9,459.3
江戸川,4R,1-3-2,14.06,32.4,455.4
大村,8R,4-2-1,4.71,96.3,453.4
芦屋,8R,4-1-2,5.87,76.3,448.1
常滑,9R,4-1-3,4.48,99.4,445.7
丸亀,4R,1-2-3,8.99,49.2,442.3
徳山,2R,3-2-1,6.14,72.0,442.3
常滑,11R,1-4-2,11.03,40.1,442.2
江戸川,8R,1-4-2,9.92,43.5,431.4
常滑,5R,3-5-1,4.99,85.5,427.0
江戸川,5R,4-3-1,4.85,87.2,423.1
芦屋,12R,3-1-4,5.61,74.8,419.5
多摩川,10R,1-2-3,11.18,37.5,419.4
丸亀,4R,2-1-3,6.19,67.6,418.8
丸亀,1R,4-1-3,7.38,56.6,417.8
江戸川,1R,1-4-3,15.94,25.9,412.8
尼崎,8R,1-2-3,11.51,35.8,412.1
常滑,9R,4-1-2,6.22,66.2,411.7
尼崎,8R,1-2-5,8.84,46.3,409.4
児島,5R,1-2-3,13.96,29.3,408.9
若松,2R,1-3-4,5.95,68.5,407.4
常滑,1R,1-3-2,4.91,82.7,406.3
常滑,8R,2-3-1,5.85,69.3,405.3
多摩川,7R,1-4-2,18.14,22.3,404.5
尼崎,9R,1-4-3,15.17,26.6,403.5
尼崎,10R,1-4-3,5.45,73.6,401.2
江戸川,6R,1-2-4,10.12,39.2,396.9
若松,4R,1-2-5,5.22,75.9,396.5
芦屋,12R,4-1-3,6.06,65.4,396.3
児島,5R,1-2-4,6.83,58.0,396.2
唐津,8R,2-4-1,4.75,82.6,392.0
多摩川,4R,1-4-2,5.54,70.3,389.6
唐津,9R,3-1-2,11.62,33.3,387.0
鳴門,12R,3-4-1,3.87,99.5,385.0
尼崎,4R,1-2-4,4.26,90.3,384.7
唐津,8R,1-4-2,9.32,41.0,382.2
尼崎,4R,1-3-2,10.52,36.1,379.7
江戸川,3R,3-2-1,6.37,59.6,379.4
徳山,11R,3-1-2,8.09,46.7,377.7
徳山,4R,2-4-3,4.03,93.5,376.9
津,6R,1-3-2,7.86,47.9,376.5
尼崎,7R,1-2-4,6.74,55.8,375.9
江戸川,6R,1-2-5,16.36,22.9,374.7
丸亀,1R,1-4-3,8.86,42.2,374.0
津,8R,1-3-2,7.90,47.2,373.0
常滑,8R,2-1-3,6.57,56.7,372.7
津,10R,2-1-4,9.89,37.5,371.0
江戸川,10R,1-2-5,9.04,40.8,369.0
常滑,8R,3-1-2,6.19,59.4,367.9
児島,8R,1-2-3,4.05,90.7,367.2
鳴門,4R,4-1-3,5.17,70.8,366.1
丸亀,3R,4-3-1,4.19,87.2,365.1
津,4R,1-3-4,9.96,36.6,364.5
唐津,8R,2-1-4,4.13,87.8,362.8
津,8R,1-2-5,4.87,74.5,362.6
芦屋,8R,4-2-1,5.67,63.7,361.4
丸亀,7R,1-2-4,4.57,79.1,361.3
児島,3R,1-4-2,3.89,92.3,359.3
常滑,6R,1-3-4,10.46,34.0,355.7
常滑,5R,5-3-2,3.75,94.1,352.7
児島,6R,1-2-4,9.11,38.7,352.4
尼崎,10R,1-3-4,9.43,37.3,351.8
江戸川,5R,4-1-3,5.02,70.1,351.6
大村,12R,2-3-1,6.20,56.6,350.7
丸亀,1R,4-3-1,5.04,69.0,347.9
大村,9R,2-1-4,8.29,41.9,347.3
津,9R,5-1-2,4.05,85.7,347.3
津,6R,3-1-2,3.66,94.5,345.5
江戸川,4R,1-2-3,10.57,32.6,344.6
常滑,7R,2-1-5,5.10,66.9,341.3
徳山,2R,3-1-2,5.84,58.4,341.2
津,4R,1-3-5,6.56,51.9,340.3
常滑,6R,1-2-4,6.86,49.4,338.7
津,9R,5-1-4,4.48,75.4,337.9
大村,12R,3-2-1,3.89,86.8,337.7
唐津,8R,1-2-4,5.36,63.0,337.7
児島,9R,1-6-3,3.52,95.5,336.4
常滑,11R,1-2-4,8.47,39.5,334.7
江戸川,8R,4-1-3,3.50,95.6,334.6
大村,12R,2-1-3,10.85,30.8,334.1
多摩川,11R,1-2-4,13.89,24.0,333.3
徳山,3R,3-1-5,5.10,65.1,332.0
江戸川,5R,1-4-3,4.26,77.8,331.1
大村,12R,2-1-4,8.59,38.4,329.7
常滑,1R,1-3-4,4.48,73.6,329.4
丸亀,7R,1-3-2,11.57,28.4,328.7
児島,3R,1-3-4,5.84,56.2,328.2
多摩川,10R,1-2-5,11.71,28.0,327.9
丸亀,3R,3-4-1,4.17,78.5,327.6
江戸川,9R,1-2-5,22.40,14.6,327.0
大村,3R,1-2-5,8.37,39.0,326.5
芦屋,3R,1-5-2,5.79,56.3,326.1
丸亀,7R,3-1-2,3.89,83.7,325.7
江戸川,6R,1-4-2,5.22,62.2,324.6
尼崎,12R,2-1-3,5.48,59.2,324.6
常滑,6R,1-2-3,5.36,60.5,324.2
徳山,3R,3-2-1,4.11,78.8,324.1
津,10R,4-1-2,4.69,69.1,324.0
江戸川,1R,1-3-4,14.60,22.1,322.7
多摩川,2R,1-2-4,3.33,96.8,322.2
鳴門,10R,3-1-2,5.82,55.0,320.1
多摩川,4R,1-2-4,8.56,37.3,319.3
徳山,11R,3-2-1,4.60,69.4,318.9
児島,10R,4-3-1,5.10,62.4,318.3
常滑,5R,5-1-3,3.38,94.1,318.3
児島,3R,1-4-3,5.84,54.5,318.2
鳴門,6R,1-3-2,9.96,31.9,317.7
常滑,9R,1-4-3,4.55,69.8,317.7
唐津,9R,1-2-3,11.24,28.2,316.9
江戸川,8R,1-2-4,5.31,59.2,314.5
徳山,3R,3-1-2,5.94,52.8,313.8
徳山,8R,1-6-2,3.52,88.7,312.6
尼崎,4R,1-3-4,3.46,90.3,312.5
津,9R,1-5-4,10.25,30.4,311.6
津,9R,1-5-2,9.27,33.6,311.4
尼崎,7R,1-4-2,12.76,24.3,310.2
芦屋,6R,2-5-1,4.58,67.7,310.0
江戸川,6R,1-5-2,9.86,31.4,309.8
大村,2R,3-1-2,4.33,71.4,309.3
鳴門,11R,1-4-2,12.59,24.5,308.4
常滑,9R,1-4-2,6.31,48.7,307.4
常滑,3R,1-2-3,13.52,22.7,306.9
大村,2R,2-1-3,4.80,64.0,306.9
常滑,8R,1-2-3,7.00,43.8,306.8
唐津,5R,1-3-5,3.31,92.6,306.1
津,9R,2-1-5,3.08,99.2,305.1
大村,6R,1-2-4,10.12,30.1,304.6
大村,8R,2-4-3,5.61,54.3,304.4
大村,8R,4-2-3,3.45,88.2,304.0
丸亀,6R,4-1-3,4.56,66.5,303.4
徳山,12R,4-1-2,3.31,91.5,303.0
尼崎,8R,1-3-2,6.52,46.3,302.0
大村,7R,1-2-5,3.27,92.1,301.2
鳴門,2R,1-3-4,7.15,42.1,301.1
丸亀,8R,1-3-5,9.65,31.2,301.1
丸亀,5R,1-6-4,8.02,37.5,300.8
鳴門,5R,3-4-1,6.17,48.7,300.6
大村,6R,1-2-5,6.58,45.6,300.2
津,9R,1-4-5,8.91,33.6,299.2
丸亀,1R,3-4-1,4.55,65.8,299.1
児島,9R,1-4-6,5.33,56.0,298.5
若松,9R,1-4-3,19.51,15.3,298.5
多摩川,9R,1-2-3,9.68,30.8,298.2
鳴門,4R,4-1-2,5.07,58.7,297.3
津,6R,3-1-4,3.69,80.6,297.2
江戸川,7R,2-1-5,5.90,50.4,297.1
尼崎,6R,1-4-3,4.57,64.9,296.6
江戸川,7R,1-2-6,10.05,29.5,296.4
津,6R,3-1-5,3.75,78.7,295.5
多摩川,5R,3-2-1,4.62,63.9,295.3
江戸川,9R,1-5-2,13.48,21.9,295.1
津,4R,1-3-2,12.50,23.6,295.0
江戸川,11R,1-5-3,7.10,41.4,294.0
丸亀,7R,2-1-3,4.34,67.8,294.0
芦屋,11R,1-4-2,9.33,31.5,293.8
江戸川,1R,1-4-2,9.27,31.7,293.8
徳山,1R,3-1-2,3.89,75.3,292.8
鳴門,3R,5-1-4,4.42,66.1,291.9
常滑,1R,1-2-3,7.55,38.6,291.3
江戸川,7R,1-4-2,3.21,90.5,290.8
大村,9R,2-1-3,4.55,63.7,290.1
鳴門,12R,3-2-1,3.43,84.4,289.5
常滑,3R,1-2-4,11.60,24.9,288.9
常滑,9R,1-2-4,4.47,64.6,288.9
若松,3R,1-4-5,5.33,54.1,288.6
若松,2R,1-3-2,21.35,13.5,288.2
多摩川,3R,1-3-5,7.16,40.2,287.8
唐津,10R,1-4-2,20.24,14.2,287.4
唐津,7R,1-3-2,11.53,24.9,287.1
唐津,7R,1-2-3,4.03,70.9,286.0
若松,6R,1-3-2,5.65,50.5,285.6
鳴門,1R,1-6-3,2.87,99.6,285.5
若松,11R,2-1-4,5.57,51.1,284.8
唐津,10R,2-1-4,3.34,85.2,284.6
津,4R,1-4-3,6.90,41.2,284.4
尼崎,8R,2-1-3,6.14,46.3,284.2
津,8R,1-2-3,14.21,19.9,282.8
児島,5R,1-2-5,4.98,56.7,282.6
若松,4R,1-5-3,2.98,94.9,282.6
鳴門,11R,2-1-4,9.08,31.1,282.5
尼崎,6R,1-2-4,2.84,99.2,281.6
丸亀,1R,3-1-4,5.67,49.6,281.3
児島,3R,1-3-2,3.90,72.0,280.6
江戸川,5R,4-3-2,4.70,59.6,280.3
丸亀,5R,1-4-6,7.06,39.7,280.2
多摩川,6R,4-1-2,9.50,29.5,280.1
尼崎,1R,3-1-2,4.00,70.0,279.8
徳山,2R,2-3-1,6.53,42.8,279.7
多摩川,10R,1-5-2,4.17,67.0,279.1
尼崎,6R,1-2-5,4.37,63.6,277.8
多摩川,4R,1-4-3,3.49,79.6,277.8
多摩川,7R,1-4-5,3.85,72.2,277.7
徳山,4R,4-2-3,3.46,80.2,277.4
常滑,1R,1-4-3,6.46,42.9,277.2
多摩川,3R,1-3-4,6.89,40.2,277.0
若松,10R,1-3-4,11.65,23.7,276.0
多摩川,8R,1-2-4,27.32,10.1,276.0
芦屋,4R,2-1-4,3.76,73.3,275.6
大村,3R,1-5-2,6.61,41.6,275.1
芦屋,3R,1-2-5,6.46,42.6,275.1
児島,2R,4-1-3,4.17,65.8,274.4
児島,11R,3-1-4,4.12,66.6,274.1
多摩川,7R,1-2-4,16.70,16.4,274.0
多摩川,10R,1-2-4,8.05,34.0,273.7
多摩川,11R,1-4-2,12.32,22.2,273.6
芦屋,11R,1-2-4,11.88,23.0,273.3
児島,6R,2-1-4,5.48,49.8,273.1
多摩川,9R,1-4-3,2.75,99.0,272.3
丸亀,2R,1-2-3,6.67,40.8,272.2
多摩川,5R,2-5-1,2.80,96.9,271.6
尼崎,4R,3-2-1,4.51,60.2,271.5
丸亀,5R,1-4-3,4.86,55.6,270.2
江戸川,8R,4-1-2,4.46,60.4,269.7
大村,8R,2-1-4,6.87,39.2,269.5
江戸川,9R,2-1-5,11.57,23.2,268.5
常滑,2R,4-1-3,3.86,69.5,268.0
徳山,4R,2-3-4,4.10,64.9,266.2
唐津,4R,4-1-2,4.63,57.2,264.7
丸亀,7R,1-3-4,3.71,71.2,264.3
多摩川,5R,2-3-1,8.34,31.6,263.5
児島,2R,1-4-3,10.93,24.1,263.4
児島,3R,1-2-3,3.28,80.0,262.7
児島,12R,4-1-3,3.34,78.4,262.0
若松,3R,1-2-4,5.74,45.6,261.8
尼崎,12R,2-1-4,5.91,44.3,261.7
児島,11R,1-4-3,16.12,16.2,261.1
大村,9R,2-4-1,2.81,92.7,260.9
多摩川,6R,1-5-4,3.26,80.1,260.9
芦屋,7R,1-4-3,17.98,14.5,260.7
若松,10R,1-4-3,5.53,47.1,260.4
鳴門,11R,2-4-1,4.21,61.7,260.0
鳴門,7R,1-5-2,2.65,97.9,259.5
多摩川,12R,1-5-3,8.80,29.5,259.5
大村,9R,4-1-2,4.50,57.7,259.5
若松,5R,2-1-4,5.77,44.9,259.2
津,10R,4-2-1,3.40,76.0,258.8
鳴門,2R,1-3-2,12.20,21.2,258.7
丸亀,9R,1-3-2,15.04,17.2,258.7
常滑,10R,1-4-3,7.50,34.4,257.9
若松,3R,1-4-3,11.67,22.1,257.8
鳴門,8R,1-3-4,9.94,25.9,257.4
常滑,1R,2-1-4,2.97,86.4,256.7
鳴門,7R,4-1-2,3.25,78.9,256.3
唐津,4R,4-2-1,4.93,52.0,256.1
津,5R,1-5-2,10.57,24.2,255.8
江戸川,12R,1-4-3,9.00,28.4,255.7
児島,2R,1-4-2,6.40,39.9,255.4
大村,4R,1-3-5,15.83,16.1,254.9
尼崎,6R,1-2-3,5.51,46.2,254.7
鳴門,3R,1-5-4,9.35,27.1,253.5
多摩川,2R,2-1-4,4.65,54.5,253.4
丸亀,7R,1-4-2,3.02,83.7,252.5
児島,10R,1-3-4,6.92,36.4,252.0
尼崎,9R,4-3-1,4.09,61.5,251.7
江戸川,10R,1-5-3,3.68,68.4,251.5
尼崎,3R,2-1-3,6.67,37.7,251.4
徳山,7R,1-6-2,3.42,73.4,251.2
児島,4R,5-3-1,2.66,94.3,251.0
若松,4R,1-5-2,3.47,72.3,251.0
児島,5R,1-4-2,4.33,58.0,250.9
唐津,10R,1-2-4,9.11,27.5,250.6
徳山,10R,4-1-3,2.78,90.1,250.4
尼崎,4R,3-1-2,7.01,35.7,250.1
児島,8R,3-1-2,3.81,65.4,248.9
児島,12R,1-4-3,11.51,21.6,248.7
児島,11R,3-4-1,2.60,95.5,248.3
若松,12R,1-4-2,4.69,52.9,248.0
尼崎,7R,4-1-2,4.18,59.2,247.7
津,7R,1-6-4,4.29,57.7,247.7
唐津,5R,1-5-3,4.96,49.9,247.6
徳山,6R,1-5-3,6.54,37.8,247.1
丸亀,6R,3-1-4,5.50,44.9,247.0
鳴門,2R,3-1-2,8.10,30.5,247.0
津,3R,2-1-5,15.87,15.5,246.0
常滑,11R,4-1-2,2.58,95.2,245.9
常滑,6R,1-4-3,12.02,20.4,245.1
鳴門,9R,1-3-4,5.02,48.8,244.9
大村,1R,1-4-3,4.50,54.4,244.8
尼崎,6R,3-1-2,2.76,88.8,244.7
唐津,1R,1-5-3,14.06,17.4,244.6
江戸川,4R,1-2-5,3.47,70.5,244.4
多摩川,9R,1-3-2,15.07,16.2,244.1
丸亀,3R,1-4-3,3.73,65.4,243.9
大村,4R,1-4-5,3.00,81.4,243.8
鳴門,6R,1-2-3,5.36,45.5,243.8
唐津,6R,1-2-4,11.02,22.1,243.5
丸亀,12R,4-1-3,3.31,73.5,243.1
丸亀,1R,1-3-4,7.55,32.1,242.5
唐津,8R,1-4-3,4.75,51.0,242.1
若松,6R,2-1-4,4.79,50.5,241.9
常滑,4R,1-3-5,7.74,31.2,241.5
徳山,7R,1-4-3,6.71,36.0,241.5
尼崎,4R,1-4-2,2.67,90.3,241.2
唐津,1R,5-1-3,2.42,99.3,240.7
尼崎,4R,1-2-3,11.46,21.0,240.6
大村,8R,2-3-1,3.63,66.2,240.4
丸亀,8R,5-3-1,3.20,75.0,240.3
若松,5R,2-1-3,3.73,64.4,240.0
常滑,3R,1-2-5,5.54,43.3,239.8
丸亀,11R,3-1-4,3.00,79.7,239.2
丸亀,2R,1-2-5,8.00,29.9,239.1
