場,レース,買い目,推定確率%,オッズ(取得時),回収率%
常滑,5R,1-4-3,9.36,82.2,769.8
浜名湖,7R,1-4-2,9.21,82.9,763.7
浜名湖,7R,4-1-2,8.24,84.0,692.5
浜名湖,7R,1-2-4,9.13,75.2,686.5
平和島,8R,1-4-2,16.34,42.0,686.2
鳴門,10R,1-4-5,10.68,64.2,685.5
常滑,6R,1-4-3,12.88,52.4,674.7
常滑,7R,2-1-3,8.42,75.8,638.4
児島,3R,1-2-4,9.47,66.0,625.3
常滑,7R,3-1-2,6.28,94.1,590.8
児島,10R,3-1-5,9.80,57.5,563.2
下関,2R,2-1-5,8.66,61.8,535.4
常滑,8R,1-4-3,13.76,38.8,534.1
平和島,11R,1-2-4,6.71,79.4,532.5
三国,10R,3-1-2,6.22,83.3,517.8
江戸川,7R,1-2-4,7.27,70.5,512.6
平和島,4R,1-2-5,9.13,56.1,511.9
津,5R,2-1-3,5.58,91.6,511.6
鳴門,10R,1-5-4,6.88,73.8,507.7
児島,4R,1-2-4,10.07,49.8,501.3
福岡,8R,1-4-3,5.73,87.4,500.7
若松,3R,1-5-3,7.20,69.4,500.0
児島,3R,2-1-4,5.63,88.2,496.8
平和島,4R,1-4-2,5.52,90.0,496.5
平和島,8R,1-2-4,12.54,39.3,492.8
平和島,9R,1-2-4,5.79,83.7,485.0
児島,5R,1-2-4,7.18,66.7,479.1
戸田,3R,2-1-3,8.15,57.8,471.0
児島,5R,2-1-4,5.99,78.5,470.3
若松,9R,1-4-2,11.16,42.1,469.9
浜名湖,7R,4-2-1,7.03,65.3,459.4
福岡,7R,1-2-4,14.25,32.1,457.5
児島,3R,1-2-3,13.40,34.1,457.1
児島,8R,3-1-2,4.61,99.0,456.6
児島,10R,3-1-2,5.75,78.9,453.9
福岡,8R,1-2-4,5.47,82.6,451.7
鳴門,10R,1-4-3,7.37,60.9,449.1
福岡,10R,2-1-3,4.65,94.5,439.2
常滑,6R,1-3-4,9.95,43.7,434.9
若松,12R,1-4-3,6.89,62.9,433.4
鳴門,5R,4-1-3,8.68,49.9,433.2
児島,4R,1-4-2,5.72,75.5,431.5
江戸川,3R,1-2-4,18.34,23.5,430.9
児島,3R,1-4-2,5.81,74.1,430.3
江戸川,3R,1-2-5,10.92,39.4,430.2
下関,5R,1-4-2,8.33,51.5,429.2
若松,2R,1-5-4,5.04,84.5,425.7
児島,12R,3-1-2,5.06,84.0,425.1
下関,3R,3-1-2,5.06,83.8,424.2
平和島,9R,1-5-4,5.17,81.9,423.5
下関,7R,1-3-2,10.50,40.3,423.0
福岡,1R,1-6-3,4.31,97.7,421.4
下関,2R,5-1-2,6.47,65.1,421.0
浜名湖,2R,4-2-1,4.99,83.3,415.5
常滑,6R,1-4-2,9.11,45.6,415.2
児島,4R,2-1-4,9.47,43.6,413.0
常滑,8R,1-3-4,20.09,20.5,411.8
常滑,7R,1-3-2,11.24,36.4,409.0
三国,7R,3-4-1,5.56,73.2,407.2
若松,1R,3-1-2,5.25,77.1,404.8
津,10R,4-1-3,4.99,80.9,403.4
津,7R,2-4-1,4.32,93.2,403.0
平和島,3R,1-2-5,4.57,88.1,402.6
常滑,3R,2-1-4,4.05,98.5,399.0
下関,3R,1-5-3,6.45,61.7,398.2
平和島,6R,1-3-2,7.76,50.9,395.0
江戸川,8R,3-1-2,7.19,54.9,394.7
唐津,6R,4-2-1,5.47,72.0,393.5
津,7R,1-2-4,7.75,50.6,392.2
下関,1R,1-4-2,6.56,59.7,391.4
江戸川,11R,1-3-4,12.70,30.8,391.1
浜名湖,11R,1-4-3,6.47,60.4,390.9
浜名湖,12R,5-1-4,4.50,86.8,390.7
津,3R,2-1-4,5.89,65.6,386.7
唐津,12R,1-5-4,5.18,74.1,383.5
津,9R,1-6-3,8.03,47.7,383.2
浜名湖,9R,1-4-3,11.05,34.6,382.3
江戸川,9R,1-5-3,6.63,57.3,380.2
児島,9R,1-4-3,8.93,42.0,374.9
若松,1R,3-1-4,5.05,74.1,374.4
平和島,4R,1-2-4,8.96,41.7,373.6
児島,8R,3-2-1,4.23,88.0,372.1
三国,11R,4-1-2,4.64,79.7,370.0
江戸川,6R,1-4-3,4.82,76.5,368.8
若松,3R,1-3-5,14.88,24.7,367.7
平和島,12R,2-3-1,5.89,62.2,366.1
福岡,9R,4-1-2,6.83,53.5,365.4
児島,4R,2-1-5,4.04,90.0,363.5
鳴門,6R,4-2-1,4.11,88.2,362.9
児島,9R,4-1-3,5.62,64.2,361.1
平和島,8R,1-4-3,6.39,56.3,360.0
江戸川,3R,1-2-3,11.82,30.3,358.1
平和島,7R,3-1-2,14.42,24.7,356.2
児島,4R,1-2-5,4.29,83.0,356.1
丸亀,12R,2-1-5,6.35,55.9,355.0
浜名湖,4R,1-4-3,3.84,91.7,351.7
常滑,3R,1-4-2,5.26,66.5,349.6
丸亀,6R,1-3-4,7.61,45.9,349.1
戸田,5R,2-3-1,3.72,93.8,348.8
下関,3R,1-3-2,12.19,28.6,348.7
江戸川,11R,1-4-3,11.84,29.4,348.2
平和島,10R,2-1-3,12.17,28.6,348.1
鳴門,12R,2-1-3,9.68,35.9,347.5
唐津,12R,1-5-3,6.30,55.1,347.2
三国,9R,1-5-2,9.15,37.9,346.8
江戸川,7R,1-4-2,4.15,83.1,345.2
福岡,9R,4-1-3,8.82,39.1,345.0
戸田,6R,1-3-4,10.74,31.9,342.7
浜名湖,1R,3-1-2,8.57,39.8,340.9
下関,9R,2-1-3,6.33,53.7,340.2
三国,12R,2-1-4,7.47,45.4,339.3
平和島,4R,1-5-2,5.65,60.0,339.3
下関,8R,1-2-4,16.74,20.2,338.1
平和島,10R,1-3-2,9.67,34.9,337.6
丸亀,6R,1-4-3,4.33,78.0,337.4
戸田,6R,1-4-3,4.14,81.4,337.2
津,7R,1-2-5,6.94,48.5,336.6
児島,4R,2-1-3,4.45,75.5,336.3
鳴門,9R,1-2-4,7.18,46.8,336.2
下関,5R,1-2-4,8.80,38.2,336.0
児島,9R,1-3-4,6.65,50.5,335.9
児島,3R,1-3-2,9.38,35.8,335.8
