場,レース,買い目,推定確率%,オッズ(取得時),回収率%
宮島,11R,4-1-2,8.43,79.6,671.0
若松,3R,1-5-3,6.82,94.0,640.8
大村,9R,1-4-3,7.28,80.1,583.2
芦屋,8R,1-4-2,11.12,52.0,578.5
大村,2R,4-1-3,8.34,66.0,550.6
宮島,11R,4-1-3,6.36,86.4,549.8
若松,3R,3-1-5,6.60,82.9,547.5
津,6R,1-3-2,17.51,31.0,542.9
下関,9R,1-2-4,6.04,87.0,525.6
丸亀,9R,3-1-2,9.76,53.3,520.2
児島,8R,1-3-2,5.46,93.7,511.8
三国,6R,1-2-6,5.08,98.8,501.8
津,6R,3-1-2,8.37,59.7,499.5
丸亀,1R,1-4-3,8.59,57.7,495.9
若松,3R,1-3-5,9.30,52.2,485.6
丸亀,5R,1-3-2,10.20,47.2,481.4
大村,4R,1-4-2,7.18,66.1,474.8
三国,6R,2-1-6,4.75,99.5,472.3
宮島,12R,4-1-2,5.25,88.9,466.8
三国,8R,1-2-4,5.33,87.2,464.7
三国,9R,1-2-3,7.94,58.5,464.6
丸亀,5R,1-2-3,7.46,62.2,464.3
大村,12R,3-1-2,6.31,73.0,460.6
大村,2R,4-3-1,7.88,58.4,460.0
丸亀,5R,3-1-2,8.02,57.0,457.3
びわこ,11R,3-1-2,5.28,83.7,441.6
下関,11R,1-4-2,6.76,65.1,439.9
下関,7R,2-1-4,4.40,99.4,437.7
江戸川,1R,3-4-1,6.16,70.0,431.4
三国,9R,1-3-2,6.28,68.6,430.9
津,9R,3-1-2,6.81,62.0,422.2
大村,4R,1-4-3,8.70,48.3,420.2
下関,11R,1-4-3,4.89,85.4,417.3
津,7R,4-3-2,4.65,89.1,414.6
大村,2R,3-4-1,5.40,75.9,410.0
三国,11R,2-1-5,9.41,43.2,406.5
大村,12R,2-3-1,4.15,97.9,405.9
丸亀,1R,4-1-3,4.43,90.4,400.3
下関,3R,1-2-5,4.00,99.8,399.2
丸亀,11R,1-4-2,8.23,47.9,394.3
大村,3R,4-1-2,4.47,87.9,392.9
平和島,3R,2-1-4,4.75,82.3,391.3
若松,10R,2-1-3,17.68,22.1,390.8
江戸川,4R,5-1-3,3.97,98.4,390.5
児島,10R,1-4-2,14.15,27.5,389.1
三国,3R,4-1-3,5.24,74.2,389.1
宮島,4R,5-1-2,11.95,32.5,388.5
若松,10R,2-1-4,6.36,60.9,387.6
三国,9R,2-1-3,6.59,58.5,385.4
児島,10R,1-2-4,20.27,19.0,385.1
児島,5R,1-3-2,9.17,41.7,382.5
びわこ,12R,5-1-4,4.47,85.6,382.4
丸亀,11R,1-4-3,6.10,62.5,381.2
江戸川,1R,3-1-4,11.45,33.1,378.9
児島,8R,1-2-3,5.17,72.9,376.7
三国,9R,1-2-4,5.82,64.7,376.4
津,8R,2-4-1,5.28,71.0,374.7
児島,6R,1-2-3,3.93,95.4,374.7
江戸川,11R,3-2-1,4.85,77.2,374.6
