場,レース,買い目,推定確率%,オッズ(取得時),回収率%
徳山,3R,2-1-5,10.27,79.6,817.7
常滑,7R,1-4-2,8.97,82.7,741.8
下関,2R,1-2-3,6.96,97.8,681.0
平和島,10R,1-2-5,8.07,83.0,670.1
徳山,5R,2-3-4,8.64,76.1,657.4
尼崎,12R,2-3-1,6.49,91.9,596.3
住之江,2R,1-4-3,6.06,93.8,568.9
蒲郡,5R,1-2-3,6.83,81.3,555.1
蒲郡,5R,2-1-3,5.79,95.3,552.0
津,12R,2-3-1,7.34,73.0,536.0
下関,6R,1-2-3,8.95,59.7,534.1
住之江,1R,2-3-1,6.94,76.6,531.2
平和島,7R,4-2-1,5.63,94.3,531.0
福岡,7R,2-4-1,6.24,84.3,526.1
蒲郡,10R,4-1-3,5.25,96.8,507.9
津,2R,4-1-2,9.86,51.3,505.7
住之江,5R,1-4-2,9.10,54.8,498.7
多摩川,5R,3-1-2,6.74,73.6,496.4
蒲郡,5R,1-3-2,5.54,89.1,493.6
下関,6R,1-3-2,11.83,41.2,487.4
徳山,8R,2-1-4,8.67,56.1,486.5
蒲郡,10R,1-4-3,12.36,39.1,483.1
津,3R,1-4-5,7.18,66.6,478.3
下関,2R,1-2-4,5.54,85.9,476.0
住之江,5R,1-2-4,5.18,91.4,473.3
尼崎,12R,3-1-2,5.21,90.7,472.3
平和島,10R,1-5-2,9.56,48.9,467.5
鳴門,1R,1-3-4,7.00,66.6,465.9
尼崎,12R,2-1-3,10.96,42.4,464.8
住之江,1R,3-2-1,11.63,39.8,463.0
平和島,11R,2-1-3,12.44,36.9,459.0
鳴門,1R,1-4-3,12.48,36.7,458.2
徳山,10R,3-1-2,5.54,82.7,458.1
福岡,8R,1-3-5,9.13,49.9,455.4
住之江,11R,2-1-3,10.20,43.3,441.7
津,9R,4-1-3,4.59,95.0,436.1
多摩川,9R,2-4-1,5.83,74.7,435.6
鳴門,5R,1-3-4,5.40,80.2,433.1
下関,11R,4-1-3,5.32,81.2,432.0
尼崎,10R,2-1-4,6.78,63.7,431.9
平和島,7R,4-1-2,6.90,62.4,430.3
住之江,2R,1-2-4,5.36,79.0,423.3
福岡,12R,1-4-2,10.15,41.7,423.1
徳山,12R,2-1-5,4.70,89.2,419.1
蒲郡,3R,1-3-4,5.83,71.5,416.9
下関,2R,1-4-2,4.40,94.5,416.0
蒲郡,6R,1-3-4,15.19,27.3,414.8
津,9R,1-4-3,9.86,42.0,414.3
平和島,9R,1-2-4,7.28,56.9,414.2
多摩川,5R,2-1-3,6.85,59.1,404.8
平和島,10R,1-2-6,4.11,97.8,402.4
平和島,11R,2-1-5,6.53,61.3,400.4
常滑,7R,1-2-4,11.78,33.3,392.1
住之江,2R,1-4-2,6.00,65.2,391.4
徳山,9R,1-6-5,3.94,98.7,388.8
津,12R,3-1-2,5.68,67.8,385.3
多摩川,7R,4-1-3,4.63,82.7,383.1
多摩川,9R,2-1-4,10.41,36.8,383.0
多摩川,7R,4-3-1,4.22,90.5,381.5
下関,1R,2-3-1,4.39,86.4,379.3
鳴門,2R,3-1-2,4.17,90.9,379.1
鳴門,9R,4-1-2,4.48,84.5,378.8
徳山,6R,2-1-4,5.49,68.7,377.0
蒲郡,10R,1-5-4,5.74,65.6,376.5
唐津,6R,4-1-2,8.29,45.4,376.5
びわこ,4R,5-1-2,4.98,75.6,376.4
蒲郡,6R,1-4-3,5.39,69.7,375.8
津,12R,2-1-3,13.14,28.5,374.4
住之江,1R,3-1-2,11.37,32.9,374.2
鳴門,5R,1-5-3,4.23,87.7,370.6
徳山,10R,2-1-3,7.05,52.1,367.1
徳山,5R,3-2-1,4.08,89.9,367.0
鳴門,2R,1-2-3,5.24,69.9,366.4
徳山,2R,4-1-3,4.79,76.3,365.7
平和島,8R,1-2-4,9.56,38.2,365.3
蒲郡,9R,3-1-2,4.51,80.9,365.1
蒲郡,9R,2-1-3,4.78,76.3,364.4
蒲郡,4R,4-1-2,3.75,96.0,360.1
下関,1R,3-2-1,5.60,64.1,359.2
福岡,12R,1-2-4,12.26,29.3,359.1
多摩川,8R,1-5-3,7.54,47.5,358.2
福岡,5R,1-3-2,11.69,30.4,355.2
蒲郡,3R,3-1-4,5.33,66.6,354.9
多摩川,2R,4-1-2,6.40,55.3,353.8
びわこ,2R,1-3-5,5.50,63.9,351.6
徳山,1R,4-1-2,4.01,87.5,350.6
住之江,11R,3-2-1,4.14,84.3,349.4
福岡,7R,1-2-5,5.52,63.2,349.1
福岡,7R,1-2-4,8.17,42.7,349.0
多摩川,9R,4-2-1,3.82,91.2,348.3
福岡,11R,1-4-2,6.87,50.7,348.1
蒲郡,10R,1-4-5,10.55,33.0,348.0
鳴門,2R,1-2-4,3.57,97.5,348.0
住之江,4R,1-4-3,5.92,58.7,347.3
唐津,10R,2-4-1,4.25,81.2,345.2
津,2R,4-2-1,4.37,78.5,343.1
平和島,11R,1-2-5,3.47,98.5,341.8
蒲郡,4R,1-4-3,6.36,53.7,341.3
津,1R,3-1-2,7.69,44.3,340.8
津,1R,3-2-1,3.64,93.4,339.7
福岡,6R,1-2-4,3.70,91.6,339.0
徳山,5R,2-3-1,5.38,63.0,338.7
下関,8R,1-4-3,3.68,91.9,338.1
蒲郡,11R,2-1-3,7.76,43.4,336.9
尼崎,10R,2-1-5,8.56,39.3,336.5
下関,3R,3-1-2,3.77,88.9,335.5
津,10R,2-1-5,6.47,51.8,335.2
平和島,11R,2-1-4,20.62,16.2,334.0
津,9R,1-4-5,5.73,58.2,333.6
徳山,3R,2-1-3,7.86,42.4,333.1
蒲郡,10R,1-3-4,7.04,47.3,332.8
徳山,5R,2-4-1,3.86,86.0,331.7
平和島,7R,2-4-1,3.35,98.7,330.3
下関,5R,2-1-3,4.18,78.5,327.8
下関,3R,1-3-2,5.30,61.7,327.3
福岡,8R,1-3-4,8.93,36.4,324.9
平和島,11R,1-2-4,10.95,29.5,323.1
多摩川,10R,1-5-4,4.47,71.5,319.9
びわこ,2R,1-3-2,6.66,47.8,318.5
津,8R,1-4-3,7.11,44.7,317.9
蒲郡,2R,1-3-2,6.72,47.2,317.3
びわこ,11R,1-4-3,6.83,46.2,315.7
蒲郡,4R,1-2-4,4.57,68.9,315.2
蒲郡,4R,4-1-3,4.57,68.9,314.9
蒲郡,2R,1-3-4,7.08,44.3,313.8
住之江,8R,3-1-2,3.92,79.8,312.9
住之江,7R,4-3-1,3.56,87.5,311.7
徳山,11R,4-1-2,4.54,68.1,309.1
住之江,5R,1-4-3,7.51,41.1,308.8
住之江,7R,4-1-3,4.70,65.6,308.3
常滑,12R,3-1-2,4.41,69.8,308.1
住之江,11R,2-3-1,4.25,72.3,307.0
津,9R,1-5-4,4.25,72.2,306.9
福岡,5R,3-1-2,3.80,80.6,306.5
住之江,3R,1-2-4,6.20,49.3,305.8
下関,6R,1-3-4,3.91,78.1,305.5
下関,12R,4-3-1,4.77,64.0,305.5
福岡,6R,1-2-5,11.00,27.6,303.5
住之江,11R,3-1-2,9.42,32.1,302.4
住之江,10R,3-1-2,5.79,52.1,301.6
徳山,9R,1-5-6,5.54,54.4,301.4
平和島,5R,1-2-4,9.87,30.5,300.9
住之江,6R,1-3-5,4.36,68.9,300.1
唐津,3R,3-1-2,4.89,61.4,300.0
下関,6R,1-2-5,5.41,55.4,299.7
びわこ,3R,5-1-3,3.78,78.7,297.8
蒲郡,2R,3-1-2,4.43,67.0,297.1
津,9R,1-5-3,3.61,82.0,296.2
鳴門,1R,1-3-2,3.71,79.7,295.6
平和島,10R,1-5-4,6.25,47.3,295.4
びわこ,4R,1-5-2,9.16,32.2,295.1
徳山,9R,1-5-2,8.94,33.0,294.9
津,11R,3-1-2,2.97,99.2,294.8
下関,6R,1-5-2,5.49,53.5,294.0
平和島,10R,1-5-3,4.14,71.0,293.9
常滑,1R,1-6-3,3.16,92.8,293.0
蒲郡,11R,2-1-4,5.53,52.9,292.3
