場,レース,買い目,推定確率%,オッズ(取得時),回収率%
平和島,6R,1-2-4,9.01,87.8,791.0
平和島,6R,1-3-2,9.09,81.0,736.5
宮島,6R,1-2-4,10.27,70.6,724.7
びわこ,12R,3-1-2,9.56,73.3,700.9
蒲郡,3R,1-3-2,11.74,58.7,689.0
蒲郡,3R,1-3-4,11.09,59.7,661.8
蒲郡,5R,1-4-2,8.27,77.1,637.8
平和島,6R,1-2-3,15.87,38.9,617.4
宮島,6R,2-1-4,7.65,79.4,607.3
蒲郡,10R,1-4-2,6.44,92.6,596.0
蒲郡,2R,4-1-2,7.26,75.4,547.2
蒲郡,1R,2-3-1,7.52,72.0,541.5
津,3R,2-1-3,6.82,74.5,507.9
桐生,1R,2-1-3,8.98,55.8,501.1
津,3R,2-1-5,6.91,72.1,498.1
蒲郡,1R,2-1-3,11.85,41.8,495.4
桐生,7R,1-4-3,6.34,77.3,489.8
桐生,4R,2-3-1,7.00,69.7,488.1
桐生,9R,3-1-4,6.55,73.8,483.6
桐生,8R,1-3-2,6.82,70.7,482.2
津,1R,4-1-3,5.02,94.1,472.0
蒲郡,2R,1-4-2,9.29,50.2,466.4
桐生,10R,2-1-4,4.86,87.7,426.3
津,12R,1-6-2,6.85,61.5,421.0
蒲郡,9R,1-3-2,5.07,82.8,419.9
平和島,6R,3-1-2,4.53,92.7,419.8
江戸川,3R,4-1-3,5.21,80.3,418.3
津,9R,1-2-3,17.88,23.0,411.3
桐生,4R,3-2-1,6.10,66.3,404.4
桐生,1R,2-1-5,5.50,72.9,400.6
戸田,6R,1-2-4,10.41,38.4,399.7
津,5R,4-1-2,4.75,84.1,399.6
蒲郡,4R,1-4-2,8.01,49.9,399.5
福岡,4R,4-1-2,8.11,49.2,398.8
住之江,8R,2-1-3,6.23,63.6,396.2
鳴門,5R,4-1-2,6.64,59.2,393.0
福岡,10R,4-3-1,4.01,98.0,392.8
住之江,3R,1-3-2,7.21,54.4,392.4
福岡,7R,4-1-2,5.29,73.7,390.2
津,4R,1-4-2,8.75,44.2,386.6
桐生,1R,2-3-1,4.49,86.1,386.6
江戸川,7R,1-3-2,11.73,32.9,385.9
平和島,2R,1-2-4,5.11,75.2,384.6
住之江,8R,1-3-2,9.42,40.6,382.5
