場,レース,買い目,推定確率%,オッズ(取得時),回収率%
尼崎,12R,3-1-2,13.67,70.4,962.2
住之江,5R,1-2-4,11.45,68.9,789.1
鳴門,12R,2-1-5,7.56,99.7,753.9
大村,6R,1-2-4,7.31,99.8,730.0
桐生,6R,1-4-2,12.93,55.8,721.7
住之江,8R,1-3-2,10.82,65.7,711.0
宮島,9R,1-2-4,7.35,94.8,696.8
常滑,8R,2-1-4,7.08,96.7,685.1
丸亀,5R,1-4-3,8.94,76.0,679.8
浜名湖,9R,1-2-3,14.08,48.1,677.2
芦屋,7R,2-1-4,8.43,80.3,676.7
住之江,12R,4-1-3,6.86,93.7,642.8
丸亀,9R,1-4-2,11.10,57.2,634.7
尼崎,11R,4-1-3,8.34,75.5,629.8
宮島,9R,1-4-2,6.72,91.9,617.7
戸田,9R,1-2-3,25.15,24.5,616.1
若松,4R,2-3-1,7.81,78.4,612.4
唐津,7R,1-4-2,8.60,71.1,611.7
桐生,3R,1-4-2,19.08,31.7,604.8
桐生,8R,1-4-5,8.19,72.9,597.4
宮島,8R,1-5-4,9.64,61.3,590.9
戸田,9R,1-3-2,17.52,33.2,581.8
若松,6R,1-4-2,17.12,33.9,580.5
浜名湖,8R,1-4-2,9.49,60.9,577.8
平和島,8R,1-4-2,9.07,63.6,577.1
平和島,4R,1-4-3,6.49,87.6,568.5
唐津,7R,4-1-2,5.87,96.5,566.3
桐生,4R,2-4-1,8.84,62.9,556.2
若松,3R,1-2-4,9.15,60.7,555.3
桐生,1R,1-4-2,15.16,36.3,550.3
大村,11R,4-1-2,7.82,70.3,550.1
宮島,10R,1-4-3,8.24,66.4,547.0
桐生,6R,1-4-3,6.96,78.2,544.0
唐津,7R,1-2-4,7.58,70.9,537.7
常滑,5R,2-1-3,6.90,77.3,533.4
丸亀,9R,1-4-3,6.67,79.8,532.4
住之江,5R,1-2-3,13.77,38.6,531.5
浜名湖,9R,1-3-2,12.05,44.0,530.1
浜名湖,5R,1-4-2,9.29,57.0,529.7
浜名湖,5R,4-1-2,6.58,80.3,528.3
平和島,8R,1-4-3,14.53,36.0,523.2
平和島,6R,4-2-1,5.38,95.9,516.4
宮島,10R,4-1-3,5.76,88.6,510.2
浜名湖,5R,1-2-4,8.44,60.2,508.4
丸亀,9R,1-2-4,13.72,36.5,501.0
住之江,8R,1-3-4,8.83,56.7,500.5
戸田,11R,1-5-3,6.42,77.8,499.2
桐生,2R,1-4-2,10.79,45.8,494.1
戸田,5R,1-2-4,20.72,23.7,490.9
平和島,7R,1-2-4,5.60,87.6,490.4
戸田,8R,1-4-3,9.75,50.0,487.4
丸亀,4R,1-2-4,8.73,55.5,484.3
住之江,4R,1-3-2,6.80,71.2,484.3
江戸川,10R,1-2-4,12.05,39.8,479.6
戸田,8R,1-4-2,11.25,42.6,479.3
若松,6R,1-2-4,9.68,48.8,472.2
大村,3R,1-4-2,4.98,94.4,470.2
平和島,6R,2-4-1,6.50,71.5,465.0
丸亀,6R,1-4-3,7.92,58.6,464.3
桐生,3R,1-4-3,12.23,37.9,463.6
平和島,4R,4-1-3,5.00,92.3,461.6
戸田,8R,1-2-4,7.71,59.6,459.5
大村,4R,2-4-3,5.48,83.7,458.6
若松,10R,1-4-2,5.24,87.5,458.3
平和島,4R,1-2-4,4.94,92.0,454.4
戸田,10R,1-3-2,5.90,76.8,452.9
浜名湖,8R,1-4-3,6.91,65.5,452.8
大村,2R,1-4-3,10.65,42.3,450.5
戸田,8R,1-3-4,6.35,70.8,449.3
若松,8R,1-2-4,9.99,44.8,447.7
桐生,4R,1-2-4,11.45,39.0,446.5
桐生,4R,4-1-2,5.92,73.1,432.9
浜名湖,6R,3-2-1,4.66,91.5,426.7
常滑,6R,1-5-3,9.89,42.9,424.5
桐生,1R,1-2-4,11.79,35.6,419.7
大村,6R,1-2-5,10.52,39.2,412.4
丸亀,6R,4-1-3,6.00,68.7,412.2
若松,12R,4-1-2,7.45,55.2,411.4
住之江,1R,2-1-4,6.87,59.6,409.6
唐津,7R,1-4-3,5.55,73.8,409.4
平和島,6R,2-1-4,5.16,78.9,407.4
江戸川,3R,4-1-2,7.66,52.8,404.6
江戸川,9R,2-4-3,4.76,85.0,404.3
桐生,7R,1-3-2,17.92,22.5,403.1
戸田,6R,3-2-1,6.77,58.6,396.7
住之江,7R,1-4-3,7.34,54.0,396.6
住之江,8R,1-2-3,10.26,38.6,396.1
尼崎,10R,2-1-5,9.18,42.9,394.0
江戸川,9R,4-2-1,11.16,35.2,392.8
浜名湖,3R,4-1-3,4.48,87.4,391.8
平和島,4R,1-3-4,6.07,64.5,391.6
桐生,4R,2-1-4,12.46,31.4,391.3
若松,10R,1-3-4,11.53,33.9,390.9
若松,11R,3-1-4,8.18,47.7,390.4
浜名湖,3R,1-4-3,15.44,25.2,389.1
尼崎,11R,4-1-2,5.83,66.1,385.4
江戸川,9R,2-4-1,9.98,38.6,385.4
住之江,7R,1-3-4,11.07,34.7,384.3
宮島,7R,1-4-3,13.01,29.5,383.8
尼崎,1R,3-2-1,8.74,43.9,383.7
尼崎,8R,2-4-1,4.11,93.2,383.1
常滑,1R,2-1-3,3.95,97.0,383.0
唐津,6R,4-1-3,4.43,86.3,382.0
戸田,7R,1-3-2,12.53,30.3,379.7
浜名湖,7R,2-1-3,4.95,76.5,379.0
芦屋,12R,2-1-5,5.51,68.8,379.0
江戸川,8R,1-5-3,8.42,45.0,378.7
住之江,12R,1-4-3,12.33,30.7,378.5
住之江,5R,1-3-2,11.86,31.9,378.3
平和島,8R,1-3-4,7.06,53.6,378.3
鳴門,1R,1-4-3,12.70,29.7,377.3
常滑,7R,1-4-2,3.92,95.8,375.1
戸田,6R,1-3-2,5.81,64.4,374.5
宮島,5R,1-3-5,5.21,71.8,374.1
浜名湖,11R,1-5-3,6.80,54.9,373.4
常滑,4R,2-1-4,5.79,64.4,372.7
若松,11R,1-4-3,4.35,85.5,372.2
芦屋,7R,1-4-2,12.28,30.3,372.0
丸亀,4R,2-1-3,7.51,49.5,371.9
住之江,6R,1-4-3,12.12,30.4,368.4
宮島,2R,1-3-2,8.02,45.9,368.0
若松,1R,1-4-3,6.02,60.8,366.0
江戸川,9R,4-2-3,5.32,68.7,365.2
住之江,8R,1-4-3,7.66,47.6,364.8
桐生,9R,2-1-3,6.00,60.7,364.4
常滑,8R,1-2-4,8.10,45.0,364.3
鳴門,3R,2-1-3,7.37,49.4,364.1
桐生,1R,4-1-2,9.76,37.3,364.1
芦屋,2R,1-2-3,3.97,91.5,362.8
常滑,9R,2-1-4,10.22,35.5,362.7
丸亀,8R,2-1-4,9.34,38.8,362.5
江戸川,6R,1-5-3,9.41,38.5,362.1
住之江,7R,1-3-2,7.05,51.3,361.9
浜名湖,9R,1-2-5,5.99,60.4,361.8
若松,7R,1-2-3,8.78,41.0,359.8
大村,6R,1-2-3,4.96,72.6,359.8
若松,12R,4-1-3,7.20,49.8,358.3
常滑,6R,1-2-3,10.01,35.8,358.2
浜名湖,5R,1-3-4,3.69,96.4,355.3
大村,3R,1-4-3,8.25,42.9,354.0
宮島,11R,2-1-4,7.49,47.2,353.5
宮島,12R,2-1-3,7.50,47.1,353.2
丸亀,5R,1-4-5,5.76,61.2,352.5
若松,9R,1-2-3,13.24,26.6,352.1
若松,8R,1-4-2,4.40,79.9,351.8
平和島,7R,1-3-2,8.51,41.0,349.0
宮島,2R,1-2-3,6.72,51.9,348.9
戸田,5R,1-4-2,25.45,13.7,348.7
桐生,8R,1-2-4,4.18,83.3,347.9
江戸川,10R,1-4-2,6.12,56.7,347.2
唐津,7R,4-1-3,3.78,91.5,346.3
平和島,4R,4-3-1,3.44,99.9,343.5
大村,8R,2-1-4,6.21,55.2,342.6
大村,8R,1-4-2,19.67,17.4,342.3
芦屋,10R,1-4-3,8.55,40.0,342.2
若松,12R,4-2-1,4.24,80.3,340.7
若松,1R,4-1-3,3.84,88.6,340.5
宮島,10R,4-3-1,4.43,76.9,340.4
住之江,3R,1-2-3,9.42,36.1,340.2
大村,11R,1-4-2,17.32,19.6,339.5
江戸川,10R,2-1-4,4.62,73.3,338.5
芦屋,5R,4-1-3,6.53,51.8,338.2
宮島,10R,1-3-4,10.29,32.8,337.6
戸田,5R,2-1-4,6.78,49.8,337.6
常滑,9R,4-2-1,9.64,34.9,336.5
常滑,5R,1-2-3,12.93,26.0,336.1
浜名湖,6R,1-3-2,9.38,35.8,335.8
桐生,2R,1-2-4,11.00,30.5,335.6
宮島,12R,3-1-2,5.45,61.4,334.4
芦屋,6R,3-1-2,7.81,42.8,334.1
尼崎,9R,4-1-3,4.27,78.2,333.7
浜名湖,6R,2-3-1,4.03,82.7,333.5
浜名湖,10R,4-2-1,3.97,83.9,333.4
鳴門,12R,1-5-2,10.42,32.0,333.4
戸田,10R,1-2-3,8.63,38.6,333.3
大村,9R,1-4-2,3.75,88.8,333.1
浜名湖,4R,1-3-2,14.17,23.5,333.1
若松,1R,1-2-4,3.54,94.0,333.0
丸亀,1R,1-4-3,5.10,65.3,332.8
唐津,6R,4-2-1,4.00,83.1,332.7
唐津,4R,4-1-2,4.04,82.2,332.4
戸田,6R,2-1-3,4.01,82.9,332.1
若松,3R,1-4-2,6.36,52.2,331.9
大村,2R,1-3-4,7.12,46.5,331.0
常滑,1R,3-1-2,5.47,60.5,330.7
丸亀,5R,1-4-2,18.17,18.2,330.6
若松,9R,1-4-2,4.40,75.1,330.3
江戸川,8R,5-1-3,7.37,44.7,329.4
宮島,1R,2-1-4,5.27,62.3,328.5
大村,2R,1-5-4,4.81,68.1,327.9
大村,6R,1-5-2,9.55,34.2,326.8
戸田,6R,3-1-2,7.23,45.1,326.0
平和島,4R,2-1-4,3.48,93.5,325.0
常滑,8R,1-4-2,5.24,62.0,324.8
常滑,5R,1-3-2,5.95,54.2,322.5
芦屋,8R,3-1-2,9.09,35.5,322.5
宮島,4R,3-1-5,3.39,95.1,322.4
唐津,7R,1-3-4,4.09,78.9,322.3
唐津,7R,1-2-3,3.95,81.5,322.2
若松,6R,1-3-4,3.71,86.8,321.8
住之江,2R,1-2-4,4.79,67.1,321.6
戸田,4R,4-1-3,3.42,93.4,319.8
鳴門,5R,2-1-4,4.18,76.6,319.8
尼崎,12R,2-3-1,3.27,97.7,319.8
桐生,1R,2-1-4,6.67,47.8,319.0
常滑,9R,2-4-1,13.99,22.8,318.9
若松,2R,1-2-3,5.96,53.5,318.9
若松,11R,3-1-2,7.46,42.7,318.6
鳴門,5R,4-1-2,3.93,80.9,318.2
宮島,8R,1-4-5,5.30,60.0,318.2
宮島,11R,2-4-1,4.61,68.6,315.9
芦屋,12R,1-5-2,6.44,49.0,315.7
桐生,3R,1-2-4,5.94,53.1,315.4
浜名湖,6R,3-1-4,4.27,73.9,315.2
常滑,6R,1-3-2,10.08,30.9,311.4
大村,8R,4-1-2,10.44,29.7,310.0
丸亀,2R,3-4-1,3.17,97.8,309.5
宮島,11R,2-1-6,4.72,65.5,309.0
江戸川,6R,1-3-5,6.97,44.3,309.0
住之江,3R,1-3-2,11.15,27.7,308.9
大村,4R,2-1-3,4.52,68.2,308.1
常滑,4R,1-5-2,3.63,84.8,307.7
平和島,6R,4-1-2,3.46,88.9,307.6
宮島,2R,1-2-4,6.83,45.0,307.2
若松,1R,1-4-2,4.06,75.6,306.7
鳴門,8R,1-2-3,3.99,76.5,305.3
浜名湖,1R,1-5-3,4.14,73.4,303.6
鳴門,7R,4-1-3,4.28,70.8,303.3
平和島,1R,1-4-3,11.19,27.1,303.2
平和島,4R,3-1-4,4.47,67.7,302.9
江戸川,4R,3-1-2,18.81,16.1,302.9
大村,1R,1-3-4,14.15,21.4,302.8
平和島,7R,2-1-4,3.85,78.7,302.6
丸亀,7R,1-3-4,4.08,74.1,302.3
宮島,6R,4-3-1,3.63,83.1,302.0
若松,2R,3-2-1,3.67,82.2,301.7
平和島,9R,1-4-3,4.67,64.5,301.3
鳴門,12R,2-1-3,4.75,63.1,299.9
宮島,6R,3-2-1,3.70,81.1,299.8
平和島,4R,1-3-2,4.70,63.8,299.8
住之江,4R,1-2-3,3.83,78.1,299.3
江戸川,11R,1-2-4,16.99,17.6,299.0
住之江,11R,4-1-3,3.58,83.5,298.7
大村,4R,2-4-1,3.39,87.7,297.7
浜名湖,9R,1-5-3,2.96,100.0,296.3
桐生,10R,2-1-3,8.32,35.6,296.2
常滑,6R,1-3-5,10.00,29.6,296.1
住之江,11R,3-1-2,4.22,70.2,296.0
桐生,7R,1-3-4,6.93,42.7,296.0
鳴門,4R,1-5-4,5.85,50.6,295.8
唐津,12R,1-4-3,9.69,30.5,295.5
浜名湖,3R,1-3-4,16.19,18.2,294.7
若松,5R,1-3-4,7.77,37.9,294.3
住之江,9R,1-2-4,14.28,20.6,294.2
鳴門,11R,1-5-4,6.24,47.0,293.3
戸田,7R,1-3-4,5.88,49.7,292.0
浜名湖,8R,4-1-3,4.77,60.9,290.4
尼崎,10R,5-1-2,3.34,87.0,290.2
丸亀,4R,1-4-2,4.45,65.1,290.0
江戸川,12R,3-1-2,7.08,40.9,289.7
大村,4R,2-3-1,5.82,49.8,289.7
戸田,3R,1-2-4,5.16,56.0,289.2
住之江,9R,1-3-4,3.19,90.6,288.9
丸亀,5R,4-1-2,11.02,26.2,288.7
江戸川,8R,1-3-5,7.73,37.3,288.5
尼崎,4R,1-3-2,7.47,38.6,288.5
戸田,9R,1-2-4,4.79,60.2,288.5
戸田,1R,1-4-2,7.21,40.0,288.4
江戸川,3R,4-2-1,5.74,50.2,288.3
尼崎,8R,2-1-4,9.07,31.7,287.6
住之江,10R,1-3-2,15.96,18.0,287.3
浜名湖,4R,1-4-2,3.91,73.0,285.3
唐津,11R,1-4-3,5.32,53.5,284.5
宮島,11R,2-1-3,5.12,55.4,283.9
常滑,5R,2-1-4,6.36,44.5,283.2
大村,10R,4-1-3,3.66,77.4,282.9
常滑,12R,3-1-2,7.68,36.8,282.8
住之江,12R,1-3-4,10.43,27.1,282.7
戸田,10R,1-2-5,7.29,38.8,282.7
戸田,12R,1-2-3,9.35,30.2,282.5
宮島,5R,1-2-5,3.93,71.8,282.3
丸亀,4R,1-2-3,17.41,16.2,282.1
大村,12R,4-1-2,2.93,96.2,281.5
若松,4R,3-2-1,7.56,37.2,281.4
大村,4R,2-1-4,3.20,87.7,281.0
住之江,10R,3-1-2,6.55,42.9,280.9
浜名湖,6R,1-4-3,3.39,82.7,280.0
江戸川,3R,1-4-2,6.22,45.0,279.7
丸亀,8R,2-1-3,3.01,92.6,278.5
浜名湖,3R,3-1-4,4.78,58.2,278.3
戸田,11R,1-5-2,13.12,21.2,278.2
大村,8R,1-2-4,13.69,20.3,278.0
戸田,11R,1-4-2,3.74,74.3,277.6
桐生,1R,2-4-1,3.96,70.0,277.4
宮島,10R,3-1-4,8.25,33.6,277.3
戸田,1R,1-5-2,3.22,86.1,277.2
住之江,4R,1-3-4,23.09,12.0,277.1
若松,9R,1-4-3,2.82,98.2,277.0
唐津,3R,3-1-2,3.71,74.5,276.8
住之江,3R,3-1-2,6.49,42.6,276.4
常滑,11R,1-4-3,6.18,44.7,276.4
桐生,2R,1-2-3,5.75,48.1,276.3
桐生,9R,3-1-2,4.92,56.2,276.3
江戸川,12R,4-1-3,2.89,95.6,276.1
常滑,2R,4-1-2,8.54,32.3,275.9
芦屋,11R,1-5-4,8.18,33.7,275.5
若松,5R,4-1-3,4.89,56.3,275.3
平和島,4R,3-1-2,3.46,79.4,275.0
宮島,3R,2-1-4,9.30,29.5,274.4
江戸川,3R,4-1-5,5.85,46.8,273.9
