場,レース,買い目,推定確率%,オッズ(取得時),回収率%
浜名湖,8R,1-2-4,14.03,61.1,857.4
平和島,8R,1-4-3,16.45,50.6,832.4
下関,3R,4-1-2,9.60,76.5,734.2
戸田,3R,1-2-4,9.04,78.6,710.8
浜名湖,9R,1-2-4,10.18,66.7,679.0
蒲郡,6R,1-4-2,11.60,58.2,675.2
唐津,9R,1-2-4,10.85,59.4,644.4
浜名湖,3R,1-2-4,9.04,71.1,642.9
戸田,11R,1-2-5,8.75,72.9,637.6
大村,5R,1-4-3,7.87,80.1,630.5
尼崎,6R,2-1-4,7.15,87.0,622.0
平和島,8R,1-4-5,17.99,33.4,600.7
唐津,11R,4-1-3,8.69,68.9,598.4
下関,6R,2-3-1,11.98,49.8,596.5
大村,6R,4-3-1,6.94,85.7,594.9
蒲郡,6R,1-4-3,9.19,62.9,578.1
尼崎,9R,1-2-4,15.32,37.5,574.3
江戸川,9R,1-4-2,13.02,44.1,574.2
平和島,8R,1-3-4,6.51,87.9,572.6
戸田,5R,1-4-3,7.69,73.5,565.4
平和島,10R,1-4-3,14.19,38.9,552.1
浜名湖,5R,1-3-4,10.53,51.6,543.4
蒲郡,5R,1-3-4,6.76,79.5,537.4
平和島,2R,1-3-4,12.62,42.2,532.6
江戸川,8R,1-3-2,20.89,25.5,532.6
蒲郡,5R,1-4-3,6.67,79.5,530.0
下関,6R,3-2-1,10.63,49.8,529.3
蒲郡,10R,1-4-2,5.73,92.0,527.3
大村,6R,1-4-3,6.10,85.7,522.5
浜名湖,9R,1-4-2,5.56,93.4,519.7
江戸川,8R,3-1-2,10.29,50.0,514.6
下関,2R,1-5-2,5.38,95.3,513.0
児島,12R,2-1-4,11.33,45.1,511.0
江戸川,4R,1-3-4,7.71,66.0,508.8
蒲郡,2R,1-4-3,6.07,83.0,503.7
大村,5R,4-1-2,5.35,94.0,502.6
江戸川,6R,1-4-2,6.82,73.0,497.7
尼崎,9R,1-4-2,14.42,34.3,494.6
芦屋,6R,4-1-2,5.21,93.9,489.6
江戸川,6R,1-4-3,6.49,75.2,488.2
下関,11R,1-4-3,5.39,90.0,484.7
戸田,6R,1-4-2,10.41,46.3,482.0
児島,7R,1-5-4,5.39,89.0,479.8
浜名湖,7R,1-3-2,5.06,94.3,477.1
浜名湖,8R,2-1-4,6.59,72.2,475.8
浜名湖,11R,1-4-3,11.52,41.0,472.5
尼崎,4R,2-1-4,10.87,43.2,469.4
江戸川,2R,1-4-3,7.63,60.9,464.8
平和島,6R,1-3-4,4.73,98.3,464.7
児島,10R,1-2-3,14.16,32.7,463.0
戸田,3R,1-2-3,16.37,28.2,461.6
唐津,9R,2-1-4,9.14,50.2,459.1
江戸川,5R,1-3-2,10.20,44.9,458.1
江戸川,9R,1-4-3,11.62,39.4,457.8
平和島,5R,1-2-4,6.44,70.4,453.4
