場,レース,買い目,推定確率%,オッズ(取得時),回収率%
三国,2R,2-1-4,13.64,64.1,874.1
津,11R,4-3-1,6.12,91.5,560.1
鳴門,9R,1-4-2,5.54,89.8,497.7
福岡,9R,1-5-3,7.50,65.7,493.0
尼崎,2R,3-1-2,5.65,83.7,472.9
桐生,2R,4-2-1,5.44,86.8,472.4
三国,3R,1-3-4,11.54,40.5,467.2
鳴門,6R,4-1-3,7.00,66.4,464.8
尼崎,3R,3-1-2,9.95,46.5,462.8
尼崎,3R,1-2-3,11.06,41.1,454.4
福岡,10R,4-1-2,4.80,94.3,452.3
尼崎,3R,1-3-2,10.53,42.4,446.4
びわこ,10R,1-2-5,6.87,64.7,444.2
常滑,1R,2-1-3,4.89,90.7,443.9
蒲郡,3R,1-3-4,5.69,77.9,442.9
桐生,9R,4-1-3,5.62,78.5,441.4
津,5R,5-1-2,4.77,92.0,439.1
鳴門,1R,3-1-2,6.66,65.7,437.9
鳴門,7R,4-1-2,7.50,58.4,437.7
平和島,1R,1-4-2,10.24,42.2,432.0
福岡,4R,3-1-2,9.77,43.9,428.9
津,9R,1-4-3,4.51,94.6,427.1
鳴門,12R,3-1-2,5.86,72.4,424.6
桐生,1R,4-1-3,6.08,69.7,423.9
尼崎,3R,2-1-3,10.79,39.1,422.0
三国,3R,1-4-3,13.49,31.1,419.5
蒲郡,6R,1-4-2,4.71,88.0,414.5
三国,10R,3-2-1,4.25,97.6,414.4
平和島,11R,3-1-2,6.83,60.1,410.6
津,9R,3-1-4,6.62,61.5,407.3
宮島,8R,4-1-2,6.18,65.5,404.5
平和島,4R,3-1-2,11.25,35.5,399.5
福岡,7R,1-5-4,6.96,56.8,395.4
宮島,9R,1-4-2,6.87,57.1,392.4
丸亀,2R,4-2-1,5.08,77.1,391.5
津,5R,1-5-2,9.06,43.2,391.5
福岡,7R,1-4-3,5.71,68.5,390.9
常滑,4R,3-1-2,4.22,92.6,390.8
びわこ,8R,2-1-3,9.46,41.3,390.5
桐生,10R,3-1-2,4.14,93.6,387.8
平和島,6R,5-1-4,4.14,93.6,387.6
宮島,10R,3-1-2,4.09,94.4,385.9
丸亀,2R,4-3-2,4.02,96.0,385.5
びわこ,9R,1-4-3,10.92,35.2,384.5
びわこ,10R,2-1-5,5.12,74.8,382.7
徳山,6R,1-5-3,7.24,52.7,381.7
福岡,4R,3-2-1,4.54,84.0,381.1
常滑,9R,3-1-2,7.76,48.3,375.0
宮島,8R,4-1-3,6.61,56.7,374.8
徳山,12R,3-1-2,7.48,49.7,371.7
丸亀,4R,1-5-4,4.70,79.0,371.1
丸亀,2R,4-2-3,4.23,87.7,370.6
福岡,2R,1-4-5,8.99,40.8,366.7
福岡,2R,1-5-2,4.47,82.0,366.2
平和島,1R,1-4-3,8.19,44.0,360.5
徳山,11R,3-1-2,7.32,48.9,357.7
鳴門,6R,1-4-2,3.74,95.4,356.4
三国,9R,4-1-2,6.72,52.8,354.8
津,2R,3-1-4,3.86,91.7,353.9
桐生,6R,1-5-2,8.94,39.4,352.1
平和島,12R,1-5-4,7.79,45.1,351.5
福岡,12R,4-1-2,8.38,41.9,351.0
平和島,6R,1-5-2,6.20,56.5,350.3
宮島,9R,1-4-3,4.76,73.5,350.2
びわこ,9R,1-4-5,7.73,45.2,349.5
津,7R,1-2-4,10.54,33.0,347.7
三国,11R,4-1-2,4.79,72.6,347.4
蒲郡,6R,1-2-4,4.71,73.0,344.0
桐生,1R,3-1-2,3.92,87.3,342.2
徳山,12R,3-2-1,3.55,96.4,341.8
津,2R,1-4-3,3.91,87.4,341.5
徳山,2R,1-6-3,3.61,94.3,340.9
三国,11R,4-1-3,3.83,89.0,340.8
津,11R,3-4-1,5.75,58.9,338.6
福岡,7R,1-4-5,8.14,41.5,338.0
宮島,3R,2-1-4,4.68,72.1,337.4
びわこ,2R,4-1-2,4.31,78.3,337.2
びわこ,12R,3-2-1,3.74,90.2,337.1
桐生,3R,1-5-4,6.93,48.6,336.9
鳴門,7R,4-2-1,4.76,70.7,336.3
平和島,6R,1-5-3,3.53,94.8,334.9
桐生,1R,3-1-4,9.39,35.5,333.2
尼崎,2R,3-2-1,3.95,84.3,332.9
三国,9R,4-2-1,5.51,60.3,332.0
びわこ,3R,3-1-2,4.47,74.1,331.0
丸亀,2R,2-4-1,3.60,91.7,330.4
尼崎,3R,3-2-1,9.62,34.3,329.9
宮島,9R,4-2-1,3.40,97.1,329.8
桐生,1R,4-3-1,5.76,56.9,327.5
常滑,7R,1-5-4,5.98,54.6,326.7
蒲郡,4R,5-2-1,3.86,84.7,326.5
津,11R,4-1-3,6.74,48.4,326.3
宮島,2R,4-3-1,3.39,96.2,326.2
福岡,7R,1-4-6,3.92,83.0,325.2
徳山,4R,5-1-4,3.46,94.0,324.9
丸亀,6R,1-5-4,3.64,89.1,324.6
三国,10R,1-3-2,3.66,88.3,323.1
福岡,5R,1-5-2,5.13,63.0,323.0
三国,6R,3-2-1,4.60,70.0,321.8
丸亀,2R,4-3-1,4.32,74.3,320.8
桐生,8R,4-1-3,6.08,52.2,317.6
三国,3R,1-3-2,6.67,47.6,317.5
津,3R,4-1-2,7.46,42.4,316.2
丸亀,12R,3-1-2,6.34,49.6,314.5
丸亀,6R,1-4-2,7.34,42.8,314.3
三国,12R,5-1-2,3.66,85.5,313.1
徳山,11R,3-2-1,3.45,90.7,312.7
宮島,1R,1-5-3,5.73,54.5,312.3
徳山,4R,1-5-4,8.46,36.9,312.3
平和島,7R,1-4-2,7.85,39.8,312.2
びわこ,2R,1-4-3,4.88,63.9,311.8
常滑,5R,4-2-3,4.03,77.2,311.0
津,3R,1-4-3,4.95,62.6,310.2
平和島,4R,3-2-1,7.79,39.8,309.9
鳴門,7R,1-4-3,3.79,81.4,308.9
徳山,2R,1-6-5,3.29,93.7,308.7
鳴門,1R,2-1-3,3.76,82.1,308.5
平和島,7R,1-2-4,16.06,19.2,308.4
びわこ,6R,1-2-4,8.65,35.4,306.0
津,3R,1-4-2,8.93,34.0,303.6
桐生,3R,1-5-2,5.91,51.3,303.4
三国,2R,2-1-3,11.53,26.3,303.2
桐生,7R,3-1-2,5.67,53.4,303.0
びわこ,6R,1-4-2,8.56,35.2,301.3
徳山,5R,4-1-3,7.10,42.3,300.2
尼崎,2R,1-3-2,6.49,46.0,298.7
丸亀,2R,2-4-3,3.00,99.5,298.3
宮島,6R,3-1-2,4.45,66.9,297.9
桐生,5R,2-1-3,4.25,70.1,297.7
