場,レース,買い目,推定確率%,オッズ(取得時),回収率%
宮島,7R,1-3-2,20.72,50.3,1042.3
宮島,7R,1-2-3,16.39,53.4,875.1
福岡,9R,1-4-3,10.51,72.0,756.6
戸田,6R,1-2-3,12.35,57.5,710.0
福岡,12R,1-2-4,10.23,66.1,675.9
宮島,2R,3-1-2,13.03,50.7,660.4
蒲郡,6R,1-4-3,8.25,75.1,619.8
宮島,2R,3-2-1,9.00,67.9,611.3
蒲郡,5R,1-3-2,7.34,79.6,584.2
福岡,3R,4-1-3,6.18,92.8,573.1
住之江,2R,1-5-2,6.30,86.3,544.1
福岡,8R,1-5-4,6.29,84.3,530.7
蒲郡,8R,1-3-2,8.80,59.0,519.0
びわこ,9R,2-1-4,15.80,32.1,507.2
宮島,12R,1-4-3,12.20,41.0,500.0
尼崎,11R,4-1-2,8.78,56.9,499.5
津,4R,4-1-3,6.54,76.0,497.2
戸田,5R,1-4-3,8.13,60.4,490.9
びわこ,9R,1-2-4,22.40,21.8,488.4
宮島,8R,1-4-6,5.00,97.4,486.8
津,11R,3-1-4,12.86,37.4,481.1
福岡,9R,1-3-6,7.07,67.1,474.2
びわこ,11R,1-4-3,9.33,50.3,469.4
住之江,3R,1-3-4,5.57,84.1,468.6
三国,1R,4-1-2,5.70,82.2,468.5
尼崎,11R,4-2-1,6.28,73.3,460.5
尼崎,12R,3-1-2,5.15,88.9,457.7
蒲郡,2R,1-4-3,5.56,81.7,454.0
宮島,7R,3-1-2,11.14,40.7,453.4
住之江,3R,3-1-2,6.83,65.6,447.9
住之江,3R,1-3-2,6.43,69.0,443.7
戸田,6R,3-2-1,5.91,74.8,441.7
福岡,11R,4-1-2,6.13,71.5,438.1
宮島,6R,1-2-4,8.49,51.2,434.9
若松,7R,1-4-3,11.46,37.8,433.2
若松,2R,1-3-4,8.39,51.5,432.0
蒲郡,8R,3-1-2,8.12,52.6,427.2
蒲郡,2R,1-4-5,8.35,51.0,425.7
戸田,5R,1-2-4,13.01,32.3,420.3
住之江,3R,3-1-4,5.92,70.8,418.9
戸田,6R,1-3-2,5.04,81.5,410.5
浜名湖,9R,1-4-3,11.08,37.0,409.8
びわこ,8R,1-4-3,5.70,71.8,409.1
若松,6R,1-2-4,4.18,97.5,407.6
びわこ,3R,4-3-1,4.15,98.3,407.5
若松,3R,1-4-2,5.98,66.0,394.7
宮島,5R,1-4-2,6.77,57.9,392.3
若松,4R,1-4-2,11.67,33.5,390.9
津,11R,4-1-3,5.22,73.9,385.7
