場,レース,買い目,推定確率%,オッズ(取得時),回収率%
宮島,4R,1-2-4,22.08,73.6,1625.3
常滑,8R,4-1-2,12.08,83.8,1011.9
若松,6R,1-4-2,10.46,81.2,849.3
びわこ,9R,1-2-5,13.73,61.8,848.6
浜名湖,6R,1-4-3,8.94,93.7,837.9
宮島,10R,3-1-2,12.34,66.9,825.5
びわこ,10R,1-5-2,8.81,87.5,770.7
常滑,3R,4-1-2,12.91,58.5,755.4
常滑,3R,4-2-1,11.82,63.8,754.0
宮島,10R,3-2-1,8.07,93.0,750.8
福岡,6R,1-5-4,8.84,84.1,743.7
丸亀,10R,1-4-3,9.93,74.8,742.9
びわこ,10R,1-2-5,9.75,71.6,698.2
常滑,8R,4-2-1,9.36,72.2,676.1
三国,9R,3-1-2,7.36,91.8,676.0
三国,11R,3-1-2,10.82,60.6,655.5
福岡,4R,1-2-4,8.48,76.7,650.1
浜名湖,9R,1-4-2,7.40,87.6,648.4
尼崎,9R,1-3-2,8.71,72.1,628.2
福岡,5R,1-4-2,11.10,55.7,618.3
びわこ,10R,1-2-4,8.95,68.5,613.2
浜名湖,4R,3-1-2,6.75,87.4,589.8
若松,4R,2-1-3,7.01,82.6,579.3
宮島,10R,1-3-2,11.74,49.2,577.8
江戸川,2R,1-4-3,10.26,56.3,577.4
びわこ,10R,1-4-2,7.81,71.6,559.1
若松,1R,1-4-2,6.76,81.3,549.9
丸亀,12R,2-4-1,6.32,87.0,549.8
福岡,11R,1-5-2,10.45,52.5,548.4
徳山,7R,1-4-2,15.78,34.6,546.0
若松,4R,1-3-2,15.92,34.2,544.3
若松,2R,2-1-4,14.16,37.7,533.7
三国,6R,2-1-3,9.05,58.0,524.8
若松,2R,4-2-1,5.69,90.6,515.4
宮島,12R,4-1-3,5.37,95.8,514.0
びわこ,8R,1-2-5,7.32,69.9,511.4
鳴門,8R,1-3-2,17.98,28.4,510.7
常滑,11R,3-1-2,8.04,63.3,508.7
福岡,5R,4-1-2,8.58,58.5,501.9
福岡,11R,1-5-4,10.59,47.3,500.7
浜名湖,9R,1-4-3,5.69,87.6,498.1
浜名湖,6R,4-1-3,5.30,93.7,496.9
福岡,1R,4-1-5,5.39,92.0,496.3
宮島,2R,1-4-2,14.38,34.5,496.1
桐生,5R,3-1-4,17.61,28.1,494.7
浜名湖,4R,3-1-4,6.88,71.7,493.6
三国,7R,5-1-3,6.99,70.5,492.9
びわこ,7R,1-3-2,14.29,34.4,491.7
三国,11R,1-3-2,11.40,43.1,491.5
若松,8R,1-4-2,7.72,63.7,491.5
浜名湖,6R,1-3-4,14.56,33.4,486.4
びわこ,6R,1-3-4,10.63,45.6,484.7
若松,6R,1-4-6,8.30,58.0,481.2
福岡,1R,1-4-3,11.27,42.4,477.8
若松,2R,2-4-1,11.07,43.1,477.3
丸亀,6R,1-3-2,9.19,51.9,477.0
福岡,4R,1-3-2,11.83,40.0,473.0
びわこ,7R,1-2-3,20.13,23.2,467.0
浜名湖,4R,1-4-3,9.35,49.9,466.4
福岡,6R,1-5-2,8.11,57.3,464.5
福岡,4R,1-4-3,7.57,61.3,464.0
常滑,3R,2-4-1,7.24,63.8,462.1
宮島,4R,1-3-2,5.15,89.7,461.8
びわこ,5R,1-4-2,4.65,99.3,461.3
丸亀,7R,1-3-2,15.32,29.9,458.0
福岡,2R,1-4-3,12.24,37.3,456.7
浜名湖,6R,3-4-1,5.20,87.8,456.6
若松,6R,1-2-4,6.35,71.6,454.9
福岡,8R,1-2-5,11.20,40.6,454.6
若松,10R,4-1-3,12.81,35.4,453.5
若松,3R,1-3-4,7.62,58.7,447.1
びわこ,9R,2-1-4,5.72,78.1,446.8
若松,6R,1-5-4,4.74,93.7,444.2
徳山,9R,1-4-3,9.65,45.9,443.1
びわこ,9R,1-2-4,12.47,35.3,440.2
徳山,7R,1-4-5,5.41,81.3,440.0
津,3R,4-1-3,8.00,54.7,437.4
鳴門,11R,4-1-3,4.44,97.4,432.8
びわこ,5R,1-4-3,5.91,72.4,427.8
浜名湖,7R,3-1-2,11.94,35.7,426.1
常滑,10R,3-1-2,11.25,37.6,422.9
福岡,4R,1-2-3,11.69,36.1,421.9
丸亀,7R,3-1-2,8.86,47.6,421.6
尼崎,9R,1-2-3,8.06,52.2,420.9
びわこ,9R,2-1-3,4.23,98.9,418.2
若松,10R,3-4-1,6.77,61.7,417.6
津,10R,1-3-4,10.53,39.5,416.0
宮島,7R,1-2-5,4.43,93.0,412.0
鳴門,9R,2-1-3,5.22,78.6,410.0
尼崎,5R,2-1-3,4.23,96.7,409.2
福岡,6R,1-2-5,5.49,74.2,407.4
津,4R,3-1-6,4.29,94.9,407.0
浜名湖,7R,1-3-2,10.86,37.3,405.0
江戸川,2R,4-1-3,6.06,66.8,405.0
三国,9R,1-3-2,7.86,51.3,403.4
江戸川,2R,1-4-2,10.73,37.5,402.4
三国,6R,3-1-2,4.30,93.1,400.4
鳴門,11R,1-4-3,7.98,50.1,399.8
三国,11R,1-3-5,5.47,73.0,399.3
びわこ,10R,1-4-5,6.32,63.0,398.2
尼崎,4R,2-1-3,4.80,82.3,395.4
若松,8R,1-5-4,5.37,73.5,394.9
浜名湖,7R,2-3-1,4.56,86.4,394.3
丸亀,3R,3-1-2,17.91,22.0,393.9
若松,4R,3-1-2,6.75,58.3,393.2
浜名湖,1R,1-4-2,7.14,55.0,392.5
宮島,8R,1-5-3,11.05,35.5,392.1
福岡,5R,4-2-1,4.69,83.5,391.7
丸亀,10R,1-3-4,11.80,33.2,391.7
若松,2R,1-2-4,8.22,47.6,391.3
びわこ,9R,1-2-3,9.22,42.4,390.9
びわこ,9R,1-4-2,4.47,87.3,390.5
福岡,8R,1-5-2,7.62,51.2,390.3
津,10R,1-3-2,24.09,16.2,390.3
福岡,5R,2-1-4,5.26,73.1,384.2
三国,11R,3-1-5,5.19,73.8,382.9
宮島,2R,1-2-4,11.93,32.1,382.8
びわこ,11R,1-3-4,5.93,64.4,381.7
丸亀,3R,2-3-1,5.02,76.0,381.5
福岡,5R,2-4-1,3.91,97.5,381.0
びわこ,3R,2-4-1,9.18,41.2,378.1
三国,6R,3-2-1,5.35,70.6,377.8
宮島,2R,4-1-2,7.02,53.8,377.8
びわこ,3R,1-2-4,13.90,27.1,376.8
徳山,10R,3-2-1,7.72,48.8,376.6
浜名湖,8R,2-1-4,4.74,79.3,376.2
江戸川,10R,2-3-1,6.47,58.1,375.7
びわこ,11R,1-4-3,6.06,61.9,375.1
丸亀,1R,4-1-2,4.05,92.4,373.8
常滑,7R,3-1-2,5.84,64.0,373.7
びわこ,9R,2-1-5,6.30,59.3,373.5
福岡,12R,1-5-3,5.79,64.5,373.2
津,5R,4-1-2,13.85,26.8,371.1
三国,11R,3-2-1,6.77,54.6,369.7
浜名湖,6R,3-1-4,11.29,32.7,369.2
江戸川,7R,1-4-3,5.58,65.6,366.3
びわこ,5R,1-3-4,7.09,51.5,365.2
若松,8R,1-2-4,9.55,38.2,364.8
宮島,2R,1-4-5,5.08,71.6,363.9
徳山,12R,5-1-4,4.86,74.9,363.9
丸亀,1R,4-2-1,3.73,97.2,362.9
尼崎,3R,1-5-2,5.53,65.5,362.0
宮島,9R,1-2-5,5.71,63.4,361.9
三国,7R,1-5-2,6.09,59.4,361.6
丸亀,8R,1-4-2,9.46,37.9,358.6
徳山,8R,2-1-3,4.16,86.2,358.6
桐生,11R,3-1-2,5.28,67.7,357.8
常滑,7R,4-1-3,4.54,78.4,356.3
丸亀,12R,2-1-4,13.65,26.1,356.2
若松,6R,1-3-4,8.48,42.0,356.0
びわこ,2R,3-1-2,6.50,54.7,355.6
桐生,11R,3-2-1,3.71,95.4,354.1
徳山,2R,1-5-3,4.74,74.5,352.8
若松,5R,1-4-3,5.25,67.2,352.6
若松,9R,1-5-4,6.78,52.0,352.4
桐生,5R,3-1-2,8.87,39.7,352.3
びわこ,3R,1-4-2,8.01,43.9,351.5
鳴門,12R,2-1-4,8.00,43.9,351.3
びわこ,8R,1-5-2,5.46,64.1,350.3
津,5R,2-4-1,6.60,53.0,350.0
若松,10R,4-3-1,8.41,41.6,349.9
びわこ,7R,2-1-3,6.96,50.2,349.3
三国,6R,2-3-1,7.36,47.1,346.5
江戸川,8R,1-3-4,6.91,50.1,346.1
常滑,2R,1-3-2,7.61,45.5,346.1
徳山,6R,1-4-3,12.37,27.9,345.1
丸亀,2R,1-3-2,11.13,31.0,345.0
常滑,11R,3-1-4,11.35,30.3,343.9
若松,7R,1-4-2,11.38,30.2,343.8
丸亀,2R,1-4-3,3.55,96.9,343.7
津,9R,3-1-2,5.41,63.5,343.6
津,1R,1-4-2,10.86,31.6,343.3
鳴門,7R,1-2-5,3.85,89.0,342.7
丸亀,6R,2-1-3,4.81,70.7,340.1
津,2R,2-1-4,5.26,64.6,339.9
丸亀,3R,1-3-2,13.41,25.3,339.3
尼崎,12R,2-1-4,4.37,77.5,338.4
丸亀,9R,1-2-3,16.03,20.9,335.1
若松,7R,1-2-4,8.37,40.0,334.8
江戸川,8R,1-5-3,12.21,27.4,334.5
常滑,4R,1-2-4,9.02,37.0,333.9
宮島,4R,1-2-3,12.90,25.8,332.7
びわこ,2R,2-3-1,3.42,97.2,332.7
丸亀,2R,3-1-2,9.45,35.2,332.6
常滑,7R,1-4-3,7.80,42.6,332.3
尼崎,3R,1-2-5,3.64,91.2,332.1
津,11R,1-4-3,3.57,92.8,331.3
桐生,7R,4-3-1,5.52,59.9,330.7
鳴門,9R,2-4-1,7.97,41.3,329.4
浜名湖,6R,4-3-1,3.98,82.7,329.0
浜名湖,7R,3-2-1,6.96,46.9,326.5
津,5R,4-1-3,5.28,61.8,326.3
江戸川,7R,1-2-4,5.63,57.9,325.7
びわこ,8R,2-1-3,4.23,76.9,325.3
津,5R,1-4-2,9.82,33.1,324.9
浜名湖,1R,2-1-4,3.81,85.2,324.5
浜名湖,3R,1-3-4,8.53,38.0,324.3
桐生,10R,1-4-3,8.75,37.0,323.8
びわこ,10R,1-5-4,6.55,49.2,322.0
鳴門,8R,1-4-3,3.39,94.9,321.5
びわこ,6R,1-4-3,16.15,19.9,321.4
津,4R,3-1-2,6.53,49.2,321.2
浜名湖,7R,2-1-3,4.11,78.2,321.1
津,10R,1-2-3,8.13,39.5,321.0
若松,5R,1-3-4,4.13,77.8,320.9
福岡,7R,1-4-3,5.03,63.7,320.5
江戸川,8R,1-4-3,4.67,68.5,320.0
徳山,12R,4-1-5,3.30,96.6,319.2
浜名湖,3R,3-1-4,6.63,48.0,318.2
江戸川,10R,2-1-3,9.87,32.1,316.8
桐生,7R,3-4-1,3.54,89.5,316.4
鳴門,9R,2-1-4,11.05,28.6,316.0
丸亀,2R,3-2-1,3.67,86.1,315.9
江戸川,11R,1-4-3,7.08,44.6,315.9
津,8R,1-4-2,3.54,89.0,315.5
浜名湖,8R,1-2-5,3.70,84.6,313.1
三国,7R,5-3-1,3.84,80.9,310.8
鳴門,10R,1-5-4,3.26,94.9,309.3
丸亀,6R,2-1-4,3.57,86.5,308.7
宮島,8R,1-2-4,3.54,87.2,308.4
常滑,2R,1-2-3,7.98,38.6,307.8
福岡,5R,1-2-4,8.16,37.7,307.8
徳山,10R,3-1-2,6.67,46.1,307.6
丸亀,5R,1-3-4,5.10,60.0,306.0
桐生,1R,1-4-2,8.50,36.0,305.8
津,5R,4-2-1,10.72,28.5,305.4
