場,レース,買い目,推定確率%,オッズ(取得時),回収率%
平和島,5R,1-4-3,10.39,79.3,823.9
平和島,10R,1-2-4,17.28,39.6,684.4
平和島,5R,1-4-5,12.14,53.3,647.2
平和島,1R,1-2-5,8.37,76.1,636.9
平和島,10R,1-4-2,15.98,38.0,607.4
蒲郡,5R,4-2-1,6.07,98.4,597.5
平和島,2R,1-4-2,7.23,82.0,592.8
下関,9R,4-1-5,7.50,78.6,589.9
下関,5R,3-1-2,8.58,67.5,579.2
平和島,12R,1-2-4,13.69,41.8,572.2
平和島,6R,3-1-2,10.83,52.8,572.0
下関,7R,1-3-2,14.59,38.8,566.2
丸亀,7R,1-2-5,5.65,98.7,558.1
平和島,11R,2-1-3,6.12,91.1,557.6
平和島,5R,1-5-4,7.04,77.5,545.7
平和島,2R,1-2-4,5.90,92.2,544.3
浜名湖,12R,1-5-4,8.01,67.2,538.4
福岡,5R,2-1-5,14.46,36.9,533.4
平和島,1R,1-2-4,10.54,49.7,523.9
下関,7R,1-3-4,7.34,70.7,519.0
津,7R,1-4-3,12.79,40.5,518.2
児島,5R,3-1-4,11.55,43.8,505.9
児島,4R,1-4-3,12.26,40.8,500.4
平和島,6R,3-2-1,13.02,38.1,496.0
福岡,4R,4-3-1,7.76,63.7,494.2
江戸川,9R,1-2-4,14.89,33.1,492.9
平和島,8R,1-2-4,9.55,50.8,485.3
下関,2R,1-4-5,6.92,67.7,468.6
江戸川,6R,4-2-1,9.08,51.4,466.5
丸亀,7R,1-2-4,6.95,66.6,462.7
丸亀,2R,1-2-5,7.27,62.4,453.8
丸亀,4R,1-4-2,14.74,30.7,452.4
児島,7R,3-2-1,7.96,56.8,451.9
下関,8R,1-4-3,4.95,91.1,450.7
児島,4R,4-1-3,5.16,86.9,448.2
児島,4R,1-3-4,7.07,63.4,448.2
丸亀,7R,1-4-2,5.69,78.4,446.3
下関,1R,2-1-5,6.24,69.2,432.0
丸亀,2R,5-2-1,4.64,91.8,426.4
平和島,11R,1-2-3,13.50,31.2,421.3
平和島,9R,1-4-2,15.83,26.4,417.9
鳴門,1R,1-2-5,5.20,79.0,410.8
浜名湖,5R,1-6-3,4.42,93.0,410.7
児島,8R,1-4-2,10.99,37.2,408.9
浜名湖,5R,1-3-4,10.06,40.5,407.5
平和島,8R,1-4-2,16.80,24.2,406.7
蒲郡,10R,2-1-3,16.98,23.9,405.9
平和島,1R,2-1-5,5.13,78.9,404.7
福岡,8R,4-1-2,8.66,46.5,402.6
唐津,8R,3-1-5,5.11,78.4,400.8
蒲郡,5R,2-4-1,4.63,86.4,400.4
唐津,2R,2-1-3,4.97,80.5,400.4
多摩川,3R,1-2-5,5.12,77.6,397.6
多摩川,7R,1-4-6,6.53,60.5,395.1
多摩川,7R,4-1-3,4.68,84.4,395.0
浜名湖,3R,3-1-5,4.18,94.4,394.7
尼崎,4R,2-1-3,7.35,53.6,394.1
鳴門,8R,1-4-3,8.01,48.9,391.9
蒲郡,8R,3-1-2,7.99,48.8,390.0
福岡,10R,1-4-2,4.85,79.8,387.3
多摩川,8R,1-3-5,6.63,57.9,383.8
福岡,8R,4-2-1,7.02,54.5,382.6
蒲郡,5R,4-1-2,7.01,54.5,381.8
津,7R,1-3-4,7.69,49.6,381.5
浜名湖,5R,1-4-3,10.39,36.7,381.4
下関,2R,1-2-5,4.01,94.8,380.6
丸亀,2R,1-5-2,6.34,60.0,380.2
多摩川,5R,2-4-1,7.48,50.5,377.9
児島,7R,3-1-2,8.80,42.4,373.1
下関,10R,3-1-4,5.38,69.0,371.0
多摩川,7R,1-4-2,6.67,54.6,364.3
江戸川,5R,1-2-5,8.62,42.1,362.8
下関,3R,4-1-2,7.63,47.5,362.6
下関,10R,1-3-5,6.90,52.5,362.5
丸亀,9R,3-1-2,7.62,47.4,361.0
平和島,5R,4-1-3,4.33,83.2,360.4
平和島,1R,2-1-4,6.46,55.6,359.3
丸亀,7R,1-3-2,4.55,78.4,356.6
鳴門,11R,3-1-2,11.65,30.5,355.3
多摩川,12R,1-3-4,11.01,32.2,354.5
下関,10R,1-3-4,15.13,23.4,354.0
江戸川,6R,4-1-2,6.75,52.1,351.8
津,10R,2-1-6,3.53,99.5,351.6
下関,10R,1-5-3,4.46,78.8,351.4
尼崎,4R,2-3-1,5.92,59.3,351.0
平和島,1R,1-2-6,9.65,36.2,349.3
平和島,11R,2-1-5,7.88,43.8,345.0
下関,6R,2-3-1,4.48,76.9,344.5
多摩川,7R,1-4-3,5.92,58.0,343.5
下関,2R,1-5-3,3.95,86.2,340.9
下関,1R,2-3-1,3.94,86.5,340.7
下関,4R,4-1-2,6.56,51.9,340.3
下関,1R,5-2-1,3.93,86.5,340.0
福岡,5R,1-2-5,11.97,28.4,339.9
福岡,6R,2-1-3,7.41,45.8,339.4
下関,9R,5-1-4,3.48,97.3,339.0
津,11R,4-1-3,4.73,71.6,338.9
蒲郡,2R,3-4-1,4.16,81.3,337.9
多摩川,8R,1-5-3,7.81,43.2,337.6
児島,10R,3-1-4,5.62,60.0,337.2
平和島,8R,1-4-3,6.90,48.7,336.2
福岡,4R,3-4-1,5.59,60.0,335.4
尼崎,12R,4-1-3,3.83,86.7,331.7
福岡,5R,2-1-4,5.75,57.7,331.6
多摩川,12R,3-1-4,4.74,69.8,330.6
多摩川,8R,1-2-5,11.19,29.5,330.1
下関,5R,1-3-2,11.41,28.9,329.8
津,11R,4-1-2,8.61,38.3,329.6
福岡,4R,4-1-3,4.85,68.0,329.5
児島,8R,1-4-5,6.33,51.9,328.8
多摩川,6R,1-3-5,6.98,47.0,328.2
平和島,12R,1-4-2,6.69,49.0,327.8
児島,10R,3-1-2,4.49,72.9,327.1
江戸川,9R,1-4-2,16.10,20.3,326.8
丸亀,12R,4-1-3,3.53,92.2,325.1
平和島,12R,1-2-5,12.63,25.7,324.7
津,6R,2-1-3,4.47,72.6,324.5
鳴門,3R,1-4-3,8.97,36.1,323.9
浜名湖,10R,2-1-3,8.50,38.1,323.7
福岡,8R,1-4-2,12.00,26.8,321.6
平和島,10R,2-1-4,4.83,66.2,319.9
下関,1R,2-1-3,5.39,59.3,319.8
蒲郡,2R,3-1-4,8.41,38.0,319.7
唐津,11R,1-3-4,7.51,42.5,319.2
浜名湖,9R,1-5-3,6.03,52.6,317.0
児島,5R,4-1-3,3.22,97.5,314.3
福岡,4R,4-3-2,9.40,33.4,314.0
丸亀,3R,3-1-4,9.20,34.1,313.8
多摩川,4R,2-1-5,3.35,93.7,313.8
多摩川,9R,1-5-4,11.64,26.9,313.2
唐津,8R,1-3-5,3.42,91.5,313.0
平和島,2R,1-5-2,4.14,75.5,312.3
下関,2R,1-5-4,6.23,49.9,310.8
丸亀,1R,3-1-4,6.39,48.6,310.6
