場,レース,買い目,推定確率%,オッズ(取得時),回収率%
桐生,11R,1-4-3,10.40,89.0,925.8
下関,5R,1-4-3,11.57,62.7,725.3
大村,9R,1-4-2,14.07,49.0,689.7
鳴門,10R,1-5-4,13.00,53.0,689.1
下関,7R,1-3-4,10.38,64.6,670.6
多摩川,6R,4-1-2,8.09,81.9,662.5
福岡,5R,1-5-4,9.30,69.6,647.4
江戸川,10R,1-5-4,7.31,85.8,627.6
丸亀,8R,1-4-3,9.25,65.3,604.2
尼崎,11R,1-5-4,8.44,70.8,597.9
常滑,8R,1-4-3,5.97,98.7,589.3
多摩川,6R,1-4-2,9.16,61.4,562.5
唐津,11R,4-1-3,8.06,68.9,555.2
常滑,5R,1-3-2,6.21,89.2,554.2
常滑,3R,2-1-3,6.77,81.7,552.9
鳴門,10R,5-1-4,8.54,64.4,549.7
常滑,8R,1-3-4,11.05,48.4,534.7
芦屋,6R,1-3-4,5.59,95.4,533.6
常滑,10R,1-4-2,12.94,41.2,533.2
福岡,1R,2-3-1,7.52,70.9,533.0
常滑,5R,1-2-3,6.50,81.6,530.1
下関,5R,1-3-4,8.14,64.9,528.3
大村,9R,1-2-4,10.35,49.0,507.0
唐津,11R,4-3-1,5.27,96.0,505.6
大村,11R,2-1-4,5.00,99.3,496.1
丸亀,5R,3-1-2,7.54,64.9,489.4
多摩川,6R,4-1-3,6.08,80.0,486.5
鳴門,10R,5-4-1,5.12,93.2,477.3
尼崎,8R,2-1-5,7.40,64.2,475.1
多摩川,6R,1-4-3,6.89,68.8,473.9
多摩川,5R,1-4-2,14.03,33.7,472.9
大村,11R,1-2-4,15.44,30.6,472.6
福岡,5R,1-5-2,7.41,62.8,465.3
丸亀,6R,1-4-3,14.03,32.0,449.0
丸亀,5R,3-1-4,10.91,41.1,448.5
江戸川,11R,1-2-4,7.04,62.7,441.2
津,2R,4-2-1,4.79,91.5,438.6
江戸川,7R,1-2-4,23.93,18.3,437.8
多摩川,5R,1-2-4,11.66,37.3,435.0
大村,1R,2-3-1,8.25,52.4,432.4
桐生,6R,1-4-3,11.33,37.9,429.5
鳴門,10R,1-4-5,13.52,31.6,427.3
江戸川,11R,1-3-4,7.38,57.5,424.3
常滑,8R,1-3-2,8.20,51.2,419.7
下関,3R,3-1-4,4.53,92.2,417.9
福岡,1R,3-1-2,4.27,97.4,415.7
桐生,8R,1-3-2,6.36,65.3,415.1
福岡,10R,3-1-4,5.56,74.4,414.0
福岡,7R,4-1-3,6.41,64.2,411.7
下関,7R,1-3-5,6.60,62.2,410.5
大村,7R,2-1-4,4.31,95.0,409.9
大村,10R,2-1-3,14.08,29.0,408.4
鳴門,5R,1-3-2,10.58,38.4,406.3
常滑,3R,1-2-3,9.31,43.3,403.2
江戸川,8R,1-5-4,4.81,83.2,400.0
丸亀,7R,1-4-2,10.05,39.8,399.9
常滑,5R,1-2-5,7.66,51.9,397.8
丸亀,9R,2-1-3,7.77,50.9,395.4
大村,1R,2-1-3,10.04,39.3,394.6
常滑,6R,1-3-4,5.10,77.3,394.4
丸亀,8R,1-3-4,4.92,80.1,394.4
福岡,9R,4-1-2,5.75,67.9,390.5
芦屋,12R,3-1-2,5.43,71.5,388.0
桐生,3R,1-3-4,4.69,82.5,387.3
江戸川,6R,3-1-2,9.29,41.6,386.5
桐生,2R,1-3-2,11.01,34.9,384.2
江戸川,6R,3-2-1,8.80,43.6,383.7
江戸川,11R,1-4-3,5.62,67.9,381.4
江戸川,9R,1-5-2,15.29,24.9,380.7
桐生,1R,1-4-3,6.86,55.1,378.2
多摩川,9R,4-3-1,4.41,85.6,377.6
大村,9R,4-1-2,4.16,90.6,376.6
尼崎,3R,4-1-3,4.97,75.4,375.0
尼崎,3R,1-4-2,4.40,85.2,374.5
尼崎,10R,1-4-3,20.57,18.2,374.3
多摩川,6R,4-2-1,4.75,78.2,371.4
桐生,12R,3-4-1,5.05,72.9,368.5
丸亀,5R,3-2-1,4.79,76.7,367.6
江戸川,7R,1-4-2,14.97,24.4,365.4
丸亀,6R,4-1-3,14.40,25.3,364.2
尼崎,5R,1-4-3,16.85,21.6,363.9
唐津,4R,2-4-1,6.43,56.6,363.9
下関,1R,1-5-2,10.64,33.9,360.8
大村,2R,5-2-1,3.82,94.0,359.2
丸亀,1R,1-2-4,6.02,59.3,356.9
桐生,4R,1-6-4,3.92,90.9,356.0
江戸川,6R,1-2-3,11.29,31.3,353.5
大村,11R,1-2-3,10.22,34.5,352.7
鳴門,12R,2-1-3,3.58,98.3,352.4
芦屋,12R,2-1-3,8.50,41.3,351.1
唐津,7R,4-1-2,3.98,88.0,350.5
唐津,4R,2-1-4,8.13,43.1,350.4
桐生,2R,1-3-4,9.73,35.9,349.4
多摩川,10R,1-4-3,5.47,63.5,347.3
津,1R,2-1-4,13.64,25.4,346.3
津,5R,4-1-2,10.69,32.1,343.1
桐生,5R,2-4-3,5.22,65.7,342.9
常滑,11R,1-4-2,4.98,68.7,342.4
大村,6R,3-2-1,7.39,46.2,341.6
鳴門,10R,4-1-5,9.07,37.5,340.0
福岡,7R,1-4-3,15.18,22.4,340.0
多摩川,9R,3-4-1,4.22,79.7,336.3
桐生,4R,1-4-6,4.66,72.0,335.8
福岡,8R,1-5-3,5.96,55.8,332.4
福岡,4R,4-1-3,4.60,72.2,332.2
丸亀,6R,4-3-1,3.38,97.8,331.0
江戸川,6R,1-3-2,10.28,32.2,330.9
尼崎,11R,1-5-3,8.25,40.1,330.7
丸亀,5R,3-4-1,7.83,42.2,330.6
丸亀,5R,3-1-6,4.10,80.3,329.6
鳴門,3R,2-1-4,11.54,28.5,329.0
江戸川,11R,1-3-2,13.99,23.4,327.3
多摩川,12R,4-1-2,4.49,72.8,327.1
桐生,4R,4-1-2,4.35,75.1,326.9
多摩川,5R,4-1-2,4.06,80.5,326.8
鳴門,11R,4-1-2,9.15,35.6,325.7
福岡,4R,4-1-2,10.82,30.1,325.6
桐生,5R,4-3-2,4.31,75.5,325.5
