場,レース,買い目,推定確率%,オッズ(取得時),回収率%
唐津,5R,4-1-2,6.71,39.2,263.2
三国,4R,3-1-5,9.84,26.7,262.8
宮島,2R,2-1-4,4.26,61.6,262.6
津,4R,1-2-5,11.82,22.2,262.5
唐津,9R,1-2-5,12.25,21.4,262.2
丸亀,6R,4-1-2,5.10,51.4,261.9
平和島,11R,1-4-2,5.15,50.7,261.3
桐生,11R,4-2-1,3.64,71.7,260.9
三国,6R,4-1-2,3.35,77.6,259.9
尼崎,2R,4-1-3,2.85,91.0,259.7
蒲郡,3R,2-1-3,5.10,50.9,259.5
平和島,11R,1-4-3,3.39,76.1,258.1
宮島,6R,3-1-2,2.86,90.1,258.0
多摩川,5R,2-5-1,3.71,69.0,255.9
丸亀,8R,1-4-3,3.34,76.6,255.7
平和島,6R,5-1-4,4.29,59.3,254.7
蒲郡,8R,1-2-3,4.26,59.7,254.1
桐生,10R,2-4-1,5.22,48.6,253.8
多摩川,12R,1-5-2,5.65,44.8,253.1
三国,6R,1-2-4,5.20,48.6,252.8
平和島,12R,1-4-2,8.69,29.1,252.8
びわこ,8R,2-3-1,3.39,74.5,252.5
宮島,12R,1-5-2,6.32,39.8,251.6
丸亀,1R,1-4-3,4.26,58.6,249.8
蒲郡,7R,3-1-2,5.81,42.9,249.3
平和島,3R,5-1-3,3.87,64.2,248.7
丸亀,3R,4-1-3,2.60,94.9,246.3
蒲郡,11R,4-1-3,4.55,54.0,246.0
鳴門,1R,1-2-3,3.38,72.7,245.9
尼崎,8R,2-1-4,3.13,78.5,245.5
津,4R,2-1-4,2.51,97.8,245.3
多摩川,7R,4-3-1,4.21,58.2,245.1
唐津,7R,2-3-1,6.39,38.3,244.7
桐生,4R,2-1-5,3.81,63.9,243.6
三国,10R,1-5-4,5.54,43.9,243.4
宮島,10R,4-1-3,4.94,49.2,242.9
桐生,1R,1-3-4,4.39,55.2,242.4
津,6R,1-4-3,15.48,15.6,241.5
津,7R,3-1-2,3.27,73.9,241.3
鳴門,6R,1-5-4,5.74,42.0,241.1
平和島,8R,1-5-4,2.66,90.3,240.2
びわこ,2R,5-1-3,4.86,49.3,239.4
平和島,1R,1-2-3,6.07,39.4,239.0
多摩川,9R,2-1-3,3.89,61.3,238.4
津,10R,1-4-2,2.61,91.1,237.5
丸亀,5R,2-1-3,5.86,40.5,237.5
丸亀,8R,1-2-3,7.81,30.3,236.8
三国,5R,4-1-3,5.59,42.3,236.5
津,8R,1-3-4,8.28,28.5,235.9
丸亀,1R,3-1-4,5.52,42.7,235.9
宮島,1R,1-2-5,2.99,78.7,235.7
尼崎,11R,2-1-4,5.11,46.0,234.9
尼崎,11R,4-1-2,2.87,81.9,234.8
津,12R,1-4-2,9.86,23.8,234.7
尼崎,10R,2-4-1,5.09,46.1,234.7
唐津,3R,1-2-4,5.46,43.0,234.6
びわこ,8R,3-2-1,3.30,71.1,234.4
尼崎,9R,1-2-5,3.40,69.0,234.3
尼崎,7R,5-1-4,3.69,63.2,233.5
多摩川,2R,4-1-3,2.77,84.1,233.3
びわこ,11R,1-4-5,4.80,48.6,233.0
丸亀,3R,4-1-2,6.29,37.0,232.7
平和島,1R,1-2-4,14.97,15.5,232.0
鳴門,9R,1-3-4,3.04,76.3,231.9
蒲郡,6R,1-2-4,11.40,20.3,231.5
多摩川,10R,4-1-3,4.20,55.1,231.3
鳴門,12R,4-1-2,3.00,77.2,231.2
蒲郡,9R,2-4-1,2.47,93.0,229.9
尼崎,10R,4-2-1,5.06,45.4,229.5
三国,12R,2-3-1,2.95,77.9,229.5
三国,6R,1-2-3,2.32,98.6,228.7
津,1R,1-3-2,9.29,24.6,228.4
丸亀,9R,3-2-1,2.87,79.3,227.9
宮島,9R,1-5-2,4.34,52.5,227.7
津,1R,1-3-4,9.52,23.9,227.4
三国,12R,3-2-1,2.86,79.4,227.1
蒲郡,1R,4-1-3,5.63,40.3,227.1
津,12R,4-2-1,5.28,43.0,227.0
びわこ,8R,2-3-4,3.89,58.2,226.6
蒲郡,4R,3-1-5,3.34,67.6,226.1
桐生,3R,2-1-4,7.43,30.4,225.8
多摩川,3R,2-4-1,2.61,86.4,225.4
桐生,5R,4-5-1,2.72,82.5,224.6
平和島,7R,1-5-2,4.71,47.6,224.3
びわこ,4R,2-1-4,4.16,53.9,224.3
宮島,7R,4-1-2,20.93,10.7,223.9
蒲郡,4R,1-3-2,2.87,77.9,223.6
蒲郡,3R,2-3-1,3.53,63.4,223.6
多摩川,12R,4-1-5,2.45,91.0,223.3
