場,レース,買い目,推定確率%,オッズ(取得時),回収率%
桐生,6R,1-3-2,15.00,52.7,790.4
多摩川,3R,1-4-2,11.39,62.5,712.1
多摩川,3R,1-2-4,20.98,31.5,660.8
桐生,6R,3-1-2,7.48,82.5,617.5
多摩川,1R,2-1-3,7.80,78.8,614.5
尼崎,10R,4-1-2,7.49,78.9,591.0
多摩川,7R,2-1-4,9.33,61.5,574.0
児島,8R,1-2-5,9.34,60.2,562.4
桐生,7R,1-3-4,5.97,90.6,540.7
浜名湖,5R,1-3-2,13.10,40.8,534.6
児島,7R,1-5-4,6.12,85.8,524.9
浜名湖,2R,4-2-1,9.41,55.4,521.1
丸亀,5R,1-2-3,9.97,51.7,515.5
児島,8R,1-5-2,10.53,48.7,513.0
多摩川,2R,4-1-3,6.59,76.2,502.4
児島,7R,1-5-3,6.27,80.1,502.0
三国,1R,4-1-3,8.55,58.7,501.9
桐生,4R,1-4-3,9.83,49.6,487.4
浜名湖,2R,4-1-2,6.47,73.4,474.9
桐生,5R,1-4-3,4.98,94.7,471.5
桐生,5R,1-4-2,5.90,79.2,467.3
宮島,2R,1-4-3,13.33,35.0,466.7
桐生,12R,2-1-5,6.97,66.6,464.1
丸亀,10R,3-1-2,8.28,56.0,463.5
丸亀,6R,1-3-2,15.00,30.2,453.1
尼崎,5R,4-1-3,4.57,96.0,439.1
三国,1R,4-1-2,4.50,96.8,435.8
桐生,12R,2-1-4,8.49,50.0,424.7
宮島,7R,1-4-3,5.02,84.4,423.6
桐生,2R,3-1-2,5.26,79.4,417.3
児島,12R,2-3-1,5.98,69.5,415.8
児島,7R,1-4-5,4.89,84.5,412.9
浜名湖,10R,1-5-4,6.70,61.5,412.1
丸亀,11R,4-1-2,5.00,82.2,410.9
丸亀,5R,2-1-3,6.60,62.1,409.7
宮島,5R,4-1-3,8.36,49.0,409.5
尼崎,9R,1-4-5,5.29,76.8,406.0
宮島,3R,3-1-2,6.81,59.4,404.3
徳山,2R,3-1-2,5.50,73.4,403.7
浜名湖,12R,1-4-3,10.57,38.0,401.8
浜名湖,7R,2-1-4,4.81,83.4,401.3
桐生,4R,1-2-4,4.80,83.4,400.5
宮島,2R,1-3-4,11.28,35.5,400.3
尼崎,1R,4-1-3,4.12,96.1,395.9
児島,7R,1-3-5,5.04,78.4,395.5
住之江,5R,1-2-4,8.92,44.3,395.2
丸亀,6R,1-2-3,11.98,32.9,394.1
徳山,6R,3-1-6,4.50,86.2,387.5
児島,8R,1-2-4,4.47,86.5,386.5
桐生,2R,1-3-4,11.85,32.4,383.9
尼崎,9R,1-5-4,4.77,80.0,381.7
丸亀,2R,1-4-2,6.36,59.9,381.1
丸亀,5R,1-3-2,7.94,48.0,380.9
住之江,7R,1-2-4,22.92,16.6,380.5
桐生,10R,4-1-3,5.65,67.1,378.9
尼崎,10R,2-1-4,7.52,49.8,374.6
桐生,2R,1-3-2,4.60,81.1,373.0
徳山,6R,3-1-2,10.93,33.8,369.5
多摩川,3R,1-2-3,8.99,41.0,368.7
浜名湖,11R,1-4-2,6.83,53.7,366.5
住之江,11R,1-5-2,8.26,44.0,363.2
浜名湖,11R,1-2-4,11.47,31.6,362.3
宮島,2R,4-1-3,4.19,86.4,361.9
住之江,6R,3-2-1,3.80,94.1,357.6
尼崎,3R,4-1-3,3.62,98.7,357.5
徳山,8R,2-1-4,4.08,87.4,356.4
桐生,5R,1-3-4,4.34,81.8,355.0
桐生,2R,1-4-3,5.22,67.8,353.9
住之江,2R,1-2-3,7.21,48.8,351.8
三国,7R,4-1-2,9.09,38.7,351.8
丸亀,5R,1-2-5,5.20,67.3,350.2
児島,12R,3-2-1,3.72,93.9,349.4
津,3R,1-4-3,4.98,69.2,344.8
住之江,4R,3-1-4,5.11,67.4,344.2
多摩川,8R,3-1-2,3.86,89.2,344.2
桐生,2R,1-3-5,5.51,62.2,342.5
丸亀,12R,4-2-1,7.57,45.2,342.2
丸亀,2R,1-2-4,5.77,58.9,340.1
児島,7R,1-5-2,6.76,50.2,339.5
住之江,5R,1-4-2,7.48,45.3,338.8
多摩川,10R,1-6-5,4.44,76.3,338.7
徳山,6R,3-1-4,4.47,75.5,337.6
浜名湖,8R,1-4-2,7.95,42.2,335.7
丸亀,5R,1-2-4,3.60,91.8,330.7
桐生,6R,1-2-3,7.21,45.3,326.8
三国,11R,3-2-1,4.14,78.7,325.6
多摩川,5R,2-1-3,8.92,36.5,325.5
桐生,8R,1-4-5,9.71,33.5,325.3
浜名湖,12R,1-2-4,3.78,86.1,325.2
丸亀,2R,4-1-3,4.61,70.5,325.0
住之江,4R,4-3-1,3.94,82.2,323.8
住之江,11R,1-5-4,3.60,89.1,320.9
徳山,12R,1-4-3,13.04,24.6,320.7
桐生,4R,1-4-2,5.66,56.4,319.4
住之江,7R,1-4-2,10.83,29.5,319.4
多摩川,12R,3-4-2,3.22,98.8,318.4
