場,レース,買い目,推定確率%,オッズ(取得時),回収率%
津,8R,1-3-2,18.19,44.4,807.6
平和島,6R,1-3-2,14.69,51.5,756.5
津,11R,1-4-5,10.87,66.0,717.7
福岡,6R,1-4-5,6.47,99.1,641.4
平和島,6R,3-1-2,9.98,63.3,631.7
常滑,9R,4-2-1,7.36,85.2,627.5
児島,4R,4-1-3,7.11,88.1,626.3
唐津,4R,3-2-1,6.20,99.4,615.9
福岡,8R,1-4-3,12.97,45.7,592.9
児島,7R,1-3-2,12.52,47.2,590.8
津,9R,1-2-3,10.13,58.2,589.4
三国,8R,1-4-3,13.67,42.2,576.7
浜名湖,8R,1-4-2,8.16,69.7,568.9
津,2R,3-1-2,7.94,71.4,566.9
多摩川,8R,1-4-3,5.79,94.1,544.8
児島,6R,2-1-4,6.41,84.2,539.6
三国,4R,4-1-2,16.17,32.5,525.4
津,8R,1-2-3,9.95,51.8,515.3
三国,8R,1-4-5,7.65,67.1,513.2
津,8R,3-1-2,11.54,44.4,512.4
常滑,9R,4-1-2,7.62,66.8,508.7
平和島,8R,1-4-5,16.53,30.4,502.4
多摩川,11R,2-1-5,7.98,62.3,497.3
多摩川,8R,1-4-5,10.18,48.8,496.7
下関,8R,3-1-2,7.77,63.7,494.8
常滑,10R,3-1-2,7.84,63.0,494.1
丸亀,12R,4-2-1,5.04,97.7,492.7
若松,9R,1-4-2,8.90,54.7,487.1
平和島,11R,1-3-4,17.43,27.9,486.2
平和島,9R,3-1-2,9.76,49.0,478.4
福岡,6R,4-1-5,5.95,79.9,475.7
江戸川,9R,1-4-2,15.68,30.2,473.5
若松,12R,4-1-2,6.65,70.9,471.5
若松,9R,1-2-4,10.78,43.4,467.8
平和島,11R,1-4-3,11.54,39.9,460.3
浜名湖,8R,4-1-2,7.12,64.3,457.5
三国,7R,4-3-1,4.85,93.5,453.9
若松,5R,4-2-1,9.85,45.6,449.2
若松,3R,1-4-5,7.13,62.7,446.8
丸亀,12R,2-1-4,7.37,60.5,445.9
児島,7R,3-1-2,5.54,79.8,442.0
江戸川,10R,1-4-3,8.12,54.1,439.5
浜名湖,1R,4-1-2,4.55,96.4,438.9
三国,6R,1-4-3,4.39,99.8,438.1
下関,4R,2-1-5,4.47,97.4,435.0
三国,4R,4-2-1,7.30,59.2,432.3
多摩川,12R,2-3-1,5.81,74.1,430.5
三国,7R,4-1-3,11.41,37.7,430.3
浜名湖,9R,2-1-3,8.60,50.0,430.0
戸田,12R,2-1-5,4.41,97.1,428.3
江戸川,1R,1-2-4,4.58,93.5,428.2
江戸川,4R,2-4-1,5.03,85.0,427.9
多摩川,7R,1-5-4,13.74,30.9,424.5
三国,4R,2-4-1,4.58,92.6,424.2
平和島,7R,1-2-4,10.66,39.8,424.1
常滑,9R,2-4-1,5.49,77.2,423.5
平和島,8R,1-4-2,12.57,33.4,420.0
丸亀,7R,1-5-4,4.20,98.8,415.2
江戸川,10R,1-5-4,7.51,55.1,413.9
児島,6R,1-2-4,6.72,61.0,409.9
丸亀,11R,2-1-4,4.92,83.3,409.7
三国,2R,1-4-2,8.62,47.5,409.2
下関,4R,2-1-4,4.88,83.5,407.3
浜名湖,6R,1-3-4,4.87,83.4,406.5
津,2R,2-1-3,8.61,47.2,406.4
多摩川,8R,1-5-4,11.07,36.6,405.1
津,6R,1-2-4,8.47,47.6,403.4
戸田,12R,2-1-3,8.87,45.3,401.7
津,11R,1-4-3,5.70,70.4,401.5
平和島,9R,3-1-4,12.89,31.1,400.8
下関,5R,1-2-5,9.74,41.0,399.4
江戸川,1R,1-4-2,5.47,72.8,398.5
多摩川,9R,1-3-2,12.93,30.8,398.3
平和島,8R,1-2-4,6.82,58.3,397.7
多摩川,9R,1-3-4,7.90,49.9,394.0
津,11R,1-5-4,10.61,37.0,392.7
常滑,8R,3-1-2,4.96,78.7,390.5
丸亀,2R,1-3-6,4.47,87.3,389.9
福岡,8R,1-4-2,9.51,41.0,389.8
常滑,7R,4-2-3,4.29,90.9,389.8
多摩川,7R,1-4-5,8.87,43.2,383.4
津,8R,1-3-5,6.89,55.5,382.7
戸田,4R,2-1-4,4.74,80.0,379.4
三国,8R,1-4-2,8.34,45.3,377.9
多摩川,10R,3-1-2,7.20,52.3,376.6
若松,12R,2-4-1,4.18,90.1,376.4
浜名湖,2R,4-1-3,9.26,40.6,376.0
