場,レース,買い目,推定確率%,オッズ(取得時),回収率%
常滑,9R,4-2-1,8.20,93.7,768.7
戸田,6R,1-2-4,8.74,70.1,612.7
宮島,8R,1-2-4,6.23,93.2,580.3
宮島,9R,1-2-5,9.32,56.5,526.4
蒲郡,7R,1-4-3,9.80,53.1,520.5
戸田,12R,1-5-4,7.40,69.4,513.5
常滑,7R,1-2-5,10.33,49.3,509.4
児島,8R,1-2-4,8.93,57.0,508.8
常滑,6R,1-3-4,8.77,57.9,507.6
児島,10R,3-1-2,6.58,76.9,506.3
戸田,8R,1-4-2,7.66,66.1,506.3
戸田,12R,1-5-3,9.38,52.3,490.3
桐生,7R,2-1-3,7.06,69.2,488.2
常滑,9R,2-4-1,15.26,31.2,476.0
児島,3R,1-4-3,10.97,43.4,476.0
常滑,5R,3-1-2,7.32,64.7,473.8
大村,2R,1-3-4,10.92,43.2,471.8
徳山,9R,4-1-2,4.81,97.1,467.2
常滑,3R,4-2-1,6.07,76.4,463.9
児島,9R,3-1-2,8.49,54.2,460.4
戸田,11R,1-3-2,8.97,50.9,456.3
常滑,6R,1-5-3,6.87,65.1,447.2
戸田,4R,1-2-4,4.98,89.4,445.4
住之江,7R,3-2-1,7.78,57.0,443.2
宮島,11R,1-4-2,9.44,46.4,437.9
住之江,9R,1-4-2,8.65,50.5,437.1
桐生,11R,4-1-2,5.25,83.1,436.5
常滑,1R,1-5-4,5.88,73.5,431.9
びわこ,3R,1-4-3,5.18,81.9,424.6
びわこ,6R,4-1-3,4.54,93.0,422.6
蒲郡,4R,4-3-1,4.76,88.6,422.0
蒲郡,12R,4-1-3,7.09,59.4,421.3
大村,8R,1-4-3,5.24,80.3,420.9
尼崎,2R,3-1-2,5.52,75.1,414.7
桐生,4R,1-2-4,14.59,28.2,411.6
芦屋,2R,1-5-2,4.23,97.2,410.9
戸田,6R,1-4-2,7.83,52.4,410.3
桐生,6R,1-3-5,5.79,70.5,407.9
宮島,12R,3-1-5,4.07,100.0,406.7
児島,9R,3-2-1,5.88,68.6,403.4
宮島,8R,2-1-3,10.33,38.9,401.7
宮島,6R,4-3-1,6.65,60.1,399.6
蒲郡,2R,2-1-3,5.84,68.3,399.0
芦屋,10R,1-5-4,9.01,44.2,398.3
戸田,8R,1-2-4,5.03,78.9,397.0
蒲郡,3R,2-4-1,4.31,91.2,393.5
宮島,7R,1-5-4,6.30,62.3,392.6
徳山,8R,2-4-1,4.64,84.1,390.1
常滑,7R,2-1-5,7.90,49.3,389.6
