場,レース,買い目,推定確率%,オッズ(取得時),回収率%
福岡,8R,1-2-4,11.26,67.6,761.0
徳山,9R,4-1-3,7.27,99.0,719.8
常滑,10R,1-5-3,9.18,77.7,713.1
蒲郡,2R,1-4-2,21.39,32.8,701.4
福岡,8R,1-4-2,8.66,80.6,697.6
蒲郡,5R,1-3-2,9.66,70.2,677.8
津,7R,1-3-4,6.81,98.7,672.5
芦屋,10R,4-1-3,7.57,84.6,640.5
下関,7R,1-3-5,7.71,80.7,622.1
住之江,5R,1-4-2,8.77,70.8,620.9
平和島,8R,1-4-3,12.84,47.0,603.5
芦屋,8R,3-1-2,7.22,79.7,575.7
津,7R,1-4-3,7.90,72.9,575.7
若松,4R,5-4-1,6.14,93.1,571.2
常滑,4R,1-3-2,10.87,51.6,560.7
蒲郡,11R,4-1-2,7.28,72.7,529.3
蒲郡,6R,1-3-2,8.06,65.2,525.7
福岡,9R,1-4-2,10.30,50.9,524.5
若松,5R,2-1-3,6.56,77.7,509.6
住之江,5R,1-2-4,8.09,62.9,509.1
下関,8R,1-2-3,14.56,34.8,506.6
下関,7R,1-3-2,6.79,74.0,502.8
下関,3R,1-4-2,11.78,41.7,491.3
蒲郡,4R,3-1-2,5.34,90.2,481.7
津,9R,1-5-2,10.64,44.7,475.5
蒲郡,2R,1-2-4,15.08,31.3,471.8
下関,3R,4-1-2,5.62,83.5,468.9
福岡,5R,2-1-4,5.06,92.2,466.6
芦屋,8R,1-3-2,7.13,65.1,464.4
下関,12R,4-1-2,6.21,74.5,462.8
住之江,4R,1-4-3,7.66,60.1,460.5
蒲郡,6R,1-4-2,4.85,93.1,451.6
徳山,2R,4-2-1,4.50,98.6,444.1
びわこ,6R,1-4-2,5.94,74.1,440.5
下関,8R,2-1-3,6.32,69.7,440.3
三国,6R,4-1-2,6.00,72.9,437.7
浜名湖,5R,1-2-5,7.92,55.2,437.2
福岡,8R,1-2-5,4.36,99.8,434.8
徳山,9R,4-3-1,4.56,94.5,430.6
若松,9R,3-1-2,8.79,48.8,428.9
常滑,10R,1-3-4,7.41,57.7,427.8
下関,2R,1-3-5,7.88,54.2,426.9
若松,10R,2-1-5,5.38,79.0,425.0
徳山,11R,4-1-2,4.61,91.8,423.3
若松,7R,1-3-2,15.00,28.2,423.1
常滑,10R,1-3-5,15.18,27.8,422.0
びわこ,3R,4-3-1,7.45,56.6,421.7
芦屋,9R,2-1-3,5.24,80.4,421.0
平和島,8R,4-1-3,4.94,84.6,417.8
蒲郡,6R,1-3-4,5.75,72.4,416.4
平和島,7R,1-2-3,7.29,56.0,408.2
三国,6R,4-2-1,5.75,70.8,407.2
蒲郡,1R,2-1-3,4.61,88.1,405.9
徳山,6R,3-1-4,8.45,48.0,405.7
住之江,11R,3-1-2,7.31,55.5,405.7
芦屋,10R,4-1-2,7.83,51.6,403.9
福岡,7R,1-3-2,14.85,26.5,393.6
徳山,1R,1-4-3,12.35,31.5,389.1
住之江,5R,1-4-3,5.20,74.5,387.6
若松,8R,2-1-4,6.16,62.8,386.9
平和島,5R,1-4-2,5.90,65.3,385.5
津,3R,4-1-3,9.97,38.6,384.8
常滑,1R,1-4-3,4.75,80.6,382.9
下関,4R,1-4-5,5.64,67.9,382.6
下関,6R,1-2-5,11.73,32.4,380.1
住之江,1R,4-2-1,4.46,84.9,378.3
