場,レース,買い目,推定確率%,オッズ(取得時),回収率%
びわこ,7R,2-1-3,9.67,78.4,758.0
平和島,10R,1-4-2,12.29,59.8,735.0
下関,6R,4-3-1,7.69,90.7,697.7
平和島,10R,1-2-4,18.14,38.1,691.0
宮島,6R,4-2-1,7.91,84.8,670.7
津,11R,3-2-1,8.07,81.8,660.4
びわこ,9R,1-4-2,8.74,74.1,647.3
びわこ,9R,1-2-4,8.23,78.2,643.5
下関,11R,3-1-2,9.65,65.9,635.9
宮島,6R,4-1-3,7.44,85.4,635.3
宮島,9R,1-2-4,13.95,40.6,566.5
津,4R,1-4-3,9.40,59.5,559.3
芦屋,10R,4-2-1,7.39,75.5,557.7
芦屋,10R,4-1-2,8.05,67.3,541.7
びわこ,7R,3-1-2,6.58,81.4,535.4
平和島,1R,1-4-2,6.03,88.7,534.5
蒲郡,10R,4-1-2,7.96,64.3,511.6
桐生,3R,2-1-3,7.32,68.8,503.9
平和島,2R,5-3-1,5.86,84.3,494.2
桐生,4R,3-1-4,8.00,61.3,490.6
児島,8R,3-1-2,7.31,66.8,488.1
児島,6R,3-1-2,5.09,95.8,487.4
下関,8R,1-4-3,5.35,90.9,486.7
津,5R,1-4-3,8.61,56.5,486.3
蒲郡,3R,3-1-2,5.10,94.9,484.2
平和島,3R,3-2-1,5.11,94.3,481.6
下関,8R,1-2-3,11.89,40.0,475.5
浜名湖,5R,1-4-2,5.06,93.1,470.8
桐生,2R,4-3-1,5.09,91.2,464.7
下関,7R,1-2-5,10.14,45.5,461.4
浜名湖,5R,1-2-3,5.66,81.4,460.8
津,7R,2-1-3,5.90,77.9,459.5
びわこ,5R,4-1-2,6.24,73.0,455.8
平和島,11R,1-5-2,11.00,41.3,454.2
唐津,8R,1-4-2,6.51,66.9,435.3
宮島,9R,1-4-2,9.02,48.1,433.8
多摩川,4R,2-1-5,4.75,91.0,432.4
蒲郡,9R,1-3-2,7.43,57.8,429.5
津,11R,2-3-1,6.19,68.6,424.6
津,10R,3-1-2,10.09,42.1,424.6
常滑,4R,1-4-3,4.52,93.0,420.7
下関,9R,1-4-2,8.68,48.1,417.7
下関,8R,1-2-4,9.96,41.6,414.4
唐津,4R,1-4-2,6.08,68.0,413.4
蒲郡,3R,1-3-2,6.36,64.8,412.1
びわこ,1R,4-1-2,5.84,70.3,410.8
桐生,4R,3-1-2,7.89,51.4,405.8
平和島,2R,5-1-3,4.05,99.4,402.9
蒲郡,4R,3-1-2,5.56,72.4,402.7
津,11R,3-2-5,4.14,97.1,402.3
