場,レース,買い目,推定確率%,オッズ(取得時),回収率%
常滑,10R,1-4-3,11.30,64.7,731.3
児島,10R,1-2-4,10.42,64.8,675.3
平和島,10R,1-4-2,9.26,71.9,665.7
常滑,12R,2-1-3,7.20,92.2,663.5
徳山,4R,2-1-3,6.57,94.8,622.7
児島,9R,1-2-3,6.70,92.1,616.6
芦屋,4R,4-1-2,6.57,93.1,611.8
常滑,11R,2-1-4,7.84,77.4,606.8
下関,3R,1-4-2,5.89,98.6,580.8
平和島,1R,3-2-1,14.53,39.4,572.5
平和島,8R,1-4-2,19.56,28.7,561.3
下関,8R,1-4-3,5.75,96.1,552.1
徳山,4R,2-1-5,6.89,79.4,547.1
徳山,2R,4-1-2,7.56,71.2,538.4
若松,3R,1-4-2,7.68,69.9,536.7
蒲郡,2R,1-2-4,6.00,88.9,533.8
下関,7R,1-3-2,9.48,53.3,505.4
浜名湖,3R,4-1-3,6.01,83.6,502.8
徳山,8R,4-2-1,5.84,84.1,491.6
児島,10R,1-4-2,7.28,66.6,485.0
児島,9R,1-3-2,7.91,60.9,481.5
唐津,2R,2-1-3,5.19,88.9,461.4
蒲郡,10R,1-5-3,7.58,60.3,457.3
徳山,4R,2-1-4,8.41,54.1,455.2
平和島,10R,1-2-4,12.64,35.5,448.7
平和島,9R,1-5-4,10.94,40.1,438.8
若松,3R,4-1-2,8.28,51.8,429.1
平和島,1R,3-1-2,12.11,35.4,428.6
多摩川,8R,2-1-4,9.21,45.8,421.9
下関,3R,1-4-5,5.10,82.1,419.1
芦屋,12R,3-1-2,9.44,44.1,416.1
常滑,10R,1-4-2,6.72,61.1,410.9
若松,3R,4-1-3,4.31,94.5,407.3
下関,9R,1-3-2,6.08,66.9,406.9
下関,3R,1-5-2,4.77,85.0,405.8
若松,3R,2-1-4,4.12,98.4,405.7
常滑,9R,1-2-5,6.01,67.5,405.6
蒲郡,8R,1-2-5,5.47,73.9,404.1
蒲郡,8R,1-2-6,4.75,84.7,402.0
下関,5R,1-4-2,14.39,27.8,400.1
徳山,11R,3-2-1,4.81,82.8,398.0
芦屋,6R,3-1-4,5.20,76.5,397.9
浜名湖,3R,1-4-3,7.92,50.2,397.6
びわこ,6R,2-1-3,4.00,98.5,393.9
唐津,7R,2-1-5,3.97,99.1,393.6
児島,12R,2-1-3,7.72,50.8,392.1
児島,7R,1-2-4,5.52,70.5,389.1
平和島,11R,2-1-3,4.23,91.9,388.4
下関,4R,4-1-3,4.65,83.3,387.3
若松,4R,1-5-3,6.12,63.0,385.6
若松,7R,1-4-3,4.90,78.6,385.3
浜名湖,12R,2-1-5,6.73,55.7,374.6
多摩川,11R,3-1-2,5.28,70.5,372.3
常滑,8R,2-3-1,5.03,73.8,371.6
浜名湖,6R,1-3-2,11.44,32.4,370.8
下関,8R,1-3-4,5.31,69.6,369.4
常滑,8R,1-3-2,9.06,40.5,367.1
児島,1R,2-1-4,5.42,67.6,366.1
びわこ,9R,4-1-3,4.36,83.0,361.8
下関,11R,2-1-4,8.54,42.3,361.1
若松,8R,1-2-5,3.98,90.5,359.8
下関,4R,1-4-2,5.90,60.9,359.4
児島,7R,1-4-2,9.52,37.7,359.1
下関,6R,4-1-5,5.04,70.6,356.2
唐津,5R,4-1-3,4.75,74.7,354.8
児島,9R,1-4-3,4.58,76.5,350.6
若松,9R,2-1-3,4.45,78.7,350.4
若松,3R,1-4-3,3.99,87.7,350.3
唐津,6R,2-1-5,6.71,52.1,349.8
若松,7R,4-1-3,4.93,70.6,348.1
びわこ,10R,2-1-5,4.11,84.6,348.1
平和島,9R,5-1-4,3.87,89.8,347.5
下関,6R,1-4-2,5.66,61.4,347.4
常滑,3R,4-1-3,3.70,92.7,343.4
びわこ,10R,2-1-4,3.73,91.9,343.0
びわこ,1R,3-1-2,8.85,38.5,340.5
蒲郡,2R,2-1-3,10.34,32.9,340.2
多摩川,4R,3-1-2,3.99,85.2,340.1
平和島,8R,1-4-5,8.25,41.0,338.4
若松,7R,4-3-1,4.10,82.4,338.2
若松,3R,1-2-4,5.12,66.0,337.7
徳山,8R,4-1-2,3.89,86.7,337.0
平和島,7R,1-2-5,4.09,82.4,336.8
蒲郡,5R,2-1-4,3.59,93.5,335.7
平和島,10R,1-4-3,4.22,78.8,332.3
浜名湖,7R,1-5-2,5.24,63.1,330.8
びわこ,8R,3-5-1,4.99,66.1,329.7
常滑,12R,3-1-2,4.18,78.7,329.2
児島,4R,1-5-3,9.10,36.1,328.6
平和島,5R,1-2-5,4.60,70.7,325.2
びわこ,2R,3-1-2,3.59,90.5,324.9
びわこ,9R,1-4-3,7.35,44.1,324.0
常滑,3R,1-4-3,3.87,83.8,323.9
児島,4R,5-1-3,3.26,99.3,323.5
若松,3R,4-2-1,6.02,53.6,322.9
児島,12R,3-1-2,6.20,51.8,321.3
平和島,4R,1-3-5,6.97,46.1,321.1
浜名湖,6R,2-1-3,4.74,67.3,319.2
常滑,12R,2-1-4,3.94,80.8,318.2
多摩川,5R,1-4-3,8.18,38.6,315.7
平和島,4R,1-3-2,7.66,41.2,315.5
平和島,4R,3-1-2,4.81,65.2,313.5
平和島,8R,1-2-4,9.09,34.5,313.5
多摩川,1R,2-4-1,3.81,82.1,312.6
蒲郡,6R,1-4-2,7.89,39.6,312.5
平和島,8R,4-1-2,9.16,34.1,312.3
多摩川,8R,1-2-4,16.15,19.3,311.8
徳山,12R,4-1-2,5.48,56.6,309.9
浜名湖,6R,1-2-3,8.38,36.7,307.5
徳山,11R,2-3-1,5.67,53.8,305.1
常滑,4R,4-1-2,6.98,43.5,303.7
常滑,8R,1-2-3,16.30,18.6,303.2
芦屋,9R,2-1-5,3.65,82.6,301.9
徳山,11R,3-1-2,4.84,61.9,299.8
下関,9R,1-2-3,5.52,54.1,298.4
若松,7R,1-3-4,4.05,73.6,298.2
