場,レース,買い目,推定確率%,オッズ(取得時),回収率%
大村,6R,1-4-3,13.09,49.5,647.8
下関,10R,4-1-2,7.61,84.9,646.4
丸亀,9R,1-2-4,12.32,50.1,617.0
平和島,8R,1-5-4,6.28,95.3,598.8
徳山,2R,4-1-3,5.84,98.9,577.3
尼崎,3R,1-2-4,7.86,72.9,573.3
丸亀,7R,1-2-3,9.49,57.3,543.6
丸亀,9R,1-3-2,9.23,56.6,522.2
大村,9R,1-5-3,5.16,98.4,507.3
福岡,9R,1-2-4,14.79,33.1,489.4
福岡,9R,1-4-2,14.52,33.1,480.6
下関,6R,1-5-2,5.22,89.9,469.3
びわこ,4R,2-1-5,5.93,78.6,466.1
大村,10R,1-3-2,17.50,26.0,455.0
蒲郡,2R,1-2-4,6.06,74.8,453.6
大村,5R,4-3-1,4.96,91.3,452.5
蒲郡,3R,1-2-5,6.20,72.8,451.7
多摩川,1R,2-1-4,7.25,62.2,451.1
福岡,8R,1-2-4,12.18,36.6,445.8
多摩川,5R,2-1-3,8.67,51.3,444.6
津,8R,1-4-5,6.22,71.3,443.8
大村,7R,3-1-2,6.00,73.4,440.4
大村,3R,4-1-2,5.64,77.8,439.2
大村,9R,1-3-5,8.44,51.4,433.9
蒲郡,5R,1-4-3,8.91,48.4,431.1
多摩川,2R,3-1-4,8.23,52.0,428.1
尼崎,1R,4-1-3,4.61,92.5,426.3
びわこ,11R,2-1-5,6.81,61.8,421.0
尼崎,4R,3-2-1,4.45,94.5,420.5
下関,10R,2-4-1,6.58,63.6,418.8
尼崎,4R,2-3-1,4.53,92.0,416.6
びわこ,12R,2-1-4,6.38,65.2,416.0
丸亀,12R,3-1-2,7.45,55.5,413.5
児島,10R,1-2-3,11.35,36.0,408.6
平和島,2R,3-1-2,4.92,82.2,404.7
鳴門,3R,2-1-3,5.22,77.4,404.2
唐津,11R,1-2-5,4.75,85.0,403.4
蒲郡,1R,1-2-5,12.42,32.4,402.3
丸亀,9R,1-2-3,14.77,27.2,401.7
多摩川,4R,1-4-2,12.12,32.9,398.9
福岡,7R,1-4-5,10.02,39.3,393.7
びわこ,6R,1-3-2,5.66,69.3,392.2
蒲郡,3R,1-5-2,4.72,82.7,390.0
丸亀,5R,1-3-2,11.11,35.1,390.0
丸亀,4R,3-4-1,4.69,83.0,389.5
大村,4R,1-5-4,3.91,99.5,389.4
福岡,2R,4-2-1,5.86,66.0,387.0
下関,11R,1-4-3,6.79,56.5,383.7
徳山,2R,3-4-1,4.62,82.7,381.8
津,5R,2-1-3,4.47,84.2,376.1
下関,5R,1-4-3,11.26,33.4,376.1
徳山,8R,3-1-2,4.08,92.1,375.5
平和島,6R,1-4-3,18.55,20.2,374.8
福岡,9R,2-1-4,4.64,80.7,374.1
徳山,7R,4-1-5,5.17,72.3,373.6
児島,9R,2-1-3,4.93,75.5,372.2
大村,6R,1-3-4,4.94,75.1,370.6
丸亀,5R,1-2-3,7.90,46.9,370.4
福岡,8R,1-4-2,11.93,31.0,369.8
下関,4R,2-1-3,6.26,58.4,365.6
福岡,9R,4-1-2,4.52,80.7,364.9
児島,8R,2-1-3,4.27,85.5,364.8
平和島,2R,1-3-2,5.43,67.1,364.7
大村,4R,1-4-5,6.31,57.4,361.9
下関,3R,2-3-1,4.98,72.4,360.4
平和島,3R,1-2-3,4.60,78.3,360.0
蒲郡,3R,1-3-2,5.74,62.7,359.9
平和島,3R,1-2-4,11.68,30.7,358.5
丸亀,9R,1-4-2,7.29,49.0,357.1
津,12R,3-1-2,6.06,58.6,355.2
平和島,10R,1-2-4,11.81,30.0,354.4
下関,6R,1-3-5,3.65,96.3,351.4
福岡,3R,2-1-3,4.77,73.4,350.5
尼崎,1R,4-1-2,3.54,98.7,349.5
