場,レース,買い目,推定確率%,オッズ(取得時),回収率%
江戸川,7R,3-1-2,8.52,99.6,848.2
桐生,9R,1-3-2,12.72,65.8,836.8
丸亀,3R,4-1-2,7.83,93.5,732.1
宮島,3R,3-1-2,9.45,73.7,696.5
桐生,7R,1-4-3,17.05,39.3,669.9
丸亀,3R,1-4-2,9.57,68.8,658.7
浜名湖,5R,1-3-4,6.80,96.6,656.6
戸田,11R,1-4-2,6.95,90.5,628.7
宮島,4R,1-2-4,6.71,93.2,625.5
桐生,5R,1-3-2,11.92,51.2,610.3
浜名湖,5R,1-4-3,6.35,94.2,598.2
児島,9R,1-4-5,8.53,69.0,588.3
浜名湖,9R,2-1-3,6.03,95.3,574.5
桐生,5R,1-2-3,10.41,55.2,574.5
児島,10R,1-2-3,6.74,82.5,556.2
浜名湖,11R,1-4-3,8.15,67.1,546.8
多摩川,8R,1-4-3,13.04,41.4,539.8
鳴門,3R,4-1-2,5.44,98.0,533.1
浜名湖,9R,1-2-3,9.27,56.9,527.2
浜名湖,5R,1-3-2,6.01,87.6,526.9
戸田,11R,1-2-4,9.13,55.8,509.2
丸亀,4R,4-1-3,8.67,58.7,508.9
丸亀,10R,3-4-1,7.14,70.9,506.3
尼崎,8R,1-5-3,5.58,90.6,505.7
江戸川,4R,2-1-4,11.50,43.7,502.7
住之江,8R,4-3-1,9.06,55.1,499.1
戸田,11R,1-2-3,5.53,88.7,490.6
丸亀,8R,1-4-2,7.26,66.3,481.2
桐生,4R,1-4-2,5.36,87.5,468.7
住之江,8R,4-1-3,13.05,35.7,465.8
多摩川,11R,2-1-3,9.83,47.2,463.9
児島,7R,4-1-3,5.13,90.2,463.0
尼崎,8R,1-4-3,6.58,70.3,462.6
丸亀,8R,1-2-4,6.37,72.5,461.7
戸田,8R,1-2-4,6.22,73.0,453.8
住之江,6R,1-2-4,9.28,48.9,453.7
丸亀,2R,1-3-4,8.56,52.8,451.8
児島,10R,1-3-2,5.41,82.5,446.5
三国,8R,1-4-3,6.68,66.5,444.0
浜名湖,5R,1-2-4,4.65,95.4,443.6
丸亀,7R,1-2-4,5.91,74.3,439.4
宮島,10R,1-3-4,4.53,96.1,435.1
丸亀,3R,1-2-4,6.31,68.8,434.1
尼崎,8R,1-3-5,4.30,99.9,429.4
住之江,3R,1-2-5,4.61,93.1,429.4
浜名湖,11R,1-3-4,6.10,70.2,428.4
丸亀,4R,4-1-2,10.72,39.6,424.5
鳴門,10R,2-1-3,7.12,59.2,421.5
丸亀,2R,1-4-3,9.13,45.8,418.1
多摩川,3R,4-1-3,5.02,82.7,414.9
桐生,7R,1-4-2,5.28,78.2,412.7
丸亀,4R,4-3-1,4.56,90.4,412.4
浜名湖,2R,3-1-2,7.40,55.6,411.2
戸田,3R,3-1-2,7.35,55.7,409.5
住之江,11R,1-4-3,7.45,54.4,405.5
宮島,3R,1-3-2,7.74,52.4,405.3
住之江,3R,1-5-2,6.65,60.8,404.5
住之江,3R,5-2-1,4.46,90.4,402.9
多摩川,1R,1-5-4,5.98,67.1,401.1
児島,9R,4-1-2,5.37,74.3,399.2
児島,9R,1-4-2,12.97,30.7,398.1
三国,5R,4-1-3,8.84,45.0,397.6
多摩川,3R,4-1-5,4.04,97.9,395.1
江戸川,10R,3-2-1,5.58,70.2,391.5
桐生,1R,1-4-2,6.89,56.2,387.1
桐生,9R,3-1-2,4.96,77.9,386.2
尼崎,7R,2-1-4,5.52,69.7,384.7
多摩川,5R,2-1-3,9.93,38.7,384.4
児島,10R,1-2-4,7.87,48.8,384.2
戸田,3R,1-3-2,5.58,68.3,381.3
丸亀,6R,1-4-2,9.74,39.0,380.0
桐生,2R,1-2-4,8.28,45.7,378.3
戸田,10R,1-5-3,11.81,32.0,378.0
宮島,3R,3-2-1,8.25,45.7,377.2
鳴門,10R,3-1-2,4.78,77.8,372.3
児島,10R,1-4-3,4.19,88.8,372.1
桐生,8R,1-3-2,9.18,40.0,367.1
宮島,3R,3-1-4,5.14,71.0,364.8
戸田,5R,2-1-4,4.30,84.5,363.7
多摩川,1R,1-4-5,8.93,40.7,363.5
大村,5R,3-1-2,5.58,64.8,361.7
多摩川,5R,3-1-2,6.19,58.4,361.3
多摩川,2R,2-1-3,4.06,89.0,361.2
浜名湖,9R,1-2-4,6.34,56.9,360.7
江戸川,8R,1-2-3,5.16,69.6,359.1
戸田,11R,2-1-4,3.76,94.5,355.1
丸亀,1R,4-1-3,4.81,73.8,354.6
唐津,12R,4-2-1,4.28,82.3,352.4
尼崎,8R,1-3-4,4.76,73.9,352.1
宮島,4R,2-1-3,3.85,91.5,351.9
唐津,4R,1-3-2,5.44,64.6,351.4
桐生,2R,1-4-2,8.06,43.6,351.4
浜名湖,7R,4-1-2,9.82,35.7,350.7
尼崎,10R,1-5-3,8.67,40.2,348.7
桐生,2R,1-3-2,9.20,37.8,347.9
戸田,11R,1-3-2,3.64,95.6,347.6
宮島,4R,2-1-4,6.03,57.3,345.5
浜名湖,9R,1-3-2,8.70,39.6,344.7
桐生,9R,1-2-3,12.26,28.1,344.5
児島,10R,2-1-4,3.87,88.8,343.3
丸亀,3R,4-1-5,5.03,67.5,339.4
大村,2R,4-1-2,4.20,80.7,338.7
鳴門,9R,1-2-3,7.27,46.5,338.1
桐生,8R,1-4-2,5.75,58.8,337.8
桐生,12R,2-4-1,4.47,75.5,337.2
多摩川,5R,2-3-1,3.78,89.2,336.8
桐生,2R,1-2-3,9.04,37.1,335.4
丸亀,2R,1-4-2,5.79,57.7,334.3
多摩川,4R,2-4-1,5.13,65.2,334.3
桐生,4R,1-2-4,5.92,56.2,332.6
戸田,3R,3-2-1,4.92,67.5,332.2
戸田,4R,1-2-5,6.01,55.3,332.1
桐生,12R,4-2-1,4.06,81.5,330.8
大村,7R,2-1-3,8.57,38.4,329.2
浜名湖,7R,1-4-2,8.97,36.6,328.2
丸亀,4R,4-2-1,6.04,54.2,327.6
大村,10R,3-1-2,4.13,78.8,325.3
大村,12R,1-6-4,3.30,98.1,323.9
児島,9R,4-1-5,3.53,91.4,322.9
唐津,1R,4-1-2,3.47,92.8,321.9
戸田,9R,1-2-4,3.22,99.7,321.1
児島,7R,4-1-2,4.70,67.8,318.4
唐津,4R,1-2-3,4.76,66.9,318.1
三国,9R,3-1-2,6.56,48.4,317.6
戸田,9R,1-2-3,6.49,48.9,317.3
戸田,8R,1-2-5,10.60,29.9,317.1
児島,10R,1-3-4,3.95,80.3,316.9
江戸川,9R,1-3-2,10.95,28.9,316.4
戸田,12R,1-2-4,13.99,22.6,316.2
江戸川,4R,4-1-2,6.55,47.8,313.3
江戸川,10R,1-3-4,4.01,78.0,313.1
江戸川,7R,1-3-4,4.36,71.8,312.8
宮島,12R,2-1-4,3.84,81.3,312.3
鳴門,9R,1-3-2,8.44,37.0,312.2
桐生,8R,1-2-4,7.25,43.0,311.8
浜名湖,5R,3-1-4,3.59,86.6,311.3
多摩川,12R,2-4-1,3.19,97.4,311.1
鳴門,3R,1-4-3,3.44,90.0,309.9
住之江,4R,1-4-2,8.41,36.6,308.0
唐津,12R,4-1-2,4.40,70.0,307.8
江戸川,7R,2-1-3,3.91,78.7,307.6
桐生,8R,2-1-3,3.82,80.5,307.4
戸田,6R,1-5-3,3.35,91.7,306.8
住之江,8R,3-4-1,3.92,78.2,306.8
丸亀,3R,1-4-5,6.15,49.9,306.7
戸田,10R,1-3-4,3.89,78.8,306.5
丸亀,2R,1-2-4,4.61,66.3,305.8
唐津,12R,2-4-1,5.97,51.1,305.1
江戸川,4R,1-2-4,10.59,28.8,305.0
丸亀,10R,3-2-1,4.07,74.9,304.9
尼崎,3R,4-1-3,6.43,47.2,303.7
住之江,6R,2-1-5,3.96,76.6,303.2
戸田,6R,1-5-2,3.55,85.4,303.2
多摩川,11R,3-1-2,4.58,66.2,303.1
丸亀,7R,1-2-5,4.52,66.7,301.2
浜名湖,11R,1-3-2,4.60,65.1,299.6
住之江,3R,2-1-5,3.49,85.5,298.5
鳴門,3R,1-4-2,10.79,27.6,297.9
大村,8R,4-3-1,3.36,88.4,297.1
児島,9R,1-2-4,8.92,33.3,297.0
多摩川,11R,2-1-5,5.92,50.1,296.4
戸田,6R,5-1-2,3.05,97.1,296.0
戸田,12R,1-2-3,13.38,22.1,295.7
大村,4R,1-5-4,5.27,56.1,295.4
戸田,9R,1-3-4,3.52,84.0,295.3
江戸川,8R,1-3-2,3.89,75.9,295.2
戸田,8R,1-2-3,12.60,23.4,294.9
江戸川,10R,2-3-1,3.74,78.0,291.9
住之江,6R,1-2-5,6.64,43.9,291.3
桐生,6R,3-1-2,3.54,82.3,291.0
多摩川,7R,4-1-2,5.73,50.7,290.3
桐生,7R,1-3-2,12.66,22.9,289.8
江戸川,12R,1-2-5,4.15,69.7,289.5
大村,5R,1-3-2,13.77,21.0,289.2
丸亀,4R,1-4-3,7.38,39.1,288.6
浜名湖,3R,2-1-3,4.62,62.5,288.6
唐津,11R,4-1-3,3.28,87.6,287.5
江戸川,4R,2-4-1,9.15,31.4,287.3
桐生,8R,3-1-2,3.31,86.6,287.0
江戸川,9R,3-1-2,7.16,40.0,286.5
住之江,8R,1-4-3,6.73,42.5,286.0
宮島,5R,1-4-2,5.16,55.4,285.8
戸田,2R,1-4-3,4.20,67.8,284.9
戸田,12R,2-1-3,3.70,76.8,284.1
浜名湖,5R,1-4-2,4.90,58.0,284.1
多摩川,1R,1-4-3,10.91,26.0,283.6
浜名湖,8R,4-1-3,7.54,37.5,282.9
桐生,11R,1-4-3,5.21,54.3,282.8
桐生,6R,1-3-2,10.02,27.9,279.5
江戸川,8R,1-2-4,5.97,46.8,279.3
住之江,4R,1-2-4,5.74,48.6,278.7
唐津,9R,5-1-4,4.20,66.3,278.7
児島,7R,1-4-3,6.50,42.9,278.6
尼崎,1R,4-1-3,3.91,71.2,278.4
戸田,10R,1-5-4,3.06,90.9,278.2
桐生,5R,2-1-3,4.37,63.6,278.1
桐生,7R,1-2-4,4.17,66.5,277.6
丸亀,6R,1-2-4,5.94,46.5,276.2
戸田,8R,2-1-4,3.81,72.4,276.2
江戸川,9R,1-2-3,10.53,26.2,275.9
児島,8R,1-4-3,4.52,61.0,275.4
大村,2R,4-2-1,2.91,94.7,275.3
児島,10R,1-4-2,6.71,41.0,275.2
三国,7R,3-2-1,5.71,48.2,275.0
三国,2R,2-1-5,4.41,62.2,274.5
