場,レース,買い目,推定確率%,オッズ(取得時),回収率%
宮島,11R,3-1-2,13.30,69.8,928.5
浜名湖,8R,1-2-4,11.86,70.0,829.9
宮島,8R,2-1-5,9.48,85.7,812.4
宮島,7R,3-1-2,13.34,53.5,713.9
住之江,9R,2-3-1,13.59,49.5,672.8
若松,8R,1-4-2,9.15,73.2,670.0
桐生,4R,1-4-3,8.00,81.9,655.2
住之江,9R,3-2-1,9.93,64.2,637.4
戸田,5R,1-4-3,7.10,88.6,629.1
住之江,5R,1-2-4,10.66,59.0,628.7
住之江,4R,4-1-3,10.48,58.9,617.1
江戸川,9R,4-1-2,7.44,82.1,611.2
戸田,9R,1-2-5,13.32,44.6,594.2
戸田,11R,1-2-3,10.48,55.6,582.6
戸田,7R,1-4-2,6.11,93.3,569.7
若松,6R,1-4-3,10.35,54.7,566.2
戸田,7R,1-2-4,9.88,55.8,551.4
戸田,12R,1-2-4,8.50,64.1,544.7
住之江,5R,1-4-2,8.07,66.9,539.7
戸田,6R,1-5-2,9.40,57.4,539.3
若松,6R,1-3-4,14.57,36.8,536.0
宮島,4R,1-5-3,6.02,88.5,532.6
若松,9R,1-2-3,11.70,44.0,514.8
江戸川,9R,4-1-3,6.68,76.5,511.1
戸田,11R,2-1-3,10.64,46.6,496.0
芦屋,9R,1-5-2,5.13,95.0,487.4
江戸川,8R,3-1-2,7.02,69.2,486.1
江戸川,6R,2-4-1,4.86,98.6,479.5
芦屋,9R,1-2-5,15.25,31.1,474.2
宮島,8R,2-1-4,4.98,94.3,469.2
常滑,10R,3-2-1,6.68,70.1,468.1
桐生,3R,2-1-3,6.00,77.6,466.0
浜名湖,10R,1-3-2,10.15,45.2,458.6
若松,6R,1-4-2,4.66,98.1,457.6
浜名湖,8R,1-4-2,16.11,28.3,455.9
浜名湖,10R,3-1-2,5.78,77.9,450.5
桐生,6R,1-4-2,12.67,35.4,448.7
若松,5R,4-1-2,5.36,83.4,447.3
若松,8R,1-2-4,13.18,33.8,445.6
住之江,11R,4-1-3,4.68,95.1,445.0
戸田,9R,1-2-4,5.00,87.4,436.6
戸田,6R,1-3-2,6.09,71.6,436.1
尼崎,1R,2-3-1,5.09,85.4,434.3
戸田,6R,1-2-5,12.24,35.4,433.3
宮島,6R,1-4-3,4.55,95.1,433.0
若松,9R,1-4-2,4.73,91.4,432.3
平和島,3R,1-2-3,13.92,30.9,430.2
平和島,10R,1-4-3,8.64,49.7,429.7
芦屋,8R,2-4-1,4.32,99.4,429.0
浜名湖,6R,3-1-2,5.82,73.6,428.4
若松,9R,1-3-2,11.96,35.8,428.1
尼崎,10R,2-1-3,8.08,52.7,425.9
宮島,6R,1-4-2,4.92,86.1,423.4
江戸川,9R,1-4-2,5.85,71.7,419.4
桐生,6R,2-1-4,4.58,91.4,418.7
戸田,9R,1-5-2,6.62,62.2,411.7
若松,6R,1-2-4,4.36,94.2,411.0
浜名湖,7R,2-1-3,8.28,49.6,410.7
桐生,4R,1-3-4,14.83,27.6,409.2
若松,5R,2-1-4,7.93,51.1,405.5
江戸川,6R,2-1-4,8.50,47.7,405.3
江戸川,12R,1-4-2,13.97,28.9,403.7
浜名湖,9R,1-5-2,6.37,63.2,402.9
常滑,6R,1-3-2,11.09,36.2,401.5
唐津,8R,3-1-2,10.14,39.3,398.4
芦屋,6R,2-4-1,4.03,98.8,398.3
宮島,8R,1-2-5,13.73,28.8,395.4
宮島,7R,1-3-2,10.20,38.6,393.6
平和島,8R,1-2-4,7.11,55.3,393.2
常滑,6R,1-2-3,12.17,32.3,393.0
浜名湖,10R,1-2-3,14.87,26.4,392.5
尼崎,1R,2-1-3,5.47,71.1,388.9
芦屋,3R,1-3-2,7.16,54.2,388.3
宮島,6R,1-3-4,4.67,83.0,388.0
戸田,6R,2-1-5,4.86,79.0,384.1
尼崎,10R,2-3-1,4.85,79.1,383.6
平和島,1R,1-3-4,6.38,60.0,383.0
平和島,7R,1-3-2,20.12,19.0,382.3
戸田,9R,2-1-5,9.65,39.4,380.2
平和島,6R,2-1-3,5.35,71.0,379.9
鳴門,6R,1-3-5,7.14,53.2,379.9
戸田,11R,1-3-2,4.13,91.9,379.8
宮島,5R,1-4-2,7.97,47.5,378.8
鳴門,3R,4-1-3,3.95,95.9,378.3
浜名湖,7R,3-1-2,5.50,68.7,378.0
鳴門,9R,4-1-2,7.83,48.2,377.6
住之江,4R,1-4-3,16.93,22.3,377.5
江戸川,7R,4-1-3,10.46,35.8,374.6
宮島,12R,4-1-3,5.85,63.9,374.1
江戸川,10R,1-5-3,4.33,86.2,373.4
浜名湖,3R,1-2-4,8.67,43.0,372.8
江戸川,4R,1-4-2,9.61,38.8,372.8
宮島,11R,3-1-4,11.03,33.7,371.8
戸田,2R,2-1-4,5.09,72.5,369.3
若松,6R,1-2-3,8.01,46.1,369.2
宮島,4R,1-3-4,11.77,31.2,367.2
尼崎,10R,3-2-1,4.70,78.1,367.1
江戸川,12R,1-2-4,9.65,38.0,366.7
桐生,5R,1-2-4,3.90,94.0,366.6
戸田,11R,2-3-1,4.27,85.9,366.5
江戸川,5R,4-1-2,6.20,58.9,365.2
常滑,10R,2-3-1,8.73,41.8,365.0
常滑,6R,1-2-5,3.85,94.8,364.9
唐津,10R,4-3-1,4.28,85.0,363.7
芦屋,8R,2-1-4,5.58,65.0,362.6
浜名湖,7R,2-3-1,5.38,67.2,361.8
鳴門,9R,4-1-3,5.17,69.9,361.4
平和島,3R,2-1-3,11.47,31.2,357.8
江戸川,10R,1-5-4,4.67,76.5,357.2
戸田,12R,1-2-5,17.13,20.7,354.6
江戸川,3R,1-4-2,9.52,37.2,354.0
江戸川,3R,4-1-2,9.06,39.0,353.5
尼崎,8R,1-2-4,11.86,29.8,353.3
常滑,7R,3-2-1,5.28,66.9,353.2
唐津,1R,1-4-3,4.91,71.9,352.8
宮島,12R,1-5-4,3.81,92.6,352.4
桐生,7R,1-4-3,5.55,63.3,351.2
宮島,11R,1-3-2,13.25,26.5,351.1
宮島,9R,1-3-5,10.67,32.9,351.1
戸田,5R,1-3-4,3.57,97.4,348.2
宮島,11R,3-2-1,3.59,96.9,347.6
浜名湖,8R,4-2-1,4.86,71.4,347.1
若松,2R,1-2-4,7.70,44.7,344.2
浜名湖,10R,2-1-3,10.37,33.1,343.3
宮島,6R,1-3-2,5.34,64.2,342.6
江戸川,8R,1-3-2,6.97,49.1,342.2
宮島,10R,2-5-1,5.08,67.2,341.3
鳴門,5R,2-1-4,6.26,54.3,339.9
江戸川,3R,2-1-4,3.51,96.8,339.6
唐津,6R,1-4-2,8.69,38.9,338.1
平和島,6R,1-2-3,10.48,32.2,337.3
浜名湖,5R,1-3-2,5.28,63.8,336.6
浜名湖,5R,3-2-1,9.01,37.0,333.4
