場,レース,買い目,推定確率%,オッズ(取得時),回収率%
平和島,5R,1-4-2,11.07,81.0,896.9
多摩川,8R,1-4-3,11.72,74.5,873.5
戸田,8R,1-3-4,10.19,79.6,811.3
平和島,3R,2-1-3,10.83,71.9,778.8
下関,7R,1-3-4,8.25,92.5,762.8
平和島,5R,4-1-2,10.19,72.9,742.5
戸田,10R,1-4-5,7.62,97.4,742.5
丸亀,10R,4-1-3,8.98,73.7,662.0
戸田,8R,3-1-2,10.89,60.7,661.0
戸田,5R,1-2-4,10.73,61.2,656.5
平和島,3R,2-3-1,6.47,100.0,647.2
児島,5R,2-1-4,6.82,94.5,644.8
大村,9R,1-5-4,6.31,99.3,626.8
平和島,9R,3-1-2,11.11,54.6,606.6
平和島,7R,3-1-2,9.30,64.3,597.8
戸田,8R,1-3-2,12.10,49.1,594.1
丸亀,4R,3-1-2,8.92,66.6,593.8
児島,12R,3-1-4,7.86,75.1,590.6
平和島,8R,1-4-2,10.71,54.7,585.9
戸田,7R,1-4-3,6.05,96.4,583.1
戸田,5R,1-4-2,18.45,31.5,581.3
戸田,9R,4-1-2,7.50,77.2,579.3
戸田,4R,1-2-3,12.03,48.0,577.6
戸田,5R,1-3-4,7.12,80.5,573.3
若松,2R,2-1-3,5.64,99.2,559.3
平和島,7R,1-3-2,14.22,37.3,530.5
丸亀,7R,1-3-4,6.98,75.5,527.1
若松,1R,1-4-2,6.41,82.1,526.2
戸田,6R,2-1-3,15.55,33.8,525.6
平和島,1R,1-4-3,5.60,93.7,524.8
戸田,2R,1-3-5,6.67,78.6,524.6
戸田,2R,1-5-3,5.85,88.9,519.9
平和島,2R,1-4-3,7.77,66.9,519.8
児島,1R,1-3-4,9.51,54.6,519.3
びわこ,8R,1-2-4,7.72,66.4,512.8
戸田,7R,1-4-5,6.20,82.6,512.4
平和島,2R,1-4-2,13.44,37.9,509.5
多摩川,11R,2-4-1,7.11,71.4,507.4
多摩川,4R,1-3-4,5.69,88.7,505.0
戸田,2R,1-3-2,7.15,69.3,495.2
津,8R,1-3-2,8.47,58.0,491.5
戸田,10R,1-5-2,6.37,76.7,488.6
下関,2R,3-2-1,5.33,91.2,485.8
平和島,8R,4-2-1,5.11,94.5,482.5
児島,12R,4-1-3,9.40,51.3,482.3
津,1R,1-4-3,11.98,39.3,470.8
尼崎,2R,3-1-2,5.00,94.2,470.7
びわこ,5R,3-1-2,6.14,76.2,467.8
平和島,7R,1-3-4,10.15,45.5,461.9
大村,11R,1-4-2,11.65,39.5,460.3
戸田,3R,1-3-4,4.58,100.0,458.3
丸亀,7R,1-4-3,7.46,61.3,457.4
多摩川,4R,1-3-2,14.88,30.5,453.8
大村,9R,1-4-5,6.08,74.4,452.1
平和島,8R,1-2-4,5.22,86.6,452.0
児島,4R,1-3-2,5.28,85.1,449.7
戸田,11R,1-5-2,8.12,55.0,446.4
津,9R,1-3-4,8.97,49.6,445.1
平和島,3R,1-2-4,5.80,76.7,445.0
びわこ,9R,1-3-5,5.61,79.3,444.7
丸亀,8R,1-5-4,5.29,83.8,442.9
下関,12R,1-5-2,9.75,45.1,439.6
丸亀,5R,1-5-4,10.82,40.6,439.5
児島,3R,1-3-2,17.23,25.5,439.4
芦屋,6R,1-4-2,6.76,64.6,436.5
平和島,5R,4-2-1,4.98,87.5,436.0
尼崎,2R,3-2-1,6.02,72.3,435.6
戸田,9R,4-2-1,4.62,94.0,434.5
大村,6R,1-3-4,9.33,46.3,432.2
大村,3R,1-4-2,6.06,71.2,431.3
戸田,3R,1-4-2,4.63,92.8,429.6
平和島,10R,1-2-4,4.78,89.6,428.3
戸田,12R,4-1-3,7.66,55.7,426.7
丸亀,11R,4-1-2,4.93,86.5,426.5
丸亀,4R,1-3-2,6.02,70.8,426.5
多摩川,6R,1-3-5,4.36,97.7,426.3
戸田,9R,1-4-2,9.64,44.1,425.0
下関,7R,3-1-4,5.79,72.6,420.1
芦屋,8R,2-3-1,5.98,69.6,416.5
戸田,4R,2-1-3,9.04,46.0,415.8
平和島,8R,4-1-2,10.60,39.2,415.4
若松,9R,1-2-4,6.22,66.6,414.4
平和島,4R,3-1-4,4.72,87.0,411.0
戸田,11R,1-2-5,13.38,30.7,410.6
多摩川,8R,4-1-2,9.46,43.2,408.7
津,8R,1-2-3,8.53,47.9,408.4
びわこ,4R,1-4-3,8.57,47.5,407.2
若松,2R,1-2-5,10.05,40.4,405.8
津,2R,4-1-2,6.96,58.3,405.8
戸田,10R,1-5-4,10.08,40.2,405.3
丸亀,9R,3-4-1,5.83,69.2,403.2
児島,5R,1-4-2,4.42,91.1,402.9
徳山,6R,2-3-1,4.83,83.4,402.8
下関,3R,1-5-2,7.48,53.8,402.6
唐津,11R,2-1-4,8.43,47.6,401.2
尼崎,12R,3-1-2,5.76,69.6,401.1
平和島,1R,4-1-3,4.23,94.8,401.1
戸田,4R,1-3-2,6.27,63.7,399.5
平和島,10R,2-1-3,8.92,44.8,399.5
戸田,8R,3-1-4,9.17,43.5,399.1
戸田,6R,1-2-3,13.74,28.9,397.2
平和島,9R,1-3-2,14.98,26.5,396.9
芦屋,8R,2-1-5,6.92,57.3,396.7
丸亀,2R,3-1-4,5.91,67.0,395.8
大村,11R,1-5-2,3.98,98.9,393.6
大村,12R,1-4-2,9.26,42.4,392.5
下関,10R,1-4-3,9.41,41.6,391.4
多摩川,9R,1-3-4,5.96,65.6,390.8
児島,7R,1-3-4,4.87,80.1,390.0
多摩川,9R,3-4-1,5.95,65.6,390.0
大村,8R,2-1-3,9.52,40.9,389.5
児島,3R,2-1-3,5.65,68.8,388.9
芦屋,12R,4-1-3,4.21,92.1,388.0
児島,4R,1-4-3,4.42,86.9,384.2
多摩川,6R,2-1-3,3.92,97.7,383.4
若松,7R,1-5-4,7.19,53.3,383.3
戸田,12R,1-3-4,16.36,23.4,382.8
津,2R,1-4-3,4.56,83.7,381.6
多摩川,1R,2-4-1,11.52,32.9,379.0
唐津,12R,2-1-3,11.07,34.1,377.5
平和島,5R,1-4-3,6.35,59.1,375.3
戸田,1R,1-4-3,8.51,44.1,375.2
丸亀,2R,1-3-4,9.02,41.6,375.1
平和島,7R,1-4-3,5.23,71.7,374.8
平和島,6R,3-1-2,3.93,95.4,374.6
下関,8R,4-1-3,15.37,24.3,373.4
びわこ,9R,1-3-6,9.54,38.9,371.3
若松,9R,1-2-3,5.29,69.8,369.3
戸田,11R,2-1-5,8.64,42.6,368.1
多摩川,10R,2-1-3,5.70,64.4,367.3
芦屋,11R,2-1-3,4.91,74.7,366.9
下関,4R,1-5-3,10.54,34.8,366.9
下関,5R,1-4-2,6.59,55.3,364.4
芦屋,8R,2-1-3,9.15,39.8,364.2
津,6R,3-2-1,7.04,51.6,363.5
戸田,7R,1-3-4,4.85,74.6,361.9
下関,7R,1-4-3,5.34,67.8,361.7
多摩川,5R,1-4-3,6.16,58.4,359.8
津,8R,1-2-4,5.19,68.9,357.7
大村,3R,4-1-2,3.65,97.9,357.5
多摩川,2R,4-1-2,3.84,93.0,357.4
丸亀,1R,1-5-4,6.44,55.3,356.4
唐津,7R,1-4-3,7.46,47.5,354.4
戸田,12R,3-1-4,9.87,35.6,351.5
唐津,8R,1-2-4,6.95,50.3,349.4
下関,6R,2-4-1,5.54,63.0,349.1
戸田,12R,1-4-3,13.80,25.3,349.1
下関,5R,2-1-3,3.60,96.9,348.8
津,7R,1-5-4,5.43,64.2,348.8
児島,3R,1-2-3,11.54,30.1,347.2
戸田,9R,1-4-5,5.14,67.5,347.1
津,9R,1-3-2,8.87,39.0,345.9
多摩川,1R,4-2-1,3.96,87.4,345.7
大村,11R,1-2-4,9.85,35.1,345.6
下関,8R,4-3-1,6.26,55.1,344.8
唐津,3R,3-1-4,4.90,70.2,344.3
丸亀,7R,1-6-4,3.51,98.1,343.9
戸田,1R,4-1-3,10.05,34.1,342.8
丸亀,9R,4-3-1,5.18,66.1,342.7
戸田,2R,1-2-3,6.44,53.1,342.2
津,5R,1-5-2,4.55,75.1,341.9
津,7R,1-4-5,8.21,41.6,341.6
尼崎,5R,2-1-4,6.31,54.1,341.6
丸亀,12R,4-1-2,3.77,90.2,340.4
若松,2R,1-2-4,3.72,91.0,338.9
下関,8R,4-1-2,4.49,75.2,337.8
津,8R,1-4-3,4.27,78.8,336.6
平和島,9R,1-4-3,3.43,97.7,335.4
多摩川,2R,1-2-4,3.60,93.0,334.9
徳山,12R,3-1-2,6.16,54.2,334.0
大村,5R,1-4-2,7.99,41.7,333.3
丸亀,6R,3-1-4,6.42,51.9,333.3
児島,3R,3-1-2,10.21,32.6,332.8
若松,2R,1-2-3,5.80,57.4,332.7
若松,8R,1-4-2,4.49,73.7,331.1
丸亀,11R,2-1-4,8.16,40.5,330.7
津,9R,1-4-3,4.64,71.2,330.6
下関,5R,1-2-4,9.81,33.7,330.6
下関,11R,4-1-3,4.42,74.8,330.4
多摩川,12R,1-4-2,19.43,17.0,330.3
唐津,7R,1-4-2,4.24,77.8,329.8
津,3R,1-4-3,7.64,43.1,329.1
下関,2R,3-1-2,6.80,48.3,328.3
尼崎,9R,1-2-4,10.81,30.3,327.5
戸田,4R,1-2-4,8.16,39.9,325.7
平和島,2R,1-3-4,5.12,63.6,325.7
戸田,8R,3-2-1,4.09,79.6,325.6
平和島,8R,1-4-5,8.30,39.2,325.2
児島,10R,4-1-3,3.49,93.1,324.7
多摩川,11R,2-1-4,13.91,23.3,324.1
多摩川,11R,4-2-1,4.41,73.5,324.0
多摩川,8R,1-4-2,13.00,24.8,322.4
多摩川,4R,1-4-3,4.00,80.6,322.2
戸田,3R,1-4-5,3.70,86.6,320.7
若松,8R,2-1-4,7.91,40.5,320.3
