場,レース,買い目,推定確率%,オッズ(取得時),回収率%
浜名湖,8R,1-4-3,18.17,46.6,846.6
福岡,7R,1-4-3,9.23,88.4,816.1
戸田,11R,1-2-4,13.56,52.7,714.5
戸田,11R,2-1-4,10.56,63.9,675.0
常滑,5R,1-2-4,9.57,69.8,668.1
宮島,4R,4-1-2,6.90,96.4,665.5
津,8R,1-3-2,8.05,80.6,649.2
芦屋,10R,4-1-3,7.35,76.1,559.1
浜名湖,8R,1-3-4,14.16,39.2,555.0
宮島,9R,1-3-4,9.45,56.9,537.8
常滑,10R,1-2-4,8.40,63.7,535.0
徳山,7R,1-4-3,10.98,48.7,534.6
常滑,3R,1-3-4,6.05,85.8,519.2
戸田,8R,1-3-2,8.22,63.1,518.7
びわこ,11R,1-3-2,8.19,61.0,499.6
福岡,11R,1-4-3,5.63,85.9,483.2
住之江,2R,1-2-5,14.95,32.1,479.9
徳山,6R,2-1-3,6.64,71.3,473.5
徳山,5R,4-1-3,5.42,87.4,473.3
浜名湖,8R,4-1-3,12.04,38.8,467.1
若松,3R,3-1-2,7.24,63.1,456.9
宮島,9R,1-4-3,5.08,89.0,452.0
多摩川,10R,3-1-2,6.18,73.1,451.5
福岡,5R,4-1-2,5.98,75.2,449.8
びわこ,1R,5-1-2,7.02,63.6,446.8
多摩川,6R,2-3-1,4.98,89.3,444.4
住之江,4R,1-3-2,6.64,66.9,444.0
住之江,3R,1-4-3,8.87,49.7,440.9
蒲郡,3R,1-4-2,8.58,51.3,440.1
常滑,12R,4-1-2,7.26,60.1,436.5
津,8R,1-2-3,6.80,64.1,436.2
多摩川,6R,2-1-3,11.25,38.5,433.0
蒲郡,3R,1-4-3,5.64,76.6,431.9
常滑,8R,1-2-4,4.49,95.8,430.1
三国,11R,2-3-1,5.20,82.3,428.3
常滑,11R,2-1-4,4.44,95.7,424.6
戸田,2R,4-1-6,5.35,78.3,419.1
蒲郡,9R,1-3-4,8.36,49.6,414.9
住之江,2R,1-2-4,9.83,42.2,414.7
徳山,11R,4-1-2,6.05,67.0,405.1
徳山,5R,4-1-5,4.35,92.3,401.3
浜名湖,6R,1-3-4,4.10,97.5,399.6
徳山,4R,2-3-1,5.12,77.9,398.8
蒲郡,8R,3-1-2,4.56,86.3,393.7
住之江,9R,1-3-2,9.83,39.7,390.2
下関,8R,1-3-2,15.23,25.5,388.4
下関,4R,3-2-1,6.87,56.0,384.7
戸田,10R,1-3-5,9.41,40.9,384.7
びわこ,1R,5-2-1,4.79,80.3,384.3
多摩川,2R,2-1-4,4.10,93.4,382.8
三国,11R,2-1-3,8.04,47.5,381.9
福岡,7R,1-4-2,4.91,77.7,381.9
徳山,6R,2-1-6,5.19,73.6,381.7
多摩川,6R,3-1-2,4.41,85.4,376.6
住之江,11R,4-1-3,5.00,75.1,375.8
住之江,8R,1-3-2,7.75,48.3,374.4
浜名湖,7R,1-2-4,5.15,72.5,373.5
戸田,6R,1-4-3,5.59,66.8,373.4
蒲郡,10R,1-2-3,9.08,40.9,371.3
常滑,7R,1-2-4,4.43,83.8,370.9
福岡,10R,1-4-2,4.34,85.0,368.8
芦屋,6R,4-1-2,6.15,59.6,366.3
戸田,9R,1-3-2,16.88,21.6,364.6
戸田,2R,1-4-2,4.54,79.9,362.7
下関,4R,2-3-1,6.86,52.8,362.2
下関,4R,2-1-3,4.91,73.6,361.6
徳山,2R,2-4-1,7.19,50.2,360.8
津,11R,3-1-2,5.95,60.6,360.4
若松,5R,2-1-5,3.88,92.8,360.3
下関,9R,2-1-4,4.61,78.1,359.9
多摩川,4R,4-3-1,4.66,77.0,358.5
多摩川,10R,2-1-4,4.02,89.1,358.3
若松,3R,1-3-2,8.61,41.6,358.0
浜名湖,8R,3-1-4,8.30,43.1,357.5
若松,6R,3-1-2,7.13,50.1,357.4
福岡,5R,4-2-1,6.34,56.1,355.6
多摩川,10R,2-1-3,7.76,45.6,353.9
福岡,11R,1-5-3,3.70,95.1,351.7
宮島,8R,2-1-4,6.54,53.3,348.5
蒲郡,7R,1-2-5,4.00,86.6,346.5
蒲郡,8R,1-3-2,8.74,39.5,345.4
