場,レース,買い目,推定確率%,オッズ(取得時),回収率%
常滑,10R,3-2-1,7.82,89.3,698.5
宮島,8R,1-4-3,8.92,77.4,690.1
常滑,10R,3-1-2,6.97,96.0,669.4
宮島,8R,1-3-4,12.73,49.1,624.8
桐生,2R,4-1-3,7.73,78.4,605.7
桐生,6R,1-2-5,10.01,60.4,604.4
常滑,6R,3-1-2,9.49,60.7,576.1
桐生,6R,1-5-2,7.86,73.2,575.0
大村,1R,4-1-3,6.57,86.0,564.6
浜名湖,10R,1-4-3,16.45,34.2,562.6
戸田,9R,1-4-3,12.17,45.4,552.5
桐生,6R,1-2-4,12.16,44.8,544.7
常滑,6R,1-3-4,7.88,68.1,536.9
戸田,9R,1-4-2,7.91,66.8,528.5
桐生,4R,1-4-2,7.76,67.1,520.8
福岡,3R,2-1-4,8.90,56.9,506.3
桐生,3R,1-2-3,10.51,47.9,503.5
下関,9R,1-4-2,6.25,80.4,502.5
大村,10R,4-1-2,5.82,84.5,491.8
宮島,3R,4-1-2,12.17,40.4,491.8
浜名湖,7R,1-3-2,6.36,76.7,487.7
大村,1R,1-4-3,15.17,31.8,482.3
浜名湖,10R,1-4-2,6.27,76.4,479.1
尼崎,9R,1-4-3,13.29,36.0,478.5
常滑,4R,4-1-2,5.35,89.2,477.4
大村,8R,1-3-5,6.52,72.9,475.5
桐生,3R,1-3-2,7.27,65.3,474.5
桐生,3R,2-1-3,7.89,59.9,472.8
大村,2R,1-4-3,14.91,31.7,472.5
鳴門,6R,4-3-1,4.92,94.9,467.1
戸田,11R,2-1-4,5.78,80.2,463.9
常滑,8R,1-4-3,6.92,67.0,463.8
桐生,10R,1-4-3,6.97,66.5,463.3
下関,9R,1-2-4,10.12,45.1,456.5
浜名湖,5R,1-3-2,10.37,43.9,455.2
桐生,8R,1-3-5,9.61,46.4,445.9
常滑,6R,1-3-2,12.41,35.9,445.4
宮島,9R,1-2-4,4.93,89.6,441.4
丸亀,1R,1-5-4,6.45,67.8,437.1
桐生,1R,1-5-3,6.87,63.5,436.1
宮島,9R,4-1-2,4.95,87.0,430.4
丸亀,1R,1-2-4,4.82,88.9,428.5
常滑,5R,2-1-4,5.57,76.4,425.3
宮島,12R,2-1-3,10.35,41.0,424.4
戸田,6R,1-3-2,7.16,58.1,415.8
大村,10R,2-1-4,5.76,71.9,414.4
桐生,5R,2-1-4,11.70,35.3,413.1
住之江,9R,4-1-3,4.68,87.7,410.6
桐生,7R,3-1-2,5.87,69.1,405.4
尼崎,12R,1-5-3,8.76,46.3,405.4
福岡,8R,5-1-2,5.27,76.6,403.3
江戸川,7R,1-4-3,7.68,52.4,402.4
常滑,9R,3-2-1,5.07,79.2,401.9
丸亀,1R,1-4-2,5.06,78.1,395.3
常滑,12R,1-5-4,5.07,78.0,395.2
丸亀,8R,2-1-4,8.51,45.7,388.9
宮島,8R,1-2-4,7.30,53.2,388.2
桐生,10R,4-1-3,5.82,66.5,387.0
常滑,12R,1-4-3,18.65,20.7,386.2
浜名湖,5R,1-2-3,12.82,30.0,384.6
福岡,5R,3-1-4,6.95,55.3,384.2
桐生,4R,1-2-4,10.66,36.0,383.7
桐生,2R,1-4-2,5.95,63.9,380.5
戸田,6R,1-3-4,6.18,61.4,379.5
戸田,4R,1-4-2,6.22,60.4,375.9
尼崎,9R,1-4-2,5.03,74.1,372.7
常滑,4R,1-4-2,7.82,47.6,372.5
丸亀,2R,1-2-4,4.66,79.9,372.0
常滑,4R,4-1-3,4.60,80.6,370.5
桐生,7R,1-3-2,6.70,55.2,369.8
住之江,4R,1-4-6,3.94,93.3,367.7
浜名湖,2R,2-1-4,4.48,81.9,366.8
戸田,6R,1-5-3,6.56,55.6,364.7
宮島,9R,4-2-1,3.82,95.4,364.1
丸亀,7R,1-4-2,5.34,68.1,364.0
常滑,10R,1-3-2,6.51,55.6,362.2
芦屋,11R,1-4-6,4.36,82.5,359.6
芦屋,4R,2-1-4,6.37,56.2,358.2
宮島,9R,1-4-2,5.57,64.3,357.9
戸田,10R,1-5-4,11.36,31.5,357.7
戸田,8R,1-4-2,4.09,87.4,357.3
戸田,12R,2-1-4,7.28,49.0,356.8
浜名湖,10R,4-1-3,5.32,66.8,355.6
戸田,6R,1-3-5,9.48,37.5,355.5
戸田,5R,1-2-4,14.24,24.9,354.6
丸亀,8R,4-2-1,3.70,95.5,353.5
桐生,9R,2-4-1,4.90,71.8,352.0
尼崎,1R,3-1-2,10.92,32.2,351.7
桐生,8R,1-5-3,13.25,26.4,349.9
江戸川,6R,1-4-2,8.30,41.9,347.7
戸田,5R,2-1-4,6.38,54.4,347.2
浜名湖,7R,3-1-2,5.72,60.5,345.9
戸田,4R,1-2-4,9.68,35.7,345.7
桐生,1R,3-1-5,4.23,81.6,345.2
常滑,5R,4-2-1,4.32,79.9,345.2
福岡,8R,1-5-4,5.46,63.1,344.6
宮島,8R,1-3-2,18.07,19.0,343.4
宮島,8R,1-4-2,6.32,54.3,343.3
大村,7R,1-3-6,5.07,67.6,342.8
浜名湖,3R,1-4-2,3.67,93.4,342.8
大村,3R,2-1-5,7.37,46.2,340.3
江戸川,5R,4-3-1,10.15,33.5,339.9
宮島,11R,1-2-5,9.57,35.4,338.7
浜名湖,5R,2-1-3,5.72,58.9,337.1
尼崎,10R,3-1-5,3.81,88.4,337.0
唐津,8R,4-1-3,6.94,48.2,334.4
桐生,4R,1-2-3,4.96,67.1,332.6
福岡,5R,3-4-1,3.61,91.8,331.2
丸亀,6R,1-3-2,7.01,47.0,329.4
下関,5R,1-5-4,3.83,86.0,329.0
下関,6R,1-5-4,10.09,32.6,329.0
江戸川,8R,1-4-3,6.29,52.2,328.5
住之江,1R,3-1-2,7.34,44.4,326.0
尼崎,10R,1-5-3,7.64,42.5,324.8
福岡,3R,4-2-1,3.63,89.3,323.8
丸亀,3R,1-5-3,5.40,60.0,323.8
戸田,12R,2-4-1,4.00,80.9,323.7
住之江,10R,1-5-3,9.54,33.9,323.6
住之江,5R,1-5-3,3.66,88.4,323.2
江戸川,3R,1-5-3,4.88,65.8,321.3
戸田,12R,2-1-3,5.52,58.2,321.2
鳴門,8R,3-1-4,12.38,25.9,320.5
大村,6R,1-3-4,6.07,52.8,320.4
宮島,5R,4-1-2,5.82,55.0,320.3
福岡,10R,3-1-4,5.63,56.9,320.3
福岡,12R,5-1-3,7.14,44.8,319.9
大村,7R,1-3-4,5.84,54.5,318.1
芦屋,8R,1-4-2,5.81,54.7,317.8
江戸川,7R,1-3-2,10.02,31.7,317.5
下関,6R,1-4-3,6.97,45.5,317.3
戸田,10R,1-4-5,14.08,22.5,316.7
浜名湖,7R,1-3-5,6.33,50.0,316.5
福岡,4R,2-1-5,4.40,71.5,314.7
常滑,9R,3-1-2,5.45,57.6,314.0
桐生,3R,1-2-6,6.33,49.6,313.9
江戸川,5R,1-4-3,7.16,43.8,313.6
戸田,2R,4-1-2,5.74,54.4,312.3
江戸川,8R,1-3-2,10.03,31.1,312.1
住之江,4R,1-5-3,3.97,78.5,311.6
宮島,7R,1-2-4,4.14,75.1,311.0
常滑,6R,3-2-1,3.15,98.7,310.9
戸田,11R,2-3-1,6.09,51.0,310.7
丸亀,8R,4-1-2,5.94,52.3,310.4
桐生,6R,1-4-2,10.28,30.2,310.4
福岡,4R,2-1-4,4.09,75.8,310.2
戸田,6R,1-2-3,4.52,68.6,309.9
常滑,1R,1-5-4,8.24,37.6,309.8
尼崎,3R,4-1-2,6.00,51.5,308.8
丸亀,4R,1-5-4,5.83,52.8,307.7
尼崎,11R,5-2-1,3.22,95.7,307.7
尼崎,9R,4-1-3,3.12,98.2,306.7
鳴門,6R,1-4-3,3.84,79.7,306.3
浜名湖,5R,1-2-5,4.22,72.6,306.2
住之江,7R,1-3-4,18.00,17.0,306.1
大村,3R,1-2-3,5.77,52.8,304.5
宮島,10R,4-1-3,4.74,64.0,303.7
宮島,7R,4-1-2,5.89,51.5,303.5
下関,7R,1-5-2,3.72,81.5,303.0
丸亀,3R,1-3-5,8.48,35.7,302.6
鳴門,11R,1-4-2,13.03,23.2,302.3
大村,7R,3-1-5,4.11,73.5,301.7
浜名湖,7R,1-3-6,7.69,39.2,301.4
桐生,7R,1-4-3,3.05,98.7,301.0
常滑,7R,1-4-2,18.57,16.2,300.8
桐生,3R,3-1-2,4.39,68.5,300.7
桐生,8R,1-3-2,4.68,64.1,300.0
下関,1R,3-1-2,8.15,36.7,299.2
住之江,7R,1-4-3,7.38,40.5,298.8
尼崎,1R,3-2-1,3.79,78.8,298.7
福岡,3R,2-1-5,3.41,87.4,298.4
戸田,5R,1-3-4,5.00,59.6,298.1
戸田,4R,4-2-1,8.40,35.5,298.1
浜名湖,8R,2-1-4,3.23,92.0,297.5
常滑,5R,1-4-2,12.82,23.2,297.4
桐生,3R,2-1-6,4.75,62.5,297.0
唐津,11R,4-1-2,8.65,34.3,296.8
住之江,4R,1-4-3,5.97,49.7,296.5
丸亀,4R,1-4-5,8.52,34.8,296.4
江戸川,3R,5-1-3,4.58,64.4,295.1
住之江,8R,1-6-2,6.71,43.9,294.6
住之江,10R,1-5-2,4.24,69.4,294.2
桐生,12R,2-1-3,7.63,38.5,293.8
芦屋,11R,1-4-5,4.19,70.0,293.1
鳴門,10R,3-4-1,3.25,90.1,292.7
住之江,6R,3-1-4,6.32,46.3,292.7
宮島,3R,4-1-3,4.72,62.0,292.5
江戸川,1R,3-1-2,13.21,22.1,291.9
戸田,9R,1-5-4,4.12,70.7,291.6
桐生,8R,1-2-5,8.01,36.4,291.5
尼崎,12R,1-5-2,13.00,22.4,291.2
芦屋,12R,1-3-5,19.00,15.3,290.8
福岡,10R,1-4-3,7.63,38.1,290.5
常滑,7R,1-2-4,13.17,22.0,289.7
唐津,12R,1-4-3,13.99,20.7,289.7
桐生,5R,1-2-4,5.19,55.7,289.3
尼崎,10R,1-4-3,5.79,49.9,288.8
芦屋,3R,1-4-2,3.10,93.1,288.8
住之江,2R,4-1-3,7.11,40.6,288.6
尼崎,12R,1-5-4,5.39,53.5,288.5
常滑,4R,1-2-4,6.64,43.4,288.4
戸田,10R,1-2-4,3.03,95.0,288.1
戸田,8R,4-2-1,3.07,93.9,288.0
住之江,10R,1-2-5,3.60,79.8,287.1
芦屋,7R,1-4-3,4.94,57.8,285.3
宮島,4R,1-5-2,4.21,67.6,284.9
大村,9R,1-4-3,7.30,39.0,284.8
下関,5R,1-5-3,3.54,80.3,284.3
宮島,5R,4-1-3,2.95,96.0,283.6
江戸川,3R,5-3-1,4.79,59.1,282.8
桐生,5R,2-4-3,3.12,90.6,282.4
江戸川,7R,1-3-4,20.61,13.7,282.3
常滑,8R,1-3-4,5.69,49.4,281.0
尼崎,11R,5-1-2,5.03,55.7,279.9
桐生,9R,1-4-2,3.89,71.8,279.6
戸田,5R,1-3-2,5.24,53.3,279.5
桐生,1R,1-3-5,6.35,43.9,278.8
芦屋,9R,1-4-2,10.87,25.6,278.4
芦屋,8R,1-4-5,6.18,45.0,278.2
丸亀,4R,5-1-4,3.27,85.1,278.1
芦屋,5R,1-4-3,7.28,38.2,278.0
戸田,10R,1-4-2,5.28,52.6,277.5
常滑,10R,1-2-3,6.65,41.7,277.1
下関,1R,1-3-2,18.44,15.0,276.7
芦屋,8R,1-2-4,3.19,86.8,276.7
江戸川,10R,1-6-3,3.64,76.0,276.6
住之江,2R,3-1-4,3.39,81.3,275.8
戸田,9R,1-3-4,11.44,24.1,275.8
尼崎,7R,1-4-5,5.59,49.3,275.7
桐生,1R,2-1-5,2.89,95.3,275.6
浜名湖,11R,1-3-2,12.70,21.7,275.6
宮島,9R,2-1-4,4.00,68.8,275.4
丸亀,2R,1-4-2,3.82,71.9,275.0
鳴門,5R,1-4-3,3.34,82.2,274.8
桐生,1R,5-1-3,4.81,57.1,274.6
大村,5R,1-5-4,3.65,74.9,273.7
戸田,4R,2-1-4,12.72,21.5,273.5
尼崎,6R,1-2-5,4.47,61.0,272.7
尼崎,10R,1-3-5,8.00,34.1,272.7
芦屋,12R,1-5-3,12.23,22.3,272.7
江戸川,6R,4-1-2,15.65,17.4,272.3
住之江,4R,1-4-2,3.28,82.9,272.3
下関,7R,2-1-3,3.14,86.6,272.3
戸田,12R,2-3-1,2.78,98.0,272.1
芦屋,11R,1-4-2,8.01,33.9,271.6
丸亀,8R,2-1-3,4.32,62.8,271.3
唐津,11R,2-1-4,2.80,96.7,271.2
戸田,7R,2-1-3,2.79,96.9,270.5
宮島,12R,2-1-4,6.98,38.7,270.2
戸田,5R,1-2-3,7.32,36.9,270.1
福岡,6R,2-1-3,5.51,48.8,269.1
尼崎,5R,1-5-2,9.15,29.4,269.0
下関,6R,4-1-3,3.31,81.1,268.8
浜名湖,10R,1-3-4,16.00,16.8,268.7
浜名湖,6R,1-5-3,8.01,33.5,268.4
宮島,12R,1-2-4,11.65,23.0,267.9
宮島,12R,1-2-3,17.27,15.5,267.7
常滑,11R,2-1-3,4.40,60.5,266.5
常滑,9R,1-2-3,4.54,58.6,266.2
唐津,12R,4-1-3,4.67,56.9,265.9
常滑,5R,1-2-4,9.46,28.1,265.9
下関,9R,1-3-2,5.53,48.1,265.9
尼崎,3R,4-2-1,7.41,35.8,265.3
浜名湖,7R,3-1-5,5.69,46.6,265.2
宮島,9R,2-4-1,3.49,75.8,264.6
尼崎,12R,5-1-2,4.02,65.7,263.9
住之江,6R,1-4-3,3.92,67.2,263.6
福岡,6R,1-3-2,8.20,32.1,263.1
戸田,8R,4-1-2,3.67,71.4,261.9
鳴門,3R,3-1-5,11.04,23.7,261.6
下関,8R,1-4-3,20.24,12.9,261.1
大村,4R,1-3-2,9.85,26.5,261.0
福岡,5R,1-3-4,5.72,45.3,259.2
桐生,9R,2-1-4,4.26,60.8,258.8
宮島,5R,4-2-1,4.83,53.4,258.0
宮島,1R,1-4-2,4.52,57.1,257.9
住之江,8R,1-4-2,3.70,69.7,257.9
尼崎,10R,3-1-4,3.14,82.0,257.8
住之江,5R,3-1-2,2.66,96.8,257.7
芦屋,6R,5-1-3,2.91,88.6,257.6
下関,7R,1-5-3,3.08,83.5,257.4
戸田,9R,1-2-4,6.24,41.1,256.3
戸田,12R,4-2-1,3.28,78.1,255.8
浜名湖,9R,2-1-3,3.51,72.8,255.8
大村,4R,1-2-3,14.60,17.5,255.5
福岡,10R,1-3-4,10.83,23.6,255.5
唐津,8R,3-1-4,4.00,63.8,254.9
福岡,5R,5-3-1,2.84,89.7,254.8
尼崎,3R,2-4-1,9.35,27.2,254.2
住之江,2R,1-4-2,8.17,31.1,254.2
大村,11R,1-5-4,3.74,67.9,253.8
住之江,7R,1-3-5,6.12,41.4,253.5
宮島,4R,1-5-4,4.24,59.8,253.4
福岡,1R,1-6-4,3.34,75.8,253.3
下関,7R,1-2-4,4.66,54.3,253.2
江戸川,7R,1-5-3,5.05,50.1,252.8
浜名湖,6R,1-3-2,4.53,55.8,252.8
桐生,2R,1-2-4,2.93,86.2,252.7
常滑,9R,1-3-2,5.19,48.7,252.6
常滑,1R,1-4-5,7.94,31.8,252.6
常滑,1R,1-5-2,8.14,31.0,252.5
丸亀,7R,1-2-4,4.01,62.9,251.9
福岡,10R,3-1-2,6.02,41.8,251.8
福岡,7R,1-3-2,4.77,52.7,251.4
丸亀,6R,3-1-2,3.36,74.8,251.2
住之江,11R,1-2-3,4.33,58.0,251.1
浜名湖,9R,4-1-3,3.36,74.6,250.7
戸田,9R,1-4-5,5.74,43.7,250.6
常滑,2R,4-1-2,2.81,89.2,250.3
福岡,8R,1-4-5,3.69,67.7,250.1
浜名湖,7R,1-5-3,2.96,84.2,249.5
戸田,11R,1-2-3,12.66,19.7,249.3
鳴門,11R,1-4-3,3.09,80.6,248.9
常滑,12R,1-4-5,8.01,31.0,248.5
江戸川,1R,3-2-1,4.57,54.3,248.3
浜名湖,12R,3-1-4,5.76,43.1,248.2
尼崎,7R,4-1-2,3.17,78.3,248.2
戸田,11R,3-2-1,4.24,58.5,248.0
江戸川,5R,1-3-4,8.22,30.1,247.3
常滑,2R,1-5-2,3.11,79.6,247.2
福岡,11R,4-1-2,3.26,75.7,246.9
江戸川,6R,4-2-1,11.69,21.1,246.6
浜名湖,8R,1-4-3,4.70,52.5,246.6
桐生,11R,1-4-3,7.58,32.5,246.5
