date,stadium,race,combo,prob%,odds_at_scan,result_combo,hit,payout,pnl
20260707,05,6,4-1-3,7.8,36.2,5-4-1,×,0,-100
20260707,04,7,3-1-5,2.87,98.3,1-6-4,×,0,-100
20260707,10,12,1-5-2,10.8,26.1,1-2-4,×,0,-100
20260707,11,10,2-3-1,3.57,79.0,3-1-4,×,0,-100
20260707,01,2,4-1-3,3.48,80.8,3-2-5,×,0,-100
20260707,04,7,1-3-5,6.23,45.1,1-6-4,×,0,-100
20260707,20,10,2-1-4,3.48,80.8,1-4-3,×,0,-100
20260707,05,3,3-2-1,3.61,77.6,1-5-3,×,0,-100
20260707,13,3,3-1-2,6.5,42.9,2-1-3,×,0,-100
20260707,13,9,2-1-3,4.94,56.2,3-1-5,×,0,-100
20260707,13,10,1-4-3,12.79,21.7,1-3-6,×,0,-100
20260707,04,9,4-1-3,5.94,46.4,1-4-3,×,0,-100
20260707,08,4,4-3-1,2.99,92.2,1-3-5,×,0,-100
20260707,08,4,5-1-4,3.25,84.8,1-3-5,×,0,-100
20260707,01,9,1-4-3,6.34,43.4,3-6-4,×,0,-100
20260707,11,12,2-1-4,5.34,51.5,1-3-5,×,0,-100
20260707,20,12,3-1-2,4.24,64.5,1-3-2,×,0,-100
20260707,12,3,1-3-4,6.15,44.4,4-6-2,×,0,-100
20260707,01,6,3-1-2,6.96,39.2,1-3-2,×,0,-100
20260707,13,4,4-1-3,7.15,38.1,4-5-3,×,0,-100
20260707,08,3,3-1-2,2.9,93.2,1-6-2,×,0,-100
20260707,05,1,1-2-4,10.36,26.1,4-1-5,×,0,-100
20260707,08,6,1-4-5,7.17,37.6,4-1-2,×,0,-100
20260707,04,12,3-4-1,3.74,71.9,1-3-2,×,0,-100
20260707,11,5,2-1-4,4.39,61.0,1-2-5,×,0,-100
20260707,13,4,4-3-1,3.71,72.2,4-5-3,×,0,-100
20260707,20,8,1-3-4,8.51,31.4,2-6-1,×,0,-100
20260707,24,12,1-4-2,2.81,95.1,1-2-3,×,0,-100
20260707,20,1,2-4-1,3.69,72.2,2-3-4,×,0,-100
20260707,12,3,1-4-3,8.72,30.5,4-6-2,×,0,-100
20260707,20,4,3-2-1,11.12,23.9,3-5-2,×,0,-100
20260707,24,6,1-4-2,5.3,49.8,2-3-1,×,0,-100
20260707,08,5,3-2-1,3.65,72.2,4-5-6,×,0,-100
20260707,01,7,1-3-4,14.68,17.9,1-3-5,×,0,-100
20260707,12,10,3-1-5,3.12,84.1,1-2-5,×,0,-100
20260707,13,5,3-2-1,3.05,86.0,3-1-2,×,0,-100
20260707,04,12,3-4-2,2.7,97.1,1-3-2,×,0,-100
20260707,24,12,2-3-1,4.55,57.5,1-2-3,×,0,-100
20260707,05,4,4-1-5,3.55,73.5,2-1-6,×,0,-100
20260707,04,12,3-1-4,4.47,58.4,1-3-2,×,0,-100
20260707,04,2,4-1-5,2.85,91.4,1-5-2,×,0,-100
20260707,10,6,2-1-4,2.88,90.4,5-1-6,×,0,-100
20260707,10,10,4-1-3,3.16,82.1,3-5-1,×,0,-100
20260707,24,4,4-1-5,10.96,23.6,4-1-5,○,2360,2260
20260707,13,6,1-2-3,7.51,34.4,1-5-6,×,0,-100
20260707,05,4,2-4-5,3.66,69.9,2-1-6,×,0,-100
20260707,13,11,1-5-2,6.55,38.8,4-5-2,×,0,-100
20260707,05,4,4-2-5,4.68,54.3,2-1-6,×,0,-100
20260707,02,12,3-1-4,2.76,92.0,1-3-5,×,0,-100
20260707,13,2,2-3-1,6.53,38.8,1-2-4,×,0,-100
20260707,02,2,3-1-2,4.0,63.1,5-1-4,×,0,-100
20260707,08,7,2-3-1,4.19,60.2,6-4-2,×,0,-100
20260707,13,9,3-2-1,3.27,77.1,3-1-5,×,0,-100
20260707,11,5,4-1-2,3.83,65.8,1-2-5,×,0,-100
20260707,12,7,1-4-5,6.51,38.6,4-5-3,×,0,-100
20260707,05,9,1-3-2,16.24,15.4,3-5-6,×,0,-100
20260707,08,1,1-4-3,4.35,57.2,2-6-4,×,0,-100
20260707,18,7,1-4-3,4.89,50.9,3-5-4,×,0,-100
20260707,18,3,1-3-2,19.25,12.9,6-1-4,×,0,-100
20260707,08,2,3-2-1,2.54,97.8,3-2-1,○,9780,9680
