場,レース,買い目,推定確率%,オッズ(取得時),回収率%
平和島,9R,1-4-5,10.51,94.7,995.1
平和島,9R,1-5-4,9.76,87.4,853.3
戸田,6R,1-3-4,10.65,68.3,727.3
平和島,5R,4-1-2,12.13,59.1,717.1
若松,8R,1-2-4,16.87,41.2,695.2
平和島,2R,4-2-1,10.67,63.7,679.5
下関,4R,1-5-2,8.11,80.6,653.6
常滑,12R,4-1-2,7.28,88.9,647.3
福岡,10R,1-5-3,8.52,73.5,626.5
戸田,5R,1-4-2,14.03,44.6,625.7
平和島,6R,2-1-4,8.08,76.8,620.2
浜名湖,3R,1-3-2,10.23,60.6,620.2
児島,5R,2-4-1,6.38,96.9,618.5
平和島,8R,1-4-3,6.70,90.2,604.4
戸田,8R,1-2-5,11.51,52.2,600.6
下関,4R,1-3-2,6.38,94.1,600.3
平和島,5R,4-2-1,6.02,99.7,599.9
平和島,7R,1-5-2,9.36,63.8,597.2
戸田,5R,1-4-3,14.96,39.3,588.0
蒲郡,5R,2-1-4,6.15,94.1,578.8
浜名湖,2R,2-1-5,7.28,78.6,572.0
戸田,8R,1-3-2,12.22,46.3,565.6
若松,2R,1-4-2,13.21,42.1,556.1
芦屋,6R,1-4-3,7.63,72.8,555.6
下関,4R,1-2-5,12.18,45.1,549.1
福岡,10R,1-5-2,10.13,54.0,546.9
大村,10R,4-1-3,12.47,43.4,541.3
平和島,3R,1-2-3,7.35,73.2,537.8
平和島,2R,2-4-1,8.31,63.7,529.5
福岡,4R,3-1-2,5.64,92.7,522.8
平和島,9R,1-2-4,8.52,59.8,509.5
平和島,9R,1-4-2,9.57,51.6,494.0
戸田,4R,1-3-2,9.72,50.3,489.0
蒲郡,3R,1-2-4,5.24,93.1,487.5
唐津,1R,3-1-4,5.01,95.4,478.1
平和島,5R,1-4-2,14.15,33.2,469.9
浜名湖,11R,1-2-5,8.17,57.4,468.8
福岡,9R,1-2-5,7.14,65.0,464.1
常滑,8R,2-3-1,14.12,32.8,463.2
平和島,9R,1-5-2,7.75,59.8,463.2
福岡,11R,2-1-3,7.41,62.5,463.2
下関,4R,1-2-4,6.10,75.3,459.1
浜名湖,8R,1-3-4,10.71,42.3,452.9
江戸川,7R,1-2-4,8.13,55.7,452.8
戸田,9R,1-4-2,9.37,48.3,452.4
浜名湖,9R,1-3-2,4.68,96.5,451.2
平和島,4R,2-3-1,4.87,92.4,450.3
芦屋,12R,4-1-3,7.69,58.1,446.6
常滑,8R,2-1-3,13.12,34.0,446.0
浜名湖,7R,1-4-2,5.44,82.0,446.0
福岡,8R,1-2-4,9.58,46.3,443.3
平和島,7R,5-1-2,6.59,67.0,441.7
福岡,8R,2-1-4,10.56,41.8,441.6
浜名湖,5R,2-1-3,6.02,72.8,438.5
戸田,6R,3-1-2,5.12,85.4,437.2
常滑,12R,4-1-3,8.34,52.3,436.1
平和島,6R,1-2-4,7.57,56.9,430.5
芦屋,12R,4-3-1,5.46,78.6,429.3
江戸川,10R,1-4-5,7.07,60.6,428.4
常滑,8R,3-2-1,8.57,49.9,427.4
