場,レース,買い目,推定確率%,オッズ(取得時),回収率%
福岡,5R,1-5-2,15.29,94.4,1443.0
若松,7R,1-4-3,18.21,40.9,745.0
宮島,4R,1-4-3,7.81,94.0,734.3
常滑,7R,2-1-3,9.75,68.5,667.9
宮島,9R,1-2-4,13.95,45.1,629.1
福岡,2R,1-2-5,10.09,61.3,618.7
浜名湖,5R,1-4-2,7.62,78.0,594.5
福岡,6R,1-3-2,7.93,72.7,576.5
若松,7R,1-3-4,12.34,46.4,572.5
浜名湖,8R,4-1-3,7.77,72.0,559.7
桐生,6R,4-2-3,6.56,83.9,550.4
桐生,4R,2-4-1,6.78,80.6,546.8
三国,12R,1-4-2,11.36,47.4,538.7
三国,7R,1-5-3,8.19,64.7,530.2
宮島,4R,1-4-2,13.32,39.3,523.6
芦屋,10R,2-1-4,7.41,70.6,522.9
浜名湖,5R,1-2-4,5.91,87.7,518.2
浜名湖,9R,1-3-2,11.23,46.0,516.4
津,6R,4-1-3,6.47,79.8,516.3
桐生,8R,2-1-3,12.94,39.8,514.9
宮島,12R,4-1-2,11.91,43.2,514.5
福岡,2R,2-1-5,7.69,65.7,505.1
尼崎,12R,1-4-2,10.94,45.6,498.8
福岡,9R,3-2-1,9.47,52.5,497.2
若松,12R,4-1-3,6.30,78.7,495.5
三国,6R,4-1-3,5.64,86.0,485.1
津,8R,2-1-5,7.39,64.8,478.9
江戸川,10R,1-4-5,5.74,82.0,470.5
丸亀,6R,1-2-3,7.45,61.9,460.9
桐生,6R,2-4-1,5.61,81.4,456.9
宮島,7R,2-1-4,9.15,49.9,456.7
若松,1R,3-1-4,4.75,94.4,448.7
江戸川,10R,1-5-4,7.49,59.6,446.6
丸亀,12R,4-1-2,6.85,64.6,442.7
宮島,9R,1-4-2,9.75,45.1,439.8
福岡,5R,1-2-5,10.82,40.0,432.8
若松,7R,1-4-2,8.06,53.5,431.1
宮島,6R,3-2-1,5.41,79.6,431.0
尼崎,4R,4-3-1,5.51,78.0,430.1
尼崎,7R,1-3-5,4.40,97.4,428.1
尼崎,4R,3-4-1,6.07,70.5,427.6
宮島,12R,4-2-1,6.17,69.0,425.6
常滑,8R,1-4-3,7.27,58.5,425.2
宮島,8R,1-4-2,16.50,25.7,424.1
江戸川,5R,1-4-3,16.97,24.9,422.6
江戸川,5R,4-1-3,10.85,38.7,419.8
芦屋,6R,1-5-2,4.77,87.7,418.4
尼崎,12R,1-2-4,17.80,23.3,414.8
宮島,7R,2-1-3,5.64,73.3,413.6
丸亀,4R,1-3-2,8.69,47.1,409.5
若松,4R,1-3-5,5.39,75.3,405.6
三国,7R,1-3-5,9.21,44.0,405.1
江戸川,10R,1-4-2,5.33,75.7,403.5
常滑,12R,3-1-2,6.39,63.1,403.2
若松,1R,2-3-1,4.83,83.5,403.0
宮島,8R,1-4-3,5.82,68.7,400.1
桐生,4R,2-1-4,7.54,52.7,397.5
桐生,8R,2-3-1,6.01,66.0,396.6
丸亀,7R,1-3-4,10.25,38.6,395.7
尼崎,1R,4-1-3,4.28,92.2,394.5
桐生,10R,2-1-3,7.26,53.7,390.1
