場,レース,買い目,推定確率%,オッズ(取得時),回収率%
戸田,9R,1-3-2,8.67,91.0,788.7
多摩川,5R,3-1-4,7.79,98.2,764.7
丸亀,9R,1-4-3,8.59,86.7,744.5
丸亀,10R,1-4-3,10.78,65.5,706.2
丸亀,2R,1-3-4,10.99,63.2,694.6
蒲郡,1R,1-4-3,11.01,55.3,608.6
平和島,8R,1-2-4,10.85,55.6,603.5
丸亀,4R,1-4-2,7.83,76.9,602.3
多摩川,6R,4-1-2,10.16,57.1,579.9
丸亀,4R,1-2-4,9.41,59.0,555.2
多摩川,7R,1-4-3,8.17,67.9,554.5
尼崎,5R,2-1-4,5.62,94.3,529.7
丸亀,10R,4-1-3,5.45,95.8,522.5
尼崎,10R,1-4-3,8.43,61.5,518.2
平和島,4R,4-1-3,6.10,84.5,515.5
丸亀,2R,1-4-3,11.26,44.8,504.5
多摩川,6R,1-4-2,16.96,29.5,500.3
大村,8R,1-2-4,7.27,68.2,495.7
平和島,7R,1-5-4,5.05,94.6,477.9
蒲郡,7R,1-2-5,8.56,55.6,476.1
丸亀,4R,4-1-2,4.97,93.1,462.9
江戸川,6R,4-2-1,8.48,54.3,460.4
尼崎,7R,1-3-2,8.02,56.4,452.1
福岡,8R,1-4-3,7.29,61.1,445.3
尼崎,9R,1-4-3,5.26,84.3,443.6
児島,10R,1-2-4,8.20,54.0,442.6
江戸川,10R,1-4-3,6.62,66.5,440.1
福岡,10R,3-1-2,9.09,47.9,435.6
平和島,4R,1-4-2,4.70,92.0,432.5
平和島,9R,1-6-5,4.30,99.5,427.8
丸亀,2R,4-1-3,5.69,74.7,425.2
戸田,9R,1-4-3,4.42,95.7,422.6
児島,6R,1-2-4,5.23,80.0,418.7
尼崎,4R,4-3-1,4.24,98.3,416.4
児島,12R,2-1-4,5.92,68.5,405.5
戸田,6R,4-1-3,6.31,63.9,403.5
児島,10R,1-4-3,4.62,87.0,402.1
戸田,9R,1-2-3,9.64,41.7,401.8
鳴門,10R,2-1-3,4.67,85.4,399.1
唐津,6R,3-1-4,4.40,89.6,394.4
宮島,6R,1-4-2,8.13,48.4,393.7
大村,5R,1-4-2,4.87,80.8,393.3
平和島,2R,1-3-2,13.07,30.0,392.0
多摩川,5R,3-1-2,4.32,90.0,388.8
住之江,8R,1-2-4,12.49,30.7,383.4
大村,12R,2-1-4,4.12,92.4,380.8
戸田,9R,1-3-4,5.13,74.0,379.7
江戸川,8R,1-3-2,13.72,27.6,378.7
多摩川,6R,2-1-4,4.67,80.9,378.0
児島,8R,1-4-5,5.53,67.5,373.2
尼崎,7R,1-3-5,11.72,31.8,372.6
多摩川,3R,4-1-5,5.25,71.0,372.4
大村,7R,2-1-5,6.66,55.8,371.7
住之江,7R,3-2-1,5.30,70.1,371.5
蒲郡,1R,4-1-3,3.89,95.4,371.2
住之江,4R,1-4-2,13.01,28.5,370.7
尼崎,4R,4-1-3,4.90,75.5,369.9
児島,6R,1-4-2,4.20,87.8,368.5
尼崎,8R,1-4-3,4.09,90.1,368.5
大村,7R,1-2-5,10.89,33.7,366.9
丸亀,7R,1-3-2,6.50,56.4,366.5
大村,3R,3-2-4,4.85,75.4,365.8
江戸川,10R,4-1-3,3.69,98.9,364.9
平和島,9R,1-5-2,11.82,30.6,361.6
尼崎,12R,1-4-2,12.09,29.8,360.4
児島,10R,1-3-2,8.54,42.1,359.7
多摩川,12R,2-1-3,6.59,54.4,358.4
福岡,5R,1-4-3,4.85,73.8,358.2
びわこ,11R,1-5-2,12.77,28.0,357.7
児島,10R,1-4-2,6.35,56.2,356.8
唐津,6R,3-1-5,5.44,65.2,354.8
平和島,4R,1-4-3,13.58,25.9,351.6
尼崎,5R,4-2-1,3.77,93.2,351.2
江戸川,7R,1-4-3,5.47,64.2,350.9
多摩川,9R,3-2-1,3.82,91.7,350.7
福岡,5R,1-3-6,3.71,94.1,349.5
児島,5R,4-1-3,4.90,71.2,349.1
児島,8R,1-5-4,8.31,42.0,348.9
福岡,5R,1-3-4,9.94,35.0,348.0
多摩川,9R,2-3-1,3.53,98.4,347.7
蒲郡,3R,2-3-1,4.82,71.9,346.6
宮島,4R,4-1-2,6.54,52.7,344.8
多摩川,5R,1-4-3,8.01,43.0,344.6
多摩川,12R,2-1-5,4.35,79.1,344.2
福岡,10R,1-3-5,13.60,25.2,342.8
平和島,11R,2-1-4,14.97,22.9,342.7
児島,11R,3-1-2,7.70,44.4,341.9
尼崎,11R,1-3-5,13.44,25.3,340.1
児島,12R,2-1-3,4.83,70.0,338.2
びわこ,8R,1-2-4,7.80,43.3,337.6
江戸川,7R,1-2-4,3.96,85.1,337.0
びわこ,6R,3-4-1,4.54,73.9,335.1
平和島,7R,1-3-5,5.32,63.0,334.9
蒲郡,9R,3-1-2,7.18,46.5,334.0
江戸川,12R,1-4-2,9.46,35.3,333.9
住之江,9R,1-3-2,7.24,46.1,333.7
江戸川,6R,4-1-2,5.38,62.0,333.7
尼崎,11R,3-1-2,5.69,58.5,332.8
児島,12R,4-1-2,3.46,95.5,330.5
大村,6R,1-4-3,7.61,43.4,330.3
唐津,6R,1-3-4,4.16,79.4,330.0
尼崎,9R,1-4-2,7.10,46.5,329.9
児島,10R,1-2-3,10.14,32.5,329.5
蒲郡,10R,4-1-2,4.82,68.4,329.4
尼崎,7R,1-3-4,5.56,59.2,329.1
福岡,12R,4-2-1,3.33,98.9,328.9
江戸川,5R,4-1-3,3.84,85.3,327.4
丸亀,4R,1-4-3,3.88,84.2,326.7
大村,6R,1-4-2,6.35,51.3,326.0
江戸川,10R,4-1-2,6.76,48.0,324.3
平和島,9R,1-5-4,3.76,86.1,324.1
児島,9R,1-3-2,8.77,36.8,322.7
多摩川,3R,5-1-4,3.35,95.7,320.9
住之江,12R,4-1-3,3.61,88.7,320.4
平和島,8R,1-4-2,9.20,34.8,320.3
住之江,5R,1-3-2,6.93,46.1,319.5
蒲郡,5R,3-1-2,8.51,37.5,319.2
平和島,3R,4-1-3,7.05,45.3,319.2
蒲郡,1R,1-3-4,15.80,20.1,317.6
住之江,2R,1-2-5,4.55,69.8,317.6
蒲郡,3R,1-3-2,4.40,71.9,316.2
江戸川,11R,3-1-2,8.41,37.6,316.2
福岡,9R,2-3-1,5.48,57.1,312.9
福岡,12R,2-4-1,3.48,89.5,311.8
福岡,5R,1-3-5,9.64,32.3,311.4
蒲郡,7R,1-5-2,6.19,50.1,310.2
びわこ,1R,4-1-3,5.46,56.8,310.2
蒲郡,9R,1-4-3,4.94,62.8,309.9
戸田,10R,1-4-3,13.47,23.0,309.8
蒲郡,4R,4-2-1,3.51,88.3,309.7
福岡,7R,3-1-2,5.24,59.1,309.4
大村,6R,4-1-3,4.53,68.0,308.2
平和島,2R,3-1-2,3.59,85.9,308.2
平和島,8R,1-3-2,5.38,57.3,308.1
住之江,8R,1-2-3,9.61,32.0,307.5
びわこ,6R,1-4-3,6.88,44.6,307.0
児島,12R,1-2-4,12.57,24.4,306.8
唐津,2R,2-1-3,6.22,49.3,306.5
尼崎,10R,1-5-3,4.17,73.1,305.1
多摩川,3R,4-5-1,3.51,87.0,304.9
平和島,2R,1-3-5,4.74,64.3,304.8
尼崎,7R,1-2-3,3.08,98.7,303.8
宮島,6R,1-2-4,15.18,20.0,303.6
住之江,5R,1-2-3,7.01,43.1,302.2
大村,8R,1-3-2,7.35,41.1,302.0
住之江,3R,1-3-2,8.72,34.6,301.7
平和島,11R,2-4-1,5.18,58.2,301.6
びわこ,6R,3-1-4,10.58,28.5,301.6
大村,9R,1-2-4,10.99,27.3,300.2
鳴門,3R,4-1-3,4.28,70.0,299.9
宮島,4R,1-4-3,5.37,55.4,297.4
多摩川,5R,1-3-4,16.32,18.1,295.3
尼崎,8R,1-2-4,3.45,85.4,295.0
江戸川,6R,1-2-4,4.59,64.3,294.8
