場,レース,買い目,推定確率%,オッズ(取得時),回収率%
下関,2R,1-4-3,12.62,82.4,1040.2
常滑,3R,2-1-3,9.37,79.8,747.7
平和島,10R,1-2-4,8.84,83.8,741.1
下関,5R,1-4-2,8.40,87.6,735.7
江戸川,7R,1-4-2,15.16,48.3,732.2
常滑,2R,1-2-5,8.79,82.5,725.2
児島,7R,1-2-4,7.61,89.6,682.1
平和島,6R,1-2-3,10.97,61.3,672.5
戸田,2R,3-1-2,8.10,81.9,663.5
下関,2R,1-3-4,12.75,51.5,656.6
下関,5R,1-3-2,11.25,56.0,629.8
下関,1R,1-2-4,9.34,65.2,608.7
尼崎,5R,1-4-3,9.88,61.3,605.5
戸田,5R,1-4-3,10.52,57.1,600.7
浜名湖,3R,3-2-1,6.04,97.5,588.6
若松,6R,1-3-2,8.72,66.7,581.8
若松,6R,1-3-4,10.40,55.6,578.1
児島,9R,1-4-3,18.60,30.8,572.8
児島,7R,1-2-5,9.54,59.4,566.8
江戸川,5R,1-4-2,8.12,69.6,565.2
唐津,9R,1-3-4,10.38,54.1,561.4
浜名湖,6R,1-2-3,9.52,58.4,556.1
若松,6R,1-4-3,10.94,50.5,552.7
児島,8R,2-1-3,9.13,58.7,535.8
桐生,6R,2-1-3,8.54,62.7,535.4
江戸川,7R,1-2-4,13.76,38.9,535.3
下関,3R,1-4-3,5.78,92.2,533.1
平和島,8R,1-2-4,9.74,54.2,528.1
平和島,11R,1-4-2,8.99,57.8,519.5
蒲郡,3R,1-3-2,9.80,52.3,512.5
江戸川,10R,1-4-2,12.91,39.5,510.0
児島,4R,1-4-3,9.73,52.3,509.0
若松,11R,4-1-2,8.16,62.4,509.0
下関,5R,1-2-4,8.02,63.0,505.4
唐津,9R,3-4-1,5.13,97.8,501.6
常滑,7R,1-2-4,5.30,94.6,501.2
福岡,10R,4-1-3,8.99,55.4,498.2
戸田,2R,3-2-1,10.34,48.0,496.3
常滑,8R,1-2-4,9.54,51.7,493.0
戸田,2R,1-3-2,6.06,80.6,488.7
江戸川,6R,1-5-3,5.91,81.2,480.1
江戸川,10R,1-2-4,6.88,69.0,474.7
平和島,7R,4-3-2,5.78,81.1,468.4
平和島,8R,1-4-5,5.81,80.5,467.4
浜名湖,12R,2-1-3,14.96,31.2,466.7
平和島,5R,1-4-2,7.15,65.1,465.4
浜名湖,3R,3-1-2,6.49,71.6,464.6
浜名湖,4R,1-4-2,9.60,48.1,461.9
常滑,5R,1-3-4,7.64,59.4,453.6
下関,5R,1-2-3,9.67,46.9,453.3
児島,8R,1-2-4,8.04,56.3,452.4
平和島,9R,1-2-3,8.57,52.7,451.6
下関,3R,4-3-1,4.89,92.2,451.3
平和島,5R,1-2-4,10.67,42.2,450.1
平和島,6R,1-3-2,12.69,35.4,449.1
芦屋,9R,2-1-4,5.63,79.5,447.8
平和島,10R,1-2-5,8.23,53.9,443.9
浜名湖,8R,1-4-3,8.20,53.9,441.7
下関,6R,2-4-1,4.58,94.0,430.6
下関,3R,4-1-3,5.23,82.0,429.0
蒲郡,3R,1-2-3,13.76,31.0,426.4
常滑,11R,1-5-4,4.29,97.3,417.4
江戸川,6R,1-3-5,7.88,52.6,414.6
若松,9R,1-3-2,13.91,29.7,413.0
下関,3R,1-3-4,6.16,67.0,412.9
江戸川,11R,1-3-2,11.73,35.0,410.5
児島,1R,4-1-2,7.51,54.6,410.0
唐津,5R,2-3-1,4.95,81.6,403.6
芦屋,12R,1-3-2,17.59,22.6,397.5
大村,9R,1-4-3,4.29,91.6,392.9
常滑,8R,2-1-4,6.95,56.5,392.6
芦屋,9R,1-2-4,13.53,29.0,392.3
下関,3R,3-1-4,5.84,67.0,391.5
江戸川,5R,1-4-5,7.63,51.0,389.3
児島,7R,1-5-2,5.76,67.5,388.6
福岡,9R,1-4-3,6.29,61.7,387.9
下関,10R,1-2-3,11.65,33.2,386.8
唐津,9R,3-1-4,9.86,38.8,382.8
江戸川,11R,1-2-3,5.77,66.2,381.8
平和島,4R,1-3-5,5.92,64.4,381.0
芦屋,9R,1-4-2,14.56,26.1,380.1
福岡,8R,1-4-2,6.45,58.6,378.1
江戸川,9R,1-2-5,7.25,51.7,374.9
児島,1R,4-1-3,4.68,80.0,374.5
蒲郡,6R,1-2-3,3.76,99.6,374.4
下関,9R,1-3-5,10.97,34.1,374.2
平和島,10R,1-2-3,8.06,46.1,371.7
蒲郡,1R,1-4-3,7.63,48.6,371.0
若松,3R,1-2-5,7.76,47.7,370.0
芦屋,8R,2-3-1,9.52,38.7,368.3
常滑,6R,1-4-2,3.92,94.0,368.1
福岡,6R,2-1-4,4.87,75.5,367.3
戸田,5R,1-5-4,4.68,77.9,364.9
児島,8R,1-2-3,20.92,17.4,364.1
江戸川,5R,1-2-4,9.01,40.3,363.1
下関,8R,1-2-5,3.66,99.3,363.1
児島,6R,1-5-2,11.75,30.9,363.0
桐生,5R,4-1-2,5.34,67.7,361.7
若松,10R,4-3-1,9.81,36.8,360.9
蒲郡,1R,4-1-3,4.48,80.5,360.5
福岡,5R,1-6-3,6.41,56.0,358.8
平和島,6R,2-1-3,6.22,57.7,358.7
常滑,7R,1-2-3,15.13,23.6,357.1
江戸川,12R,4-1-5,5.96,59.9,356.9
大村,3R,1-2-4,7.45,47.8,356.0
唐津,7R,1-6-3,4.37,80.9,353.9
若松,7R,1-4-3,9.54,37.0,353.0
尼崎,6R,1-3-4,8.05,43.8,352.4
下関,2R,1-3-2,7.69,45.7,351.5
桐生,5R,1-2-3,4.05,86.7,351.1
下関,4R,3-2-1,3.80,91.9,349.3
唐津,5R,3-2-1,10.80,32.3,348.9
芦屋,2R,4-3-1,4.94,70.4,348.1
浜名湖,12R,2-1-4,9.35,37.2,347.9
桐生,1R,1-3-2,6.80,51.0,347.0
福岡,5R,6-1-3,4.13,84.0,346.9
蒲郡,6R,1-4-2,5.09,67.7,344.8
児島,12R,3-1-2,4.08,84.4,344.2
蒲郡,5R,2-1-5,4.70,73.1,343.9
尼崎,8R,1-3-2,17.02,20.2,343.8
戸田,8R,1-2-3,5.00,68.5,342.4
浜名湖,10R,1-2-3,10.48,32.6,341.8
尼崎,5R,4-1-3,7.73,44.1,341.0
浜名湖,5R,1-3-4,6.53,52.2,340.9
平和島,9R,2-1-3,6.79,50.1,340.2
桐生,5R,1-4-2,7.21,47.1,339.7
福岡,6R,1-2-4,5.09,66.7,339.3
下関,9R,1-3-2,11.11,30.5,338.9
福岡,7R,1-3-6,6.81,49.7,338.2
福岡,10R,4-1-2,17.24,19.6,337.9
蒲郡,11R,4-3-1,3.43,98.4,337.2
福岡,7R,1-6-3,5.74,58.6,336.2
浜名湖,6R,2-1-3,10.20,32.9,335.4
常滑,6R,1-2-4,4.53,74.0,335.1
児島,7R,1-2-3,7.92,42.1,333.6
平和島,12R,3-1-2,5.54,60.2,333.2
蒲郡,5R,1-2-5,4.33,76.8,332.8
常滑,8R,2-4-1,6.04,55.0,332.5
若松,4R,4-1-3,3.61,92.1,332.5
