場,レース,買い目,推定確率%,オッズ(取得時),回収率%
三国,11R,2-1-4,13.50,76.3,1029.9
桐生,7R,3-1-2,11.18,67.8,757.7
平和島,4R,2-3-1,11.36,65.2,740.8
平和島,4R,2-1-3,13.32,47.0,625.9
桐生,7R,3-1-4,7.48,75.9,568.0
津,9R,1-4-3,18.26,30.3,553.2
唐津,6R,4-1-2,8.63,63.9,551.4
びわこ,10R,1-4-3,10.08,50.8,511.9
津,6R,3-1-5,7.86,64.2,504.8
宮島,8R,4-3-1,5.82,82.6,480.6
桐生,2R,2-1-4,7.20,65.9,474.5
下関,11R,3-1-2,13.70,34.4,471.2
平和島,12R,1-4-3,8.81,53.0,466.9
鳴門,5R,2-4-1,8.26,55.6,459.1
平和島,11R,1-5-2,5.35,84.5,452.0
平和島,11R,1-2-5,9.03,49.8,449.7
津,8R,1-5-2,4.46,99.8,445.6
宮島,2R,1-5-2,4.60,95.2,438.0
びわこ,10R,1-3-4,12.67,34.0,430.6
多摩川,3R,3-2-1,9.66,44.5,429.9
鳴門,5R,2-1-4,8.73,47.6,415.5
三国,4R,1-4-2,6.48,64.1,415.2
桐生,3R,4-1-2,5.22,78.8,411.0
蒲郡,8R,1-3-5,4.57,89.3,408.5
蒲郡,8R,1-3-4,11.65,34.8,405.4
蒲郡,4R,2-1-4,10.51,38.4,403.8
平和島,4R,3-2-1,6.65,60.6,402.8
津,3R,3-2-1,5.13,77.4,396.8
桐生,7R,2-3-1,4.73,83.8,396.5
平和島,9R,1-4-5,8.28,47.7,394.7
多摩川,5R,4-1-3,4.70,83.1,390.3
びわこ,3R,4-1-3,7.93,49.2,390.0
児島,11R,1-4-3,12.64,30.5,385.6
唐津,5R,4-1-2,5.27,72.3,381.3
多摩川,6R,2-3-1,3.93,96.0,377.5
桐生,4R,2-1-3,4.93,76.0,374.7
多摩川,7R,5-1-2,4.87,76.9,374.5
平和島,11R,1-2-4,16.16,23.1,373.2
三国,9R,1-4-3,13.70,26.9,368.7
多摩川,12R,1-4-2,9.04,40.7,368.0
桐生,3R,2-4-1,3.88,94.9,367.8
多摩川,12R,1-2-4,7.87,46.7,367.6
びわこ,10R,1-3-2,8.73,41.4,361.6
平和島,8R,1-4-3,10.70,33.8,361.5
平和島,9R,1-4-2,4.03,89.3,360.3
唐津,2R,1-5-2,3.68,97.6,359.2
尼崎,5R,1-4-3,6.15,58.4,359.1
多摩川,10R,1-4-3,4.05,88.6,358.8
津,10R,2-1-4,5.00,71.7,358.6
宮島,7R,1-4-2,6.46,54.6,352.5
三国,11R,2-1-3,4.09,86.1,352.2
桐生,4R,3-1-2,3.82,92.0,351.3
宮島,2R,1-5-4,3.86,88.5,341.3
蒲郡,4R,2-1-3,5.79,58.9,341.1
児島,12R,4-2-1,5.01,67.9,340.0
びわこ,10R,1-4-2,4.58,73.9,338.5
平和島,9R,1-5-4,8.02,41.9,336.0
児島,6R,3-2-1,5.35,62.7,335.6
桐生,11R,2-1-4,3.33,100.0,333.5
