場,レース,買い目,推定確率%,オッズ(取得時),回収率%
戸田,5R,1-3-4,13.51,55.2,745.8
平和島,5R,3-1-2,9.97,71.3,710.7
若松,10R,1-4-2,13.24,53.6,709.5
戸田,11R,1-2-4,10.54,65.8,693.4
びわこ,10R,1-4-2,12.30,50.4,619.8
平和島,6R,2-1-3,14.61,42.2,616.5
児島,2R,4-1-2,10.18,60.5,615.8
常滑,5R,1-4-3,6.75,91.1,614.6
児島,8R,1-4-2,6.47,94.5,611.7
びわこ,10R,1-4-3,15.82,37.8,598.1
平和島,9R,1-2-5,6.44,91.1,586.4
児島,5R,1-3-2,7.12,81.6,580.8
児島,2R,4-2-1,8.06,69.6,561.3
戸田,5R,3-1-4,8.69,63.9,555.4
桐生,2R,5-1-4,5.40,99.4,537.2
尼崎,1R,2-1-4,6.48,81.3,526.7
若松,10R,4-1-2,5.59,92.5,517.2
桐生,11R,2-1-4,6.54,78.4,512.5
戸田,5R,1-4-3,14.65,34.9,511.4
平和島,7R,1-4-3,7.04,70.3,495.2
常滑,10R,3-1-2,11.21,44.0,493.2
徳山,6R,4-1-3,10.32,46.2,477.0
戸田,10R,1-2-4,9.92,48.0,476.1
桐生,6R,1-3-2,12.90,36.8,474.7
常滑,6R,1-4-3,8.54,55.0,469.9
芦屋,8R,4-1-2,6.24,75.2,468.9
びわこ,5R,1-2-4,9.17,51.1,468.8
桐生,4R,4-1-2,5.05,90.3,456.1
戸田,12R,1-3-4,13.37,33.9,453.1
蒲郡,8R,2-1-5,4.62,97.8,452.3
若松,2R,1-2-5,10.29,43.9,451.9
児島,10R,2-3-1,6.19,72.5,448.7
児島,5R,3-1-2,5.24,85.2,446.7
びわこ,5R,1-2-5,6.52,68.5,446.4
宮島,4R,3-1-2,5.71,78.0,445.7
平和島,7R,1-3-4,12.34,36.1,445.5
児島,8R,1-2-4,11.13,39.8,443.0
戸田,11R,2-1-4,7.12,62.1,441.9
住之江,7R,1-3-2,8.21,53.4,438.5
常滑,7R,1-4-2,8.61,50.5,434.7
児島,7R,1-4-3,11.99,35.4,424.6
若松,2R,1-2-4,10.24,41.3,422.9
蒲郡,3R,3-1-2,10.60,39.8,421.7
常滑,2R,1-4-2,12.27,34.3,420.9
蒲郡,9R,1-3-4,16.86,24.9,419.8
平和島,5R,1-3-2,12.89,32.3,416.3
戸田,9R,1-3-2,8.10,51.3,415.7
住之江,8R,1-3-4,9.32,44.3,412.7
常滑,5R,1-3-4,7.65,53.7,410.8
徳山,4R,1-5-3,6.04,67.1,405.0
常滑,6R,1-4-2,8.30,48.7,404.1
桐生,8R,1-4-5,5.72,70.4,402.8
桐生,12R,1-4-2,10.24,39.3,402.5
児島,7R,4-1-3,9.48,41.8,396.3
住之江,10R,2-1-3,4.84,81.4,394.2
住之江,5R,1-2-4,10.44,37.5,391.5
住之江,11R,1-3-2,10.41,37.4,389.1
びわこ,7R,1-5-4,4.84,80.3,388.3
宮島,3R,2-1-3,7.27,53.3,387.6
徳山,4R,1-3-5,5.73,67.6,387.1
蒲郡,9R,1-4-3,13.82,27.8,384.3
津,8R,4-1-3,4.02,95.3,382.8
戸田,6R,1-3-2,6.36,60.2,382.6
常滑,2R,1-4-5,10.09,37.9,382.4
桐生,7R,4-1-2,3.95,96.5,381.4
桐生,11R,4-1-2,3.89,97.2,378.1
戸田,8R,1-3-2,13.09,28.8,377.0
桐生,10R,2-1-3,7.11,53.0,376.9
戸田,10R,2-1-3,6.97,54.1,376.9
若松,10R,1-4-3,9.98,37.7,376.1
住之江,10R,1-2-4,9.09,41.3,375.5
若松,1R,1-4-3,9.81,38.1,373.7
桐生,7R,4-1-3,4.26,87.3,372.2
平和島,6R,2-3-1,9.81,37.8,370.7
住之江,5R,1-4-2,8.19,45.1,369.4
戸田,7R,1-2-4,6.63,55.7,369.2
戸田,12R,1-2-4,6.65,55.4,368.4
若松,8R,1-4-2,4.46,82.5,367.9
戸田,9R,1-3-4,4.75,76.7,364.3
三国,6R,1-4-3,5.45,66.8,364.1
平和島,9R,1-2-4,9.32,38.8,361.7
宮島,4R,1-3-2,17.81,20.2,359.7
児島,9R,2-1-4,12.84,28.0,359.5
桐生,9R,3-1-2,6.16,58.2,358.8
戸田,12R,1-4-3,17.41,20.6,358.6
常滑,6R,1-3-4,9.14,39.1,357.5
平和島,5R,2-1-3,6.46,55.0,355.5
蒲郡,6R,3-1-5,3.81,93.3,355.5
若松,3R,1-2-5,6.45,54.9,354.2
芦屋,11R,1-4-2,14.91,23.7,353.3
芦屋,6R,2-1-4,3.81,92.5,352.7
戸田,9R,1-3-5,7.91,44.4,351.3
住之江,7R,1-2-3,8.78,39.8,349.6
桐生,7R,1-4-2,12.22,28.6,349.4
平和島,4R,1-5-3,6.23,56.0,348.8
若松,7R,1-6-3,4.09,85.2,348.8
若松,10R,1-2-4,10.59,32.8,347.3
びわこ,6R,1-4-2,7.54,46.0,346.7
びわこ,6R,2-1-4,3.76,92.1,346.5
若松,1R,1-3-4,8.90,38.9,346.2
芦屋,1R,1-5-2,5.73,60.3,345.7
平和島,9R,1-4-5,3.91,88.3,345.4
児島,9R,2-4-1,8.46,40.5,342.6
児島,6R,3-1-2,4.73,72.3,341.9
平和島,1R,1-4-2,8.39,40.5,339.6
平和島,6R,1-2-5,3.89,87.3,339.5
児島,11R,2-1-3,10.24,33.0,338.1
蒲郡,1R,2-1-4,3.47,97.2,337.3
蒲郡,1R,4-1-2,3.74,90.2,337.2
びわこ,1R,5-1-3,3.93,85.7,337.0
児島,7R,1-3-4,6.10,55.1,336.3
桐生,4R,1-4-2,3.70,90.3,333.9
芦屋,9R,2-3-1,6.52,51.2,333.8
桐生,1R,1-5-3,5.39,61.8,333.1
常滑,11R,2-1-4,4.01,83.1,333.1
若松,5R,2-1-5,6.09,54.7,332.9
若松,2R,1-4-2,5.44,61.1,332.2
宮島,12R,1-4-3,12.53,26.5,332.1
児島,8R,1-2-3,7.36,45.0,331.2
戸田,2R,1-4-3,13.35,24.8,331.1
びわこ,10R,1-3-4,10.96,30.2,331.0
蒲郡,8R,5-1-2,5.55,59.4,329.9
平和島,11R,1-3-5,6.68,49.4,329.9
児島,5R,1-2-3,5.54,59.5,329.6
宮島,4R,1-2-3,13.62,24.2,329.6
戸田,8R,1-4-3,6.78,48.5,328.7
平和島,3R,1-2-4,7.11,46.2,328.7
桐生,6R,1-3-4,11.57,28.4,328.5
児島,10R,2-1-3,12.11,27.1,328.3
住之江,11R,1-2-3,16.55,19.8,327.6
戸田,9R,3-1-4,4.74,69.1,327.6
児島,7R,1-4-2,9.66,33.9,327.4
常滑,11R,2-1-5,6.97,46.9,327.0
桐生,2R,5-1-2,4.01,81.6,326.9
桐生,1R,3-1-2,6.64,49.2,326.8
住之江,10R,2-1-5,4.01,81.4,326.8
桐生,7R,1-2-4,9.62,33.9,326.2
尼崎,1R,4-1-2,4.31,75.1,323.8
宮島,2R,2-1-4,5.48,59.1,323.7
常滑,6R,1-2-4,8.75,36.9,323.0
平和島,8R,1-2-4,10.68,30.1,321.3
戸田,9R,3-1-2,8.09,39.7,321.1
戸田,3R,1-2-3,16.51,19.4,320.3
びわこ,10R,1-2-4,7.81,41.0,320.3
尼崎,8R,3-1-2,3.84,83.5,320.3
戸田,5R,3-4-1,5.23,61.2,320.3
若松,9R,1-6-3,5.16,62.0,320.1
平和島,4R,5-1-4,3.92,81.5,319.7
若松,4R,1-2-4,6.54,48.8,319.0
若松,10R,2-1-4,4.06,78.3,317.6
児島,11R,1-2-3,11.08,28.6,317.0
常滑,2R,1-4-3,4.84,65.4,316.8
平和島,6R,2-1-4,6.36,49.7,315.9
常滑,4R,3-1-5,3.62,86.5,312.9
常滑,11R,2-1-3,5.40,57.8,312.1
常滑,5R,1-4-5,3.80,82.0,312.0
常滑,10R,3-2-1,5.97,52.2,311.7
平和島,12R,4-1-2,4.90,63.4,310.9
徳山,6R,1-4-3,17.35,17.9,310.5
びわこ,8R,1-4-2,3.94,78.7,310.4
蒲郡,3R,3-1-4,5.16,60.1,310.1
宮島,1R,2-1-3,5.00,61.9,309.7
戸田,2R,3-1-4,4.60,67.0,308.0
若松,9R,1-2-3,9.11,33.8,308.0
びわこ,12R,1-2-4,8.08,38.0,307.2
津,8R,1-4-3,6.37,48.1,306.6
びわこ,1R,1-5-4,4.36,70.3,306.4
戸田,10R,2-1-4,4.78,63.9,305.7
平和島,5R,1-2-3,9.79,31.2,305.5
びわこ,9R,1-5-3,13.65,22.3,304.4
宮島,3R,2-3-1,3.21,94.8,304.0
平和島,7R,1-3-2,9.80,31.0,303.7
住之江,1R,2-1-3,12.30,24.6,302.7
戸田,4R,3-1-2,7.23,41.8,302.4
蒲郡,3R,3-1-5,11.85,25.4,300.9
桐生,3R,1-3-2,5.32,56.4,300.3
宮島,5R,1-2-3,6.78,44.2,299.8
宮島,6R,1-3-6,4.01,74.7,299.6
児島,5R,1-3-4,4.04,74.1,299.4
住之江,2R,1-2-3,4.83,61.9,299.3
蒲郡,4R,4-1-3,5.69,52.6,299.1
桐生,1R,1-3-2,7.92,37.7,298.4
平和島,9R,1-4-3,3.88,76.7,297.9
