場,レース,買い目,推定確率%,オッズ(取得時),回収率%
下関,2R,1-3-2,11.90,91.2,1085.2
福岡,6R,1-4-3,8.51,92.1,783.9
若松,10R,1-5-3,15.96,48.3,771.1
津,7R,1-4-3,8.69,80.3,697.4
下関,2R,1-2-3,7.24,96.0,694.9
福岡,8R,1-4-2,7.26,92.0,667.6
若松,2R,1-5-3,9.08,73.1,663.8
若松,3R,1-2-4,6.91,89.3,617.1
徳山,7R,2-1-3,7.40,79.3,587.1
徳山,7R,2-1-4,8.93,65.6,585.6
福岡,6R,1-3-4,16.07,36.2,581.7
下関,9R,1-3-2,15.57,37.2,579.2
蒲郡,2R,2-1-3,20.91,27.4,573.0
びわこ,10R,4-1-2,13.11,43.3,567.8
住之江,10R,4-1-2,6.41,88.4,566.5
常滑,10R,1-5-2,6.72,79.2,531.9
若松,11R,2-3-1,6.89,76.2,525.0
住之江,6R,1-2-4,11.48,45.5,522.1
若松,2R,5-1-3,7.74,66.8,517.1
びわこ,9R,1-4-3,11.27,45.8,516.3
びわこ,10R,1-4-2,20.49,24.7,506.1
住之江,5R,1-4-3,7.93,63.3,502.0
津,7R,4-1-3,8.41,59.4,499.8
浜名湖,7R,2-1-3,5.30,94.2,498.9
下関,5R,1-4-3,5.97,83.3,497.0
びわこ,5R,4-1-2,8.18,59.5,486.5
蒲郡,4R,1-3-2,9.82,49.3,484.1
下関,3R,1-4-2,6.75,71.4,482.2
下関,3R,1-4-5,7.77,61.5,477.6
徳山,11R,1-5-3,7.07,67.0,473.5
住之江,5R,1-3-2,9.23,51.2,472.5
住之江,5R,1-3-4,10.19,46.3,471.8
蒲郡,8R,1-2-3,5.27,88.1,464.6
若松,1R,1-4-2,8.73,52.9,461.7
下関,8R,1-4-3,15.43,29.6,456.6
浜名湖,10R,1-4-3,4.85,92.9,451.0
徳山,2R,4-1-5,10.05,44.6,448.1
平和島,10R,4-1-2,4.80,92.0,441.6
下関,11R,1-3-2,10.91,40.0,436.4
下関,2R,3-1-2,4.39,96.0,421.7
びわこ,11R,1-3-2,16.23,25.9,420.4
びわこ,11R,1-2-4,9.99,42.0,419.8
びわこ,10R,1-2-4,8.56,48.7,416.7
びわこ,9R,1-3-4,11.12,37.3,414.7
若松,7R,1-4-3,6.85,60.1,411.9
浜名湖,8R,1-4-2,22.70,18.1,410.8
若松,1R,1-2-4,12.96,31.5,408.4
福岡,6R,1-3-2,7.47,54.6,407.7
びわこ,7R,1-3-2,5.76,70.5,405.8
若松,11R,2-1-5,4.12,98.0,403.5
若松,11R,2-1-3,11.17,36.1,403.1
福岡,10R,2-1-3,4.89,82.4,402.6
下関,7R,1-2-3,13.73,29.2,400.8
蒲郡,12R,4-1-2,4.70,85.1,399.8
若松,11R,2-1-4,9.44,42.3,399.2
蒲郡,8R,1-3-2,8.19,48.7,398.9
常滑,10R,1-2-5,5.85,67.9,397.5
蒲郡,5R,3-1-2,4.80,82.6,396.2
若松,3R,2-1-4,4.43,89.3,395.7
徳山,7R,2-1-5,4.77,82.2,391.8
蒲郡,10R,2-1-5,7.56,51.7,391.0
津,8R,1-4-5,4.34,89.8,390.2
福岡,5R,3-1-2,8.29,46.9,389.0
下関,9R,1-2-3,10.04,38.6,387.5
常滑,3R,2-3-1,4.10,94.0,385.4
平和島,10R,2-1-4,8.43,45.4,382.8
下関,1R,3-1-2,14.23,26.8,381.3
徳山,12R,4-2-1,3.85,98.2,378.0
平和島,11R,1-2-5,9.65,39.1,377.2
下関,3R,1-2-4,4.59,81.1,372.4
福岡,7R,2-1-3,7.95,46.8,372.0
蒲郡,9R,1-4-2,7.53,49.3,371.1
常滑,8R,1-3-4,4.37,84.4,368.9
徳山,2R,4-5-1,5.97,61.8,368.8
蒲郡,2R,1-2-3,14.42,25.5,367.7
若松,7R,1-4-2,8.10,45.1,365.2
蒲郡,11R,2-1-4,4.79,76.0,363.8
三国,5R,5-1-2,8.99,40.3,362.3
下関,10R,4-1-2,5.55,65.2,362.1
蒲郡,9R,1-2-4,10.48,34.5,361.5
徳山,1R,3-1-2,3.87,93.0,359.8
津,3R,5-2-1,4.42,80.7,356.3
びわこ,11R,1-3-4,5.76,61.7,355.6
住之江,6R,1-4-2,12.02,29.5,354.6
平和島,6R,1-2-4,7.25,48.6,352.5
徳山,12R,2-1-4,5.31,66.3,351.9
常滑,1R,4-1-3,3.85,91.3,351.5
福岡,1R,1-5-3,6.92,50.6,350.3
平和島,2R,3-4-1,3.72,93.9,349.3
蒲郡,7R,1-2-4,10.70,32.6,348.8
三国,6R,3-2-1,3.58,97.3,348.5
下関,6R,1-4-2,12.25,28.4,347.9
平和島,9R,1-4-3,6.36,54.2,344.9
蒲郡,7R,4-1-2,3.51,98.0,343.8
住之江,9R,1-4-3,11.82,29.0,342.7
下関,2R,1-3-6,10.33,33.1,341.9
津,2R,2-3-1,7.56,45.2,341.6
福岡,6R,3-1-4,5.85,58.2,340.6
常滑,8R,1-2-3,4.74,71.8,340.5
平和島,4R,3-4-5,4.83,70.0,338.4
下関,8R,4-1-3,6.59,51.2,337.6
若松,9R,1-3-2,11.35,29.7,337.0
