場,レース,買い目,推定確率%,オッズ(取得時),回収率%
蒲郡,6R,1-2-4,13.29,68.2,906.0
浜名湖,8R,1-2-4,15.38,58.4,898.1
浜名湖,12R,2-1-4,11.94,74.5,889.5
多摩川,8R,3-1-4,7.59,89.0,675.3
下関,4R,1-2-4,7.56,84.6,639.5
常滑,6R,1-4-2,11.10,57.5,638.4
浜名湖,3R,1-2-5,6.35,100.0,634.7
浜名湖,8R,1-4-2,24.32,25.8,627.3
平和島,6R,1-2-3,8.88,64.8,575.5
下関,9R,1-3-2,6.85,83.5,572.1
平和島,5R,1-3-4,5.82,96.2,560.2
多摩川,8R,3-4-1,8.97,61.1,547.9
児島,7R,1-2-4,13.84,39.2,542.5
常滑,5R,1-2-5,6.30,85.1,536.0
丸亀,10R,1-5-4,12.92,41.0,529.9
児島,4R,1-2-4,11.48,46.1,529.3
浜名湖,6R,1-2-3,8.88,59.5,528.2
蒲郡,6R,1-2-3,9.14,57.2,522.7
常滑,5R,2-1-5,5.59,91.8,513.2
浜名湖,11R,4-1-3,9.23,55.5,512.4
下関,6R,1-3-2,11.78,43.5,512.4
児島,4R,1-4-2,14.33,35.7,511.7
平和島,9R,1-2-4,7.55,67.5,509.3
丸亀,10R,1-5-2,12.88,39.3,506.1
蒲郡,6R,2-1-4,6.56,77.1,505.9
平和島,4R,2-1-4,6.71,75.2,504.7
平和島,7R,1-4-2,7.10,70.9,503.7
尼崎,11R,3-1-4,6.15,80.9,497.7
常滑,6R,1-2-4,6.47,75.8,490.6
桐生,3R,1-4-3,6.73,72.4,487.0
平和島,9R,1-4-2,6.51,73.8,480.4
芦屋,5R,3-1-4,8.13,59.0,479.4
児島,4R,1-4-3,6.15,78.0,479.3
浜名湖,5R,1-4-3,8.33,57.0,475.0
桐生,7R,1-4-3,5.78,82.0,474.2
浜名湖,5R,1-3-4,15.37,30.7,471.8
桐生,12R,2-1-4,7.97,59.1,470.8
蒲郡,4R,1-4-2,6.40,73.5,470.4
蒲郡,6R,1-3-2,5.27,88.6,466.8
浜名湖,2R,1-2-5,12.00,38.7,464.5
桐生,10R,1-4-2,20.83,22.3,464.4
平和島,6R,1-4-2,4.63,99.3,459.9
平和島,8R,1-5-4,9.30,49.1,456.4
児島,2R,1-4-3,5.82,78.1,454.3
平和島,7R,1-2-4,8.14,55.1,448.8
若松,5R,1-2-3,12.20,36.6,446.6
浜名湖,3R,1-2-3,9.17,48.6,445.8
浜名湖,2R,1-5-2,6.46,69.0,445.6
平和島,10R,4-2-1,8.25,53.9,444.6
平和島,10R,2-4-1,11.94,37.2,444.2
丸亀,7R,1-3-4,6.37,69.2,441.0
平和島,11R,1-3-4,5.67,77.7,440.9
