場,レース,買い目,推定確率%,オッズ(取得時),回収率%
宮島,12R,4-1-3,11.91,73.9,880.3
大村,9R,1-4-2,9.48,84.6,802.0
福岡,11R,1-4-3,14.09,53.2,749.6
宮島,9R,2-1-4,8.94,82.8,740.4
唐津,10R,4-3-1,7.90,90.1,711.6
唐津,10R,4-1-3,13.21,51.3,677.8
びわこ,3R,3-2-1,7.89,84.6,667.6
びわこ,6R,4-1-3,7.63,81.1,619.1
平和島,6R,1-2-4,8.02,75.4,604.8
下関,1R,1-3-4,8.39,71.7,601.7
福岡,9R,1-4-3,9.39,61.9,581.4
びわこ,3R,2-3-1,7.69,72.8,559.5
びわこ,10R,4-2-1,9.35,58.2,543.9
宮島,9R,1-2-4,12.67,42.4,537.1
福岡,11R,1-4-2,6.10,85.6,522.0
平和島,5R,1-4-3,7.02,74.3,521.5
丸亀,12R,2-3-1,6.57,79.1,519.7
下関,2R,1-2-5,6.43,79.6,512.0
びわこ,1R,4-1-3,5.14,99.4,511.2
大村,2R,1-2-5,5.46,93.3,509.5
下関,3R,1-3-2,7.02,72.3,507.8
福岡,10R,2-1-5,5.83,86.9,507.0
びわこ,10R,4-2-3,7.57,65.5,495.8
福岡,11R,1-4-5,5.14,93.8,481.7
福岡,10R,2-1-4,8.97,53.6,480.7
大村,10R,1-4-3,6.97,68.4,476.6
宮島,11R,4-2-1,8.34,56.9,474.5
宮島,4R,4-1-3,9.26,50.5,467.7
丸亀,11R,2-1-3,6.55,71.4,467.6
丸亀,2R,4-1-3,6.66,70.0,465.9
下関,4R,2-4-1,9.18,50.7,465.4
福岡,6R,1-4-2,8.01,58.1,465.1
三国,9R,4-2-1,4.79,96.9,464.5
びわこ,10R,2-4-1,5.89,78.8,464.3
びわこ,4R,3-1-4,5.99,77.2,462.1
大村,5R,1-3-5,5.52,82.8,457.1
びわこ,6R,4-1-2,8.65,51.6,446.1
下関,1R,1-4-2,10.61,41.7,442.5
びわこ,10R,4-3-2,5.90,74.7,440.4
宮島,11R,2-4-1,12.68,34.7,439.9
下関,1R,1-4-3,11.82,36.4,430.3
大村,10R,4-1-3,4.57,93.7,428.2
児島,9R,4-1-3,4.43,96.3,426.2
びわこ,6R,1-4-3,9.42,45.1,424.8
唐津,10R,3-4-1,5.36,79.0,423.1
児島,5R,2-1-3,7.88,53.6,422.5
平和島,8R,1-5-4,6.57,64.2,421.5
平和島,11R,2-3-1,6.28,66.4,417.1
宮島,9R,2-1-3,4.86,84.9,412.9
宮島,12R,4-1-2,4.24,96.4,409.0
若松,2R,2-1-4,13.33,30.6,407.9
宮島,6R,1-3-4,14.99,27.2,407.7
平和島,6R,1-3-2,11.01,36.8,405.2
若松,7R,1-2-5,10.70,37.8,404.6
唐津,10R,4-1-2,4.85,83.1,403.0
宮島,4R,3-1-4,5.93,68.0,403.0
福岡,6R,1-4-3,13.79,29.0,400.0
下関,7R,1-4-5,5.67,70.4,399.2
下関,6R,1-4-3,5.11,77.5,396.1
下関,5R,1-4-2,7.45,52.9,394.0
若松,5R,4-1-3,4.27,91.6,391.0
大村,5R,1-4-2,4.39,88.4,388.0
丸亀,3R,1-2-4,10.44,37.0,386.4
宮島,2R,4-1-2,4.48,86.1,385.8
若松,3R,1-3-4,4.30,89.0,382.9
びわこ,6R,1-4-2,10.67,35.7,380.9
若松,10R,2-1-3,7.83,48.6,380.7
唐津,11R,3-1-2,4.67,81.1,378.7
下関,8R,1-3-2,13.10,28.9,378.4
下関,1R,1-2-4,7.26,52.1,378.3
びわこ,10R,2-4-3,4.77,79.2,378.0
児島,5R,2-3-1,4.69,80.4,376.8
若松,12R,5-1-2,3.86,97.0,374.1
大村,8R,1-4-5,12.83,29.1,373.4
大村,11R,1-3-2,11.91,31.2,371.7
大村,9R,2-1-4,5.59,66.2,370.2
丸亀,5R,4-3-1,4.49,81.9,368.1
唐津,12R,2-3-1,4.46,82.5,367.8
丸亀,12R,2-1-3,9.16,40.1,367.2
福岡,10R,2-1-3,10.28,35.7,367.2
下関,4R,4-2-1,5.78,63.4,366.3
平和島,6R,1-2-3,23.55,15.5,365.0
若松,10R,2-1-4,4.72,77.0,363.8
丸亀,6R,1-3-2,5.56,65.4,363.7
下関,3R,2-1-3,4.99,72.3,360.7
びわこ,12R,5-1-3,3.62,99.7,360.4
福岡,2R,1-4-3,6.14,58.6,359.7
徳山,10R,1-4-3,7.39,48.5,358.2
若松,3R,4-1-3,4.25,83.8,356.2
