場,レース,買い目,推定確率%,オッズ(取得時),回収率%
若松,10R,4-1-2,13.87,70.8,982.1
戸田,10R,1-4-2,12.45,72.6,904.1
徳山,1R,3-1-2,10.71,79.9,856.0
戸田,8R,1-2-3,10.45,72.1,753.4
津,6R,2-4-1,7.97,89.2,710.8
鳴門,10R,4-2-1,7.89,83.3,657.4
平和島,7R,2-1-4,7.62,84.8,646.6
大村,2R,1-4-2,6.44,97.7,629.6
戸田,10R,1-4-3,12.17,50.4,613.4
鳴門,10R,4-1-2,6.71,91.3,612.5
戸田,6R,1-2-4,15.58,39.2,610.7
平和島,7R,1-2-4,15.88,38.4,609.7
戸田,6R,1-2-5,6.15,96.6,594.3
丸亀,4R,1-3-2,14.98,39.4,590.4
戸田,12R,1-4-2,5.53,99.9,552.9
平和島,7R,2-1-3,5.65,97.7,551.8
丸亀,5R,1-3-2,6.62,82.5,545.8
若松,11R,2-1-4,7.25,74.6,541.0
平和島,7R,1-2-3,11.76,44.9,528.1
津,9R,1-5-3,11.53,44.9,517.5
大村,2R,1-4-5,5.47,89.2,488.0
丸亀,10R,2-1-4,13.44,36.1,485.2
津,6R,2-1-4,6.45,74.7,481.6
丸亀,2R,4-1-3,5.80,83.0,481.4
戸田,10R,1-2-4,5.67,84.7,480.5
住之江,5R,2-1-6,4.86,97.4,473.1
戸田,4R,3-1-2,6.28,73.2,460.0
若松,11R,1-4-2,6.10,74.6,455.1
大村,9R,1-4-3,4.84,93.9,454.7
丸亀,5R,3-1-2,8.38,53.6,449.3
戸田,11R,1-4-2,5.79,77.6,449.3
平和島,12R,3-1-2,7.10,63.0,447.1
住之江,8R,1-3-2,10.62,42.1,447.0
津,9R,1-3-5,10.38,43.0,446.2
戸田,4R,1-2-3,5.88,75.4,443.1
戸田,6R,1-2-3,6.31,69.2,436.9
戸田,10R,4-1-3,5.88,72.6,426.8
若松,3R,1-4-3,6.20,68.2,422.7
丸亀,4R,2-1-3,4.54,93.0,421.9
戸田,8R,1-2-5,9.78,42.8,418.6
若松,9R,1-3-4,21.15,19.7,416.6
住之江,8R,2-1-3,7.65,54.3,415.3
下関,4R,2-1-4,6.15,67.3,413.7
津,4R,1-3-2,4.23,97.1,411.0
戸田,9R,1-3-2,9.32,43.7,407.1
若松,4R,1-3-4,8.33,48.6,404.9
丸亀,2R,1-4-2,7.69,52.3,402.0
津,8R,4-1-2,4.41,89.8,396.0
下関,8R,2-1-4,4.06,95.9,389.6
津,8R,2-4-1,4.15,93.6,388.7
平和島,7R,1-4-2,5.61,69.1,387.7
若松,10R,1-4-3,5.80,66.8,387.7
徳山,2R,4-1-3,4.43,87.4,386.8
宮島,2R,3-2-1,4.70,80.4,378.0
徳山,11R,3-1-4,3.92,96.3,377.5
大村,3R,3-2-1,5.21,72.0,375.4
丸亀,12R,3-2-1,4.19,89.6,375.2
戸田,4R,2-1-3,7.62,49.2,375.0
津,10R,2-1-3,4.24,87.6,371.0
戸田,11R,1-2-3,8.34,44.4,370.4
大村,9R,1-3-2,6.58,56.3,370.2
大村,3R,1-2-3,9.69,38.0,368.1
若松,9R,1-3-2,15.64,23.5,367.6
鳴門,12R,3-1-4,14.13,26.0,367.3
大村,9R,1-3-4,9.63,37.9,365.0
丸亀,12R,3-1-2,6.42,56.6,363.3
戸田,9R,1-2-3,8.57,42.3,362.5
下関,1R,1-4-3,5.49,65.9,361.7
大村,5R,1-2-3,15.23,23.7,360.9
大村,5R,1-3-2,8.48,42.5,360.3
住之江,9R,4-3-1,4.47,80.6,360.1
戸田,10R,4-1-2,6.02,59.8,359.7
大村,2R,1-2-4,7.36,48.8,359.2
平和島,6R,3-1-2,7.66,46.8,358.5
大村,5R,3-2-1,8.42,42.5,357.8
津,7R,1-3-4,4.59,77.4,354.9
住之江,11R,1-4-2,10.77,32.8,353.2
下関,3R,4-1-3,6.88,51.2,352.0
津,9R,1-5-4,4.87,72.2,351.5
三国,7R,1-2-4,4.72,74.4,351.5
住之江,8R,2-3-1,4.40,79.4,349.1
戸田,12R,1-4-5,10.10,34.3,346.4
下関,4R,1-4-2,15.06,23.0,346.3
津,9R,1-3-2,3.93,87.9,345.6
若松,1R,4-1-3,3.69,93.5,345.1
若松,8R,1-2-5,4.82,71.5,344.9
丸亀,4R,1-3-5,7.67,44.8,343.5
鳴門,4R,1-3-2,4.48,76.6,343.4
平和島,8R,1-6-2,5.25,65.3,342.8
戸田,9R,1-2-4,3.99,85.3,340.2
丸亀,3R,1-3-2,3.72,91.1,339.2
大村,2R,1-5-4,5.78,58.6,338.6
大村,8R,2-1-4,6.72,49.9,335.2
若松,6R,4-1-2,4.64,72.0,334.3
平和島,8R,1-6-3,4.50,74.2,333.7
若松,11R,2-1-3,9.15,36.3,332.3
三国,5R,1-2-4,17.48,19.0,332.1
丸亀,10R,2-4-1,7.19,46.1,331.4
津,7R,3-4-1,3.51,94.2,330.9
戸田,12R,1-5-4,10.96,30.1,330.0
若松,6R,1-3-4,4.07,81.0,329.9
平和島,6R,3-2-1,6.30,52.2,328.9
若松,5R,1-3-4,4.93,66.1,325.7
下関,3R,1-5-4,3.94,82.5,324.7
若松,2R,1-3-2,3.28,98.7,324.1
若松,2R,1-4-5,3.28,98.7,323.3
鳴門,10R,1-4-2,5.07,63.4,321.1
丸亀,2R,4-1-2,7.95,40.3,320.2
三国,11R,4-3-5,3.31,96.5,319.7
大村,8R,1-4-3,5.05,63.2,319.4
戸田,10R,1-4-5,4.57,69.3,316.6
戸田,9R,3-1-2,4.51,70.1,316.4
丸亀,2R,4-3-1,3.59,88.2,316.2
大村,11R,2-1-4,7.45,42.3,315.3
若松,4R,1-4-3,7.56,41.6,314.7
若松,4R,3-4-1,6.45,48.6,313.6
鳴門,9R,1-2-6,3.23,96.1,310.2
若松,1R,1-4-2,9.56,32.4,309.9
戸田,12R,1-2-4,4.71,65.7,309.4
若松,4R,3-1-4,7.77,39.8,309.2
丸亀,12R,2-3-1,4.59,67.2,308.5
宮島,7R,3-1-4,3.73,82.5,308.1
下関,5R,3-1-2,6.18,49.8,307.9
徳山,10R,4-3-1,3.42,89.9,307.6
津,2R,3-1-4,3.15,97.6,307.5
下関,4R,1-4-3,6.03,51.0,307.3
三国,10R,1-2-3,8.49,36.1,306.5
大村,3R,1-3-2,4.52,67.2,303.7
下関,3R,4-3-1,3.48,87.3,303.5
若松,11R,1-2-4,12.83,23.6,302.8
住之江,10R,3-1-2,3.74,80.8,302.5
宮島,3R,1-5-4,6.70,44.8,300.3
戸田,10R,1-3-4,5.51,54.4,299.9
戸田,9R,2-1-3,3.98,75.2,299.2
三国,5R,1-4-2,15.96,18.7,298.5
住之江,7R,4-3-1,4.16,71.5,297.6
若松,1R,1-3-4,5.98,49.6,296.8
平和島,8R,1-6-5,4.94,60.0,296.4
下関,7R,1-2-5,6.92,42.8,296.4
鳴門,1R,3-1-2,4.52,65.5,296.1
下関,2R,1-4-3,6.32,46.7,295.4
徳山,10R,3-1-2,5.43,54.1,294.0
宮島,10R,2-1-4,4.07,72.2,293.5
住之江,9R,1-4-3,7.81,37.5,292.7
住之江,9R,4-1-3,5.51,53.1,292.6
下関,7R,1-5-2,3.10,94.2,292.5
丸亀,8R,2-1-4,8.05,36.2,291.5
若松,1R,1-4-3,6.84,42.6,291.4
津,2R,4-1-3,4.96,58.6,290.8
三国,8R,2-3-1,3.22,89.8,289.1
平和島,5R,4-2-1,2.96,97.1,287.7
津,8R,4-2-1,4.47,64.2,287.0
鳴門,12R,3-4-1,4.86,58.9,286.1
平和島,4R,4-3-2,3.40,84.0,285.8
大村,5R,3-1-2,6.87,41.5,285.2
鳴門,7R,4-1-3,9.56,29.8,284.8
平和島,8R,1-5-6,4.40,64.4,283.5
平和島,7R,1-2-5,7.00,40.5,283.3
