場,レース,買い目,推定確率%,オッズ(取得時),回収率%
福岡,9R,2-1-4,10.53,72.4,762.3
津,6R,2-1-3,11.93,62.8,749.2
江戸川,7R,1-4-3,18.21,40.1,730.2
児島,6R,1-2-3,16.82,40.6,682.7
児島,6R,1-3-2,10.14,66.5,674.1
桐生,1R,1-4-3,6.78,94.3,639.0
児島,10R,4-1-3,10.14,62.2,630.5
平和島,9R,1-2-5,7.37,82.3,606.9
桐生,7R,3-1-2,11.20,53.8,602.6
江戸川,5R,1-4-2,6.00,96.9,581.0
びわこ,7R,2-1-4,6.28,91.7,575.7
蒲郡,5R,1-3-4,8.74,64.0,559.4
福岡,3R,4-1-2,9.23,57.7,532.7
桐生,7R,1-3-2,18.62,28.4,528.7
江戸川,11R,1-4-3,9.66,54.0,521.7
桐生,4R,2-1-4,5.16,97.8,504.2
大村,10R,2-5-1,10.39,48.1,499.8
桐生,3R,4-1-2,6.62,74.9,495.8
びわこ,11R,4-1-2,10.19,48.2,491.0
桐生,4R,1-4-2,5.41,90.6,490.2
桐生,4R,4-2-1,10.00,48.9,489.1
びわこ,7R,2-1-3,5.28,91.7,484.1
蒲郡,9R,2-1-4,11.02,43.9,483.6
びわこ,8R,1-5-2,13.52,35.7,482.8
児島,10R,4-3-1,7.37,64.5,475.6
平和島,4R,4-1-3,6.74,70.4,474.4
江戸川,5R,1-2-4,5.99,79.0,473.4
児島,6R,1-4-2,5.60,84.2,471.7
江戸川,12R,1-4-2,10.52,44.3,465.9
桐生,2R,1-4-5,7.13,64.9,462.8
江戸川,9R,1-4-3,14.59,31.5,459.5
鳴門,5R,1-2-3,6.16,74.5,459.2
児島,7R,2-1-4,5.02,91.0,457.0
蒲郡,1R,1-4-2,5.06,90.1,456.3
蒲郡,9R,1-4-2,6.01,75.1,451.3
平和島,4R,1-4-3,10.05,44.5,447.4
びわこ,8R,1-2-5,14.13,31.4,443.6
びわこ,11R,2-1-4,6.82,64.9,442.8
平和島,6R,1-2-4,6.33,69.9,442.3
大村,7R,3-1-2,11.10,39.6,439.4
桐生,4R,4-1-2,7.68,56.9,436.8
蒲郡,3R,5-3-1,5.19,84.1,436.6
三国,7R,2-1-5,6.98,62.2,433.9
桐生,3R,4-2-1,4.71,91.2,429.4
蒲郡,3R,5-1-3,5.07,84.1,426.4
江戸川,7R,1-4-2,7.52,56.0,421.3
平和島,8R,1-4-2,6.01,69.8,419.7
桐生,10R,1-3-2,10.01,41.9,419.3
平和島,10R,1-3-4,7.97,52.6,419.1
大村,2R,5-1-2,4.79,87.4,418.3
三国,7R,2-5-1,4.45,92.4,410.9
児島,3R,5-1-2,4.84,84.7,409.8
桐生,2R,1-5-3,4.58,88.9,407.6
大村,12R,2-1-5,4.37,92.2,402.8
桐生,8R,1-4-5,9.67,41.6,402.5
びわこ,6R,1-4-3,4.41,90.7,400.3
津,9R,2-1-4,5.97,66.7,398.5
蒲郡,8R,2-1-5,4.77,83.2,396.6
児島,11R,2-1-4,4.96,79.9,396.3
児島,7R,1-3-2,4.05,97.6,395.7
江戸川,5R,1-2-3,5.07,78.0,395.2
桐生,7R,1-3-5,10.38,37.9,393.3
三国,1R,1-5-4,5.87,67.0,393.1
桐生,10R,1-2-5,5.90,66.6,392.7
児島,10R,3-4-1,7.58,51.8,392.6
江戸川,7R,1-3-4,13.82,28.4,392.6
江戸川,9R,1-4-2,12.55,31.1,390.4
鳴門,5R,1-2-5,5.02,77.4,388.6
児島,10R,1-4-3,13.16,29.5,388.2
福岡,5R,4-2-1,9.26,41.9,388.1
三国,11R,4-2-1,5.30,73.2,387.9
津,2R,4-1-3,4.79,79.8,382.6
江戸川,12R,1-2-4,19.50,19.6,382.2
蒲郡,2R,1-3-2,4.81,79.5,382.2
鳴門,7R,1-4-2,7.05,54.2,382.0
福岡,3R,4-2-1,6.19,61.6,381.1
桐生,10R,1-2-4,6.72,56.4,379.1
大村,8R,2-4-1,6.50,58.0,377.1
福岡,9R,2-1-6,3.90,96.6,376.9
鳴門,11R,1-5-4,4.08,91.9,374.7
江戸川,5R,1-3-2,4.68,80.0,374.5
平和島,8R,2-4-1,4.75,77.8,369.3
桐生,2R,1-5-4,8.27,44.4,367.2
桐生,12R,1-4-2,13.03,27.9,363.6
平和島,10R,1-4-3,7.03,51.7,363.6
びわこ,3R,4-1-3,3.97,91.3,362.2
桐生,3R,1-4-2,5.70,63.5,361.8
尼崎,12R,4-1-3,4.74,76.1,360.8
鳴門,2R,3-2-1,5.49,65.7,360.7
児島,6R,1-2-4,10.80,33.4,360.7
児島,4R,3-1-2,3.88,92.4,358.5
びわこ,7R,2-4-1,6.32,56.6,357.8
大村,3R,1-4-3,8.24,43.2,355.8
びわこ,9R,1-2-4,4.75,74.7,354.6
福岡,5R,4-1-2,8.65,40.9,353.7
児島,3R,2-5-1,4.08,86.5,352.5
児島,11R,1-2-4,17.97,19.6,352.2
鳴門,11R,1-4-2,4.34,81.0,351.5
津,7R,2-3-1,3.81,91.8,349.9
福岡,5R,4-2-3,4.47,78.0,348.9
福岡,8R,1-5-2,14.44,24.1,348.0
福岡,10R,4-1-3,3.81,90.4,344.9
びわこ,1R,4-3-1,8.54,40.0,341.7
平和島,2R,1-4-3,4.00,85.4,341.4
三国,11R,4-1-2,6.06,56.3,341.1
津,7R,2-1-5,5.30,64.3,341.0
福岡,9R,2-1-5,6.46,52.7,340.3
福岡,1R,1-5-4,3.66,92.3,338.2
津,12R,2-1-3,5.16,65.5,337.9
平和島,6R,1-3-2,4.54,73.7,334.5
江戸川,11R,4-1-3,6.57,50.8,333.6
江戸川,8R,1-4-5,8.85,37.6,332.9
福岡,4R,4-1-3,3.76,88.4,332.3
江戸川,5R,1-4-3,5.08,65.3,331.4
平和島,8R,2-1-4,3.66,90.3,330.4
大村,8R,2-1-4,11.05,29.9,330.3
鳴門,11R,1-2-5,4.17,79.2,330.0
江戸川,6R,1-3-2,8.63,38.1,329.0
江戸川,9R,4-1-3,7.05,46.5,327.8
児島,8R,2-1-4,4.22,77.6,327.6
桐生,4R,2-4-3,3.75,87.4,327.6
津,5R,4-1-3,3.67,88.8,326.3
蒲郡,3R,3-5-1,3.49,93.4,326.2
びわこ,10R,3-4-1,3.74,87.0,325.3
三国,11R,2-4-1,7.08,45.9,324.8
蒲郡,2R,3-1-5,3.43,94.5,324.3
桐生,10R,3-1-2,4.64,69.8,323.6
平和島,10R,1-3-2,10.11,31.9,322.6
江戸川,8R,4-1-3,5.65,57.0,322.2
津,7R,2-5-1,3.26,98.5,321.4
鳴門,5R,1-2-4,5.71,56.2,320.6
尼崎,11R,1-2-5,6.02,53.3,320.6
桐生,2R,1-4-2,3.20,100.0,320.4
福岡,11R,1-2-5,10.07,31.7,319.3
津,12R,3-1-2,7.21,44.2,318.8
尼崎,7R,2-1-4,14.55,21.8,317.1
びわこ,10R,4-1-3,3.42,92.5,316.8
鳴門,2R,3-1-2,4.04,78.4,316.5
桐生,2R,1-3-5,3.30,96.0,316.4
津,4R,4-2-1,4.85,65.2,316.0
児島,7R,1-4-3,4.26,74.1,315.7
桐生,6R,1-2-3,9.54,33.0,314.7
びわこ,10R,3-1-4,11.35,27.7,314.4
江戸川,11R,1-4-2,14.73,21.3,313.7
大村,1R,1-6-5,3.43,91.2,313.0
大村,8R,4-2-1,4.99,62.4,311.1
桐生,10R,2-1-5,3.61,86.2,310.8
平和島,9R,1-5-2,7.14,43.2,308.6
児島,11R,1-4-2,9.04,34.1,308.2
津,6R,3-1-2,6.24,49.4,308.0
児島,1R,2-1-4,3.12,98.5,307.7
びわこ,11R,4-2-1,4.16,73.8,307.3
桐生,8R,1-2-4,3.11,98.8,307.3
児島,9R,1-2-3,8.85,34.7,307.1
桐生,11R,2-1-4,5.48,55.7,305.4
福岡,7R,1-3-2,15.00,20.3,304.6
平和島,4R,4-1-2,9.54,31.9,304.3
桐生,7R,1-3-4,14.15,21.5,304.2
大村,5R,5-1-2,3.67,82.6,303.3
びわこ,7R,4-2-1,3.82,79.2,302.6
桐生,11R,2-1-3,5.08,59.4,301.9
蒲郡,2R,1-5-3,3.79,79.5,301.5
江戸川,9R,4-1-2,6.07,49.5,300.3
津,9R,4-1-2,4.12,72.7,299.6
津,10R,2-1-5,3.93,76.0,298.7
平和島,5R,1-3-2,8.72,34.2,298.1
蒲郡,7R,1-5-3,4.38,67.8,297.2
児島,9R,1-2-4,11.98,24.8,297.0
福岡,9R,2-3-1,6.43,46.0,295.7
福岡,8R,1-2-5,15.28,19.3,294.9
尼崎,9R,1-4-3,9.85,29.9,294.4
桐生,11R,4-2-1,4.31,68.3,294.4
桐生,11R,2-3-1,4.47,65.8,294.0
平和島,2R,1-3-2,7.59,38.7,293.6
蒲郡,1R,4-1-2,4.79,61.3,293.5
尼崎,11R,1-5-2,4.23,69.3,293.2
桐生,6R,1-4-2,6.48,45.2,292.7
江戸川,6R,3-1-2,10.01,29.2,292.3
蒲郡,7R,1-3-5,12.30,23.7,291.5
津,3R,3-1-6,3.61,80.6,290.8
大村,5R,5-1-3,3.88,74.6,289.5
桐生,5R,1-4-2,6.13,47.2,289.4
平和島,11R,1-3-5,9.19,31.4,288.4
児島,6R,3-1-2,4.37,65.9,288.1
江戸川,10R,1-2-4,13.26,21.7,287.7
大村,10R,2-1-5,15.97,18.0,287.4
児島,10R,3-1-4,10.92,26.3,287.3
三国,11R,2-1-4,13.35,21.5,287.1
びわこ,1R,4-1-3,6.94,41.3,286.7
尼崎,11R,2-1-4,3.55,80.6,286.1
三国,8R,4-1-2,4.84,59.1,285.9
蒲郡,8R,1-4-2,3.05,93.6,285.8
びわこ,5R,2-1-6,2.98,95.3,284.3
津,7R,2-1-3,5.94,47.7,283.4
蒲郡,1R,2-1-4,4.92,57.6,283.1
江戸川,5R,1-3-4,4.69,60.3,282.6
桐生,1R,1-3-2,3.08,91.8,282.6
平和島,1R,1-5-2,3.14,89.8,282.3
大村,4R,1-4-2,11.63,24.2,281.5
江戸川,8R,1-4-3,9.57,29.4,281.2
津,3R,3-1-4,6.65,42.2,280.6
平和島,2R,1-4-2,3.97,70.5,280.2
福岡,8R,2-1-5,4.00,69.8,279.3
江戸川,7R,4-1-3,8.67,32.1,278.4
児島,7R,2-4-1,2.85,97.6,278.1
鳴門,11R,1-4-5,4.15,66.9,277.7
津,6R,1-2-3,21.66,12.8,277.2
江戸川,7R,1-2-4,4.15,66.6,276.4
桐生,11R,4-1-2,3.89,71.0,276.2
平和島,9R,1-2-3,7.62,36.2,276.0
尼崎,10R,1-5-4,7.60,36.3,275.8
児島,3R,5-1-4,3.00,91.6,274.9
鳴門,7R,1-2-4,12.64,21.7,274.3
鳴門,11R,1-2-4,4.34,63.1,274.2
江戸川,4R,2-1-4,4.28,63.9,273.5
江戸川,8R,4-1-2,4.00,68.1,272.1
江戸川,2R,1-3-4,2.96,91.9,271.9
大村,2R,5-2-1,3.24,84.0,271.8
鳴門,7R,2-1-4,6.64,40.9,271.7
江戸川,4R,1-2-4,6.56,41.4,271.4
江戸川,11R,1-3-4,4.37,61.9,270.3
児島,8R,1-2-5,4.01,67.4,270.3
児島,7R,1-4-2,7.22,37.4,270.1
三国,1R,1-5-3,8.97,29.8,267.3
尼崎,8R,3-1-2,9.37,28.5,267.0
大村,3R,1-3-4,11.55,23.1,266.9
桐生,11R,2-4-3,3.98,67.1,266.8
児島,4R,3-1-4,5.76,46.3,266.7
平和島,11R,1-3-4,15.77,16.9,266.5
平和島,11R,1-4-3,9.28,28.7,266.2
平和島,9R,1-3-2,7.50,35.4,265.5
平和島,6R,3-1-2,3.00,88.3,265.3
江戸川,12R,2-1-4,4.37,60.3,263.8
大村,10R,5-2-1,5.08,51.8,263.4
平和島,2R,1-3-4,4.84,54.2,262.5
びわこ,2R,1-4-3,5.06,51.9,262.4
江戸川,10R,1-4-2,3.91,67.0,262.2
大村,2R,5-1-3,3.20,81.9,262.2
津,7R,5-1-2,3.34,78.5,262.2
平和島,1R,1-2-5,5.60,46.8,262.1
津,11R,1-5-4,6.18,42.2,261.0
蒲郡,7R,1-3-2,15.53,16.8,260.9
三国,10R,1-5-2,5.85,44.5,260.3
びわこ,10R,3-1-2,6.86,37.9,260.0
児島,7R,1-2-4,7.74,33.6,259.9
平和島,8R,1-2-4,4.02,64.5,259.3
びわこ,7R,1-2-3,3.18,81.4,258.6
びわこ,1R,3-4-1,5.96,43.2,257.7
江戸川,5R,4-1-3,3.38,76.1,256.9
児島,10R,1-3-4,13.80,18.6,256.7
鳴門,1R,1-2-4,6.34,40.5,256.6
大村,7R,3-1-6,6.04,42.5,256.5
児島,8R,2-1-5,4.11,62.3,256.0
平和島,6R,1-2-3,11.37,22.5,255.8
津,3R,1-6-3,3.50,73.0,255.7
蒲郡,1R,1-2-4,5.14,49.7,255.5
三国,1R,1-5-2,3.78,67.5,254.9
平和島,11R,1-3-2,6.14,41.4,254.0
びわこ,2R,1-4-2,8.07,31.4,253.3
尼崎,7R,2-1-3,7.24,34.9,252.7
鳴門,2R,2-3-1,6.39,39.5,252.5
江戸川,3R,1-5-2,4.00,63.1,252.5
江戸川,10R,1-2-5,12.30,20.5,252.1
蒲郡,2R,5-1-3,3.00,84.0,251.6
江戸川,6R,1-3-4,7.17,35.1,251.5
江戸川,6R,2-3-1,3.88,64.6,250.8
蒲郡,7R,1-3-6,6.11,41.0,250.6
児島,6R,1-4-3,2.71,92.4,250.2
福岡,3R,1-4-2,10.69,23.4,250.1
平和島,3R,1-5-2,6.57,38.1,250.1
福岡,10R,3-1-4,4.89,51.1,249.9
児島,3R,5-2-4,3.02,82.7,249.5
江戸川,4R,1-4-2,6.33,39.4,249.5
福岡,5R,2-4-3,3.05,81.8,249.3
津,8R,1-5-3,6.31,39.5,249.2
平和島,4R,1-4-2,14.23,17.5,249.1
桐生,12R,2-1-4,5.12,48.6,249.1
江戸川,5R,3-1-2,2.96,84.2,248.8
平和島,10R,1-2-3,9.95,25.0,248.8
津,3R,3-1-2,4.67,53.2,248.7
びわこ,12R,1-5-4,3.83,64.8,248.4
尼崎,7R,1-2-4,14.69,16.9,248.3
蒲郡,7R,3-1-5,3.91,63.4,248.2
鳴門,8R,2-4-1,3.76,65.9,248.0
津,4R,2-4-3,2.72,91.0,247.5
