場,レース,買い目,推定確率%,オッズ(取得時),回収率%
丸亀,12R,2-4-1,11.04,80.4,887.3
尼崎,7R,4-2-1,6.79,99.3,673.9
徳山,11R,2-1-4,9.28,70.3,652.3
丸亀,4R,2-3-1,8.47,76.0,643.7
若松,11R,3-2-1,9.61,66.5,639.2
丸亀,5R,1-2-4,9.30,65.6,610.0
常滑,10R,3-2-1,7.02,86.6,608.1
多摩川,8R,1-2-4,9.35,56.0,523.5
戸田,8R,1-3-2,13.98,36.4,508.9
津,4R,1-4-2,8.83,57.2,505.2
戸田,6R,2-1-3,5.20,97.0,504.3
下関,1R,3-1-2,8.29,60.7,502.9
丸亀,3R,1-5-4,5.09,98.1,499.3
若松,11R,2-3-1,6.48,76.1,492.8
戸田,4R,1-4-3,8.14,60.3,490.8
徳山,2R,4-2-1,5.06,97.0,490.8
丸亀,12R,2-1-4,13.64,35.9,489.7
戸田,1R,4-1-3,7.91,61.0,482.8
江戸川,6R,1-4-3,7.87,60.7,477.6
戸田,6R,1-3-2,5.50,84.9,467.4
津,1R,2-1-3,5.22,89.4,466.2
戸田,9R,1-2-5,20.96,22.1,463.2
江戸川,10R,1-3-4,17.87,25.9,462.7
多摩川,8R,1-4-2,11.58,39.8,460.9
常滑,10R,3-5-1,4.59,99.6,457.4
徳山,11R,2-1-3,6.17,73.3,452.2
徳山,2R,4-1-2,9.11,49.1,447.4
津,7R,2-4-1,5.36,81.9,439.0
丸亀,4R,3-2-1,11.03,39.8,438.9
福岡,11R,3-5-1,5.29,82.8,438.1
下関,4R,2-5-1,5.84,74.9,437.3
福岡,9R,1-4-3,9.83,44.3,435.4
福岡,11R,3-1-5,9.94,43.6,433.4
戸田,8R,3-1-2,7.27,59.4,431.8
江戸川,6R,4-1-3,6.21,69.3,430.5
丸亀,4R,1-3-2,12.13,35.5,430.5
丸亀,4R,1-2-3,8.20,51.1,418.9
尼崎,7R,4-1-2,7.52,55.3,416.1
多摩川,4R,1-3-4,4.68,88.7,415.2
多摩川,7R,1-4-3,13.98,29.6,413.8
尼崎,3R,4-1-2,5.64,72.1,406.4
江戸川,8R,1-4-3,12.72,31.9,405.7
戸田,8R,1-3-5,10.98,36.5,400.9
丸亀,10R,1-4-2,6.72,59.5,399.6
下関,6R,1-2-3,11.83,33.6,397.4
常滑,5R,2-1-4,4.58,86.1,394.5
福岡,12R,3-1-2,12.76,30.7,391.8
福岡,9R,1-4-2,10.70,36.6,391.7
常滑,10R,3-1-2,10.12,38.6,390.6
江戸川,8R,1-4-2,15.94,24.5,390.5
丸亀,4R,2-1-3,7.16,54.5,390.5
芦屋,4R,1-3-4,10.45,37.3,389.6
常滑,8R,1-5-3,5.96,65.3,389.3
若松,5R,1-2-4,12.36,31.4,388.1
常滑,9R,2-1-3,7.71,50.3,387.9
戸田,6R,3-1-2,4.56,84.5,385.0
下関,6R,1-2-5,5.10,75.4,384.8
下関,2R,1-4-3,4.93,78.1,384.7
下関,6R,1-3-2,12.84,29.9,384.1
戸田,1R,1-4-3,8.71,44.0,383.3
下関,2R,4-1-3,3.93,96.9,380.7
尼崎,7R,2-4-1,5.12,73.9,378.5
丸亀,5R,1-2-3,8.54,44.3,378.4
常滑,11R,4-1-3,6.44,58.0,373.3
若松,12R,4-1-2,4.08,91.2,371.7
多摩川,1R,2-1-3,5.52,67.1,370.7
戸田,6R,3-2-1,3.88,95.4,370.1
江戸川,8R,4-1-3,4.59,80.5,369.3
福岡,12R,3-2-1,4.38,83.9,367.5
戸田,10R,2-1-4,6.65,55.1,366.5
下関,4R,2-1-5,9.36,38.8,363.0
徳山,1R,3-1-2,5.18,69.9,362.0
戸田,6R,1-2-3,5.94,60.9,362.0
福岡,10R,4-2-1,4.83,74.6,360.6
丸亀,5R,1-3-2,6.14,58.6,359.6
徳山,11R,2-1-5,5.71,62.8,358.3
若松,4R,4-1-3,4.02,88.7,357.0
若松,5R,1-4-2,11.26,31.7,356.8
多摩川,6R,4-1-2,4.87,73.0,355.4
下関,9R,1-4-3,6.31,55.7,351.6
江戸川,12R,4-1-2,7.57,46.0,348.2
常滑,3R,1-5-4,4.75,73.3,348.0
江戸川,8R,4-1-2,5.75,60.4,347.3
下関,5R,1-4-3,17.19,20.2,347.2
多摩川,4R,1-3-2,7.16,48.3,346.0
戸田,11R,1-5-2,10.25,33.7,345.4
常滑,11R,4-3-1,4.33,79.4,343.7
常滑,6R,2-1-5,3.76,91.1,343.0
江戸川,9R,1-4-5,15.90,21.5,341.8
江戸川,9R,1-5-4,14.70,23.2,341.0
多摩川,9R,1-4-2,4.53,75.0,339.8
下関,1R,3-2-1,6.33,53.7,339.7
常滑,12R,2-1-3,7.75,43.8,339.3
尼崎,8R,1-3-2,4.86,69.7,338.4
若松,5R,1-2-5,7.27,46.5,338.0
福岡,11R,3-1-2,10.85,31.1,337.3
丸亀,4R,3-1-2,13.80,24.4,336.7
若松,1R,2-1-4,7.22,46.5,335.7
若松,5R,1-5-2,5.39,62.0,334.4
丸亀,11R,1-4-3,11.84,28.2,334.0
戸田,6R,1-2-5,4.09,81.7,334.0
福岡,4R,1-4-2,7.60,43.9,333.8
丸亀,5R,1-4-2,6.92,48.2,333.5
常滑,10R,3-1-5,7.33,45.4,332.7
下関,6R,3-1-2,7.13,46.5,331.7
江戸川,10R,1-4-3,8.08,41.0,331.4
多摩川,4R,3-1-4,4.62,71.7,331.2
常滑,2R,4-1-3,8.34,39.4,328.7
福岡,11R,3-2-1,5.92,54.7,323.9
丸亀,10R,1-4-3,7.80,41.5,323.8
丸亀,5R,2-1-3,6.02,53.8,323.7
福岡,8R,1-3-4,15.19,21.2,321.9
戸田,9R,1-5-2,12.99,24.7,320.8
丸亀,5R,4-1-2,4.10,78.1,319.8
戸田,1R,4-3-1,6.02,53.1,319.6
若松,8R,4-1-3,3.37,94.7,318.9
下関,7R,5-1-4,3.84,82.9,318.4
尼崎,6R,2-1-4,4.34,73.3,318.2
尼崎,8R,1-3-4,3.55,89.6,317.8
戸田,10R,4-1-2,6.24,50.8,317.0
丸亀,6R,1-3-4,5.90,53.5,315.6
若松,12R,4-1-3,9.44,33.3,314.3
若松,10R,3-2-1,4.28,73.1,313.1
多摩川,9R,1-2-4,6.24,50.0,312.2
戸田,8R,1-3-4,8.74,35.7,312.1
徳山,3R,1-5-2,7.84,39.7,311.4
戸田,8R,3-1-5,5.71,54.5,311.3
丸亀,7R,1-3-4,5.79,53.7,310.7
多摩川,4R,3-1-2,7.07,43.8,309.6
戸田,6R,1-5-2,3.22,95.4,306.9
尼崎,4R,3-1-2,3.65,83.3,303.9
多摩川,11R,1-2-5,8.35,36.4,303.9
若松,8R,3-1-4,8.46,35.9,303.8
常滑,9R,2-3-1,3.53,86.0,303.7
徳山,3R,1-2-3,13.63,22.2,302.7
若松,1R,4-2-1,3.82,79.1,301.9
福岡,12R,2-1-3,5.40,55.9,301.6
戸田,11R,1-5-4,6.68,45.0,300.6
津,4R,1-4-3,4.54,66.1,300.2
びわこ,9R,1-4-2,12.59,23.8,299.6
丸亀,1R,2-1-3,5.62,53.3,299.4
びわこ,4R,4-1-6,3.49,85.7,299.1
戸田,4R,1-3-4,6.83,43.8,298.9
びわこ,8R,1-4-3,4.23,70.5,298.3
常滑,3R,4-1-5,3.38,88.2,297.9
津,6R,3-1-2,10.89,27.3,297.2
丸亀,10R,4-1-3,3.66,81.2,296.9
尼崎,3R,4-2-1,4.27,69.5,296.7
徳山,5R,4-1-3,6.44,46.0,296.3
津,9R,2-1-3,8.16,36.2,295.5
尼崎,8R,1-2-3,6.17,47.6,293.6
下関,1R,2-3-1,5.33,54.9,292.4
びわこ,12R,1-4-3,11.61,25.1,291.4
下関,4R,2-3-1,6.24,46.6,290.7
津,8R,2-1-3,7.02,41.3,289.9
若松,9R,2-1-4,6.77,42.8,289.7
戸田,2R,1-4-2,7.05,41.0,289.0
若松,7R,1-4-2,4.03,71.6,288.5
常滑,12R,2-1-4,3.30,87.3,288.4
多摩川,5R,4-1-2,6.74,42.7,287.8
丸亀,2R,2-1-5,2.93,98.2,287.7
下関,6R,2-1-3,6.30,45.6,287.4
江戸川,10R,1-3-2,13.30,21.6,287.2
尼崎,11R,1-4-2,8.20,35.0,287.1
常滑,9R,2-1-4,4.24,67.4,285.7
びわこ,10R,2-1-5,5.35,53.3,285.3
徳山,5R,4-3-1,3.25,87.7,284.7
戸田,4R,1-4-6,9.80,28.9,283.2
丸亀,3R,1-4-2,4.89,57.9,283.0
江戸川,9R,1-4-2,9.59,29.5,282.9
芦屋,8R,5-1-2,3.04,92.9,282.4
丸亀,8R,1-5-2,6.16,45.8,282.3
戸田,1R,4-1-2,4.01,70.3,282.1
下関,7R,1-5-4,4.46,63.1,281.3
徳山,3R,1-2-5,13.38,21.0,281.0
下関,3R,2-1-3,7.22,38.9,280.9
丸亀,9R,2-1-3,4.11,68.2,280.2
津,6R,3-2-1,9.96,28.1,280.0
芦屋,6R,1-5-4,3.63,77.1,279.9
江戸川,3R,4-1-2,2.81,99.5,279.2
丸亀,3R,1-4-5,6.18,45.1,278.9
尼崎,10R,1-4-5,5.41,51.5,278.8
江戸川,7R,1-3-4,12.59,22.1,278.2
津,2R,4-1-3,2.88,96.5,277.9
多摩川,8R,1-4-5,3.14,88.2,277.3
丸亀,5R,2-3-1,2.95,93.8,277.1
丸亀,2R,5-1-3,3.23,85.7,276.6
多摩川,11R,1-3-2,5.23,52.8,276.1
下関,2R,1-3-4,4.12,66.9,275.8
多摩川,6R,1-4-3,15.94,17.3,275.8
芦屋,12R,1-4-2,6.36,43.2,275.0
江戸川,4R,2-1-5,5.20,52.8,274.3
津,10R,1-4-3,4.61,59.4,273.9
常滑,5R,4-1-2,6.03,45.4,273.8
江戸川,6R,1-2-4,6.79,40.3,273.7
丸亀,11R,1-4-2,13.47,20.3,273.4
下関,10R,1-2-4,21.17,12.9,273.1
丸亀,3R,1-5-2,2.83,96.0,271.7
多摩川,11R,1-2-3,7.67,35.2,269.9
若松,1R,4-1-2,4.84,55.7,269.7
丸亀,3R,1-4-3,2.92,92.1,269.2
びわこ,4R,1-6-4,5.71,47.1,269.1
常滑,11R,3-4-1,5.30,50.6,268.4
徳山,3R,1-3-2,8.03,33.4,268.3
津,12R,2-1-3,4.14,64.7,268.1
江戸川,6R,1-4-2,9.72,27.5,267.3
若松,1R,2-4-1,4.46,59.9,267.2
若松,8R,3-4-1,3.01,88.7,267.0
芦屋,12R,1-2-4,4.50,59.3,266.9
びわこ,8R,1-3-2,11.90,22.4,266.5
多摩川,2R,1-3-2,5.83,45.5,265.3
江戸川,12R,4-1-3,2.92,90.8,264.8
丸亀,7R,1-3-2,9.48,27.9,264.6
常滑,6R,2-1-4,6.76,39.1,264.2
戸田,11R,1-2-5,6.37,41.4,263.7
びわこ,8R,1-3-4,11.55,22.8,263.4
若松,7R,1-2-4,5.34,49.3,263.0
丸亀,3R,5-1-4,3.72,70.5,262.4
多摩川,11R,1-5-4,2.74,95.8,262.3
びわこ,2R,1-4-5,3.39,77.2,262.0
丸亀,5R,2-1-4,6.55,40.0,262.0
江戸川,10R,1-3-6,8.03,32.6,261.7
下関,1R,3-1-4,2.77,94.5,261.3
徳山,5R,4-1-2,3.70,70.6,261.3
若松,5R,2-1-4,3.52,74.2,261.3
津,8R,1-2-3,13.85,18.8,260.4
びわこ,9R,1-2-4,9.69,26.8,259.6
下関,2R,4-1-2,3.88,66.9,259.6
若松,8R,3-1-2,6.81,38.1,259.4
下関,8R,1-2-4,5.15,50.3,259.1
尼崎,4R,3-2-1,3.00,86.2,258.8
尼崎,9R,3-1-4,2.87,89.9,258.4
江戸川,9R,1-2-4,7.18,35.9,257.6
多摩川,9R,2-1-4,3.38,76.2,257.2
戸田,8R,3-1-4,4.55,56.4,256.4
芦屋,3R,5-1-3,4.34,59.1,256.4
常滑,10R,3-4-1,5.38,47.5,255.4
若松,10R,3-1-2,7.20,35.4,254.9
若松,7R,1-3-2,8.52,29.9,254.6
多摩川,11R,1-4-3,2.56,99.5,254.4
若松,6R,1-4-3,6.40,39.6,253.4
びわこ,11R,4-2-1,5.70,44.4,253.2
下関,5R,1-2-4,6.54,38.6,252.3
尼崎,8R,4-1-2,3.28,76.7,251.9
戸田,9R,1-2-3,7.47,33.7,251.6
若松,9R,2-1-5,4.07,61.8,251.3
戸田,8R,1-2-3,7.11,35.3,250.9
戸田,11R,1-5-3,14.59,17.2,250.9
若松,7R,1-4-3,3.51,71.4,250.6
下関,8R,2-1-5,4.88,51.3,250.5
津,1R,2-1-4,3.67,68.1,250.0
尼崎,2R,2-3-1,5.76,43.4,249.8
芦屋,5R,1-5-2,6.22,39.9,248.2
江戸川,9R,1-5-2,7.77,31.9,248.0
江戸川,11R,1-3-4,15.12,16.4,248.0
下関,5R,1-3-4,7.65,32.4,247.9
福岡,10R,2-4-1,7.01,35.3,247.3
常滑,11R,3-1-4,11.66,21.2,247.3
常滑,8R,1-3-5,14.12,17.5,247.1
芦屋,12R,1-3-2,6.17,40.0,246.9
びわこ,11R,4-1-2,7.85,31.4,246.6
多摩川,8R,2-1-4,3.21,76.8,246.6
若松,11R,3-4-1,3.61,68.3,246.3
徳山,7R,1-5-4,5.32,46.3,246.1
常滑,10R,2-3-1,2.96,82.8,245.3
下関,5R,4-1-3,8.40,29.2,245.3
福岡,12R,2-3-1,3.33,73.5,244.9
江戸川,8R,1-2-4,11.21,21.8,244.3
津,2R,1-4-3,7.56,32.3,244.1
福岡,7R,1-4-2,4.39,55.6,244.1
戸田,2R,1-4-3,4.63,52.7,243.9
多摩川,11R,1-4-2,6.27,38.9,243.8
江戸川,3R,4-2-1,2.85,85.4,243.7
尼崎,3R,4-1-5,3.20,75.9,243.2
江戸川,11R,3-1-4,9.14,26.6,243.2
芦屋,8R,1-5-2,4.57,53.2,243.1
多摩川,5R,4-2-1,5.37,45.3,243.0
常滑,6R,1-2-5,4.69,51.6,241.9
江戸川,4R,1-2-5,4.40,54.6,240.0
多摩川,3R,1-4-3,2.54,94.5,239.8
常滑,3R,1-5-3,4.81,49.8,239.7
丸亀,9R,3-1-2,3.24,74.0,239.5
多摩川,4R,1-2-4,2.40,99.5,238.6
